ClinName,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvRt30,FrLvRt35,FrLvRt40,FrLvTx30,FrLvTx35,FrLvTx40,FrCnCy30,FrCnCy35,FrCnCy40,FrEmTr30,FrEmTr35,FrEmTr40,FrMgPg30,FrMgPg35,FrMgPg40,FrMbLv30,FrMbLv35,FrMbLv40,CrTr30,CrTr35,CrTr40,CrLvTr30,CrLvTr35,CrLvTr40,CrEmTr30,CrEmTr35,CrEmTr40,FdTr30,FdTr35,FdTr40,FdLvTr30,FdLvTr35,FdLvTr40,CdTr30,CdTr35,CdTr40,CdLvTr30,CdLvTr35,CdLvTr40,FdCdEms30,FdCdEms35,FdCdEms40
DARTMOUTH-HITCHCOCK MEDICAL CENTER,LEBANON,NEW HAMPSHIRE,Yes,Yes,No,No,No,88%,12%,0%,0%,0%,54%,23%,0%,0%,0%,5%,18%,12,5,0,4/12,1/5,,3/12,1/5,,,,,3/10,1/5,,3/10,1/4,,2/12,0/5,,4.1,5.0,,1/4,0/1,,1/3,0/1,,2,3,0,0/2,0/3,,4.5,2.3,,0,0,0,,,,0,0,0,,,,,,
"LILLIAN D. NASH, M.D.",NEW YORK,NEW YORK,Yes,Yes,No,No,No,100%,0%,0%,20%,0%,70%,10%,0%,2%,18%,0%,0%,21,17,11,4.8,3/17,0/11,4.8,2/17,0/11,(0.0 - 13.9),,,5.0,2/15,0/5,1/18,2/11,0/4,4.8,2/17,6/11,4.2,3.4,3.5,0/1,1/3,,0/1,1/2,,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
CENTER FOR HUMAN REPRODUCTION,CHICAGO,ILLINOIS,Yes,Yes,Yes,Yes,No,96%,1%,3%,41%,0%,27%,15%,2%,21%,23%,10%,2%,565,374,116,26.5,17.6,8.6,22.8,13.9,6.9,(19.4 - 26.3),(10.4 - 17.4),(2.3 - 11.5),26.4,18.3,11.6,30.1,19.9,12.7,13.5,24.1,40.5,4.2,4.2,4.5,46.0,30.3,2/10,42.6,28.8,2/8,139,77,10,20.1,26.0,1/10,4.1,4.3,3.6,11,15,25,3/11,5/15,32.0,1,6,13,0/1,0/6,3/13,3.8,4.1,4.2
UNIVERSITY OF CHICAGO HOSPITALS,CHICAGO,ILLINOIS,Yes,Yes,No,Yes,No,95%,4%,1%,24%,0%,39%,8%,3%,16%,18%,14%,2%,65,56,35,24.6,8.9,11.4,20.0,5.4,8.6,(10.3 - 29.7),(0.0 - 11.3),(0.0 - 17.8),25.5,6.5,10.3,26.0,7.5,12.0,21.5,17.9,17.1,5.0,4.4,4.6,5/16,1/5,1/4,5/13,0/3,0/3,6,5,1,0/6,0/5,0/1,4.7,3.6,5.0,4,4,7,0/4,1/4,2/7,1,1,2,0/1,0/1,0/2,3.4,3.8,3.8
ADVANCED FERTILITY INSTITUTE,INDIANAPOLIS,INDIANA,Yes,Yes,Yes,Yes,Yes,97%,3%,0%,30%,0%,26%,13%,2%,24%,33%,2%,0%,187,78,42,24.6,21.8,2.4,21.4,14.1,2.4,(15.5 - 27.3),(6.4 - 21.8),(0.0 - 7.0),25.5,19.3,3.8,26.7,20.0,4.8,16.0,26.9,38.1,4.7,4.7,3.6,28.3,2/17,0/1,22.5,1/11,0/1,34,15,9,5.9,0/15,0/9,3.9,3.2,3.0,6,7,6,0/6,4/7,1/6,3,0,1,1/3,,1/1,4.4,4.7,4.9
INDIANA UNIVERSITY,INDIANAPOLIS,INDIANA,Yes,Yes,No,No,No,98%,2%,0%,19%,0%,45%,15%,0%,16%,24%,0%,0%,30,23,4,10.0,4.3,0/4,10.0,4.3,0/4,(0.0 - 20.7),(0.0 - 12.7),,13.0,5.0,0/3,13.0,1/19,0/3,23.3,13.0,1/4,4.2,4.2,2.0,1/3,0/1,,1/3,0/1,,7,1,1,0/7,0/1,0/1,3.4,3.0,6.0,0,0,0,,,,0,0,0,,,,,,
CENTER FOR ASSISTED REPRODUCTION,SOUTH BEND,INDIANA,Yes,No,No,No,No,84%,16%,0%,0%,0%,39%,43%,3%,10%,4%,0%,1%,47,18,5,29.8,6/18,1/5,25.5,2/18,1/5,(13.1 - 38.0),,,29.3,2/18,1/2,30.8,2/18,1/2,12.8,0/18,3/5,3.3,3.6,3.0,4/14,0/6,1/1,4/12,0/2,1/1,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
MIDWEST REPRODUCTIVE MEDICINE,INDIANAPOLIS,INDIANA,Yes,Yes,Yes,Yes,No,62%,22%,16%,24%,1%,26%,25%,1%,30%,16%,2%,0%,325,161,68,41.8,29.8,14.7,36.0,24.2,7.4,(30.8 - 41.2),(17.6 - 30.8),(1.1 - 13.6),39.5,28.5,10.2,40.9,30.0,12.2,8.9,14.9,27.9,3.1,3.3,3.4,39.0,29.2,1/10,38.5,33.3,1/5,71,25,11,21.1,32.0,1/11,3.3,3.5,2.5,5,2,8,1/5,1/2,3/8,0,0,0,,,,3.4,3.5,3.4
ASSOCIATED FERTILITY-GYNECOLOGY,FORT WAYNE,INDIANA,Yes,No,No,No,No,100%,0%,0%,0%,0%,48%,16%,19%,13%,3%,1%,0%,40,16,7,35.0,4/16,0/7,30.0,3/16,0/7,(15.8 - 44.2),,,33.3,3/13,0/6,36.4,3/12,0/6,10.0,3/16,1/7,2.8,3.8,2.8,3/14,1/4,,3/12,0/3,,15,4,0,3/15,1/4,,2.5,2.5,,0,0,0,,,,0,0,0,,,,,,
CENTER FOR ADVANCED REPRODUCTIVE CARE,IOWA CITY,IOWA,Yes,No,No,Yes,No,56%,1%,43%,34%,0%,33%,7%,1%,11%,26%,5%,17%,155,95,29,47.1,38.9,10.3,40.0,28.4,3.4,(32.3 - 47.7),(19.4 - 37.5),(0.0 - 10.1),43.7,34.6,5.0,45.3,35.5,5.0,8.4,17.9,31.0,3.2,3.7,3.9,43.8,24.3,0/3,43.5,33.3,0/1,79,33,8,26.6,9.1,0/8,3.9,3.9,3.3,2,4,10,1/2,3/4,3/10,2,3,7,0/2,1/3,3/7,3.3,3.4,3.5
"MCFARLAND CLINIC, P.C.",AMES,IOWA,Yes,No,No,No,No,64%,36%,0%,17%,2%,35%,28%,0%,4%,12%,0%,21%,62,32,8,29.0,28.1,2/8,24.2,18.8,1/8,(13.5 - 34.9),(5.2 - 32.3),,25.0,22.2,1/6,25.9,23.1,1/6,3.2,15.6,2/8,4.2,3.7,3.8,8/18,2/9,0/2,5/15,2/6,0/1,22,7,5,13.6,2/7,1/5,3.5,3.4,3.2,0,0,0,,,,0,0,0,,,,,,
"MID IOWA FERTILITY, P.C.",WEST DES MOINES,IOWA,Yes,Yes,No,Yes,No,97%,3%,0%,34%,0%,24%,24%,4%,4%,27%,12%,5%,47,22,5,40.4,27.3,1/5,40.4,22.7,0/5,(26.4 - 54.5),(5.2 - 40.2),,41.3,5/19,0/4,41.3,5/17,0/4,2.1,13.6,1/5,3.9,3.7,3.0,9/19,4/6,0/1,9/19,4/5,,9,5,0,0/9,1/5,,3.8,4.2,,0,0,3,,,0/3,1,0,4,0/1,,1/4,4.0,,4.6
UNIVERSITY OF KANSAS MEDICAL CENTER,KANSAS CITY,KANSAS,Yes,No,No,Yes,Yes,71%,29%,0%,8%,0%,29%,16%,1%,22%,19%,9%,4%,39,42,12,12.8,14.3,0/12,12.8,9.5,0/12,(2.3 - 23.3),(0.6 - 18.4),,14.3,13.3,0/8,20.0,15.4,0/5,10.3,28.6,4/12,4.5,5.2,2.2,5/5,2/6,,4/5,2/4,,2,0,0,0/2,,,2.0,,,0,0,1,,,1/1,0,0,0,,,,,,7.0
THE CENTER FOR REPRODUCTIVE MEDICINE,WICHITA,KANSAS,Yes,Yes,Yes,Yes,No,72%,25%,3%,20%,0%,34%,33%,0%,8%,13%,3%,9%,53,35,18,30.2,22.9,4/18,24.5,20.0,3/18,(12.9 - 36.1),(6.7 - 33.3),,25.0,21.2,3/16,26.0,22.6,3/14,1.9,5.7,2/18,3.5,3.7,4.4,8/16,2/8,1/4,6/13,2/7,0/3,14,10,9,0/14,1/10,0/9,4.2,4.2,4.2,2,2,3,1/2,0/2,0/3,1,0,0,0/1,,,3.3,5.0,4.3
REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY,OVERLAND PARK,KANSAS,Yes,No,Yes,Yes,Yes,80%,20%,0%,20%,0%,17%,4%,1%,8%,25%,24%,21%,148,102,23,42.6,32.4,13.0,39.2,27.5,13.0,(31.3 - 47.1),(18.8 - 36.1),(0.0 - 26.8),46.0,38.4,3/12,49.6,40.0,3/9,14.9,28.4,47.8,3.4,3.9,4.7,41.3,42.4,1/3,41.4,46.4,1/3,28,9,1,35.7,2/9,0/1,3.1,2.3,2.0,2,3,20,1/2,2/3,40.0,0,0,1,,,0/1,5.5,3.3,3.7
ALLIANT HEALTH SYSTEM-,LOUISVILLE,KENTUCKY,Yes,Yes,No,Yes,No,98%,1%,1%,28%,0%,31%,20%,6%,22%,14%,7%,0%,76,44,31,34.2,36.4,16.1,32.9,34.1,12.9,(22.3 - 43.5),(20.1 - 48.1),(1.1 - 24.7),37.3,41.7,20.0,41.0,45.5,4/17,11.8,18.2,35.5,3.0,3.4,3.6,30.8,7/16,0/5,28.0,7/15,0/4,10,9,1,0/10,0/9,0/1,3.7,3.2,2.0,0,0,2,,,0/2,0,0,1,,,1/1,,,4.3
UNIVERSITY OF KENTUCKY CHANDLER MEDICAL CENTER,LEXINGTON,KENTUCKY,Yes,Yes,No,No,No,100%,0%,0%,0%,0%,39%,43%,0%,4%,14%,0%,0%,13,9,2,3/13,0/9,0/2,2/13,0/9,0/2,,,,2/12,0/6,0/1,2/11,0/6,0/1,1/13,3/9,1/2,2.9,2.3,2.0,1/3,,,1/2,,,3,1,0,0/3,0/1,,2.0,3.0,,0,0,0,,,,0,0,0,,,,,,
FERTILITY INSTITUTE OF NEW ORLEANS,NEW ORLEANS,LOUISIANA,Yes,Yes,Yes,Yes,Yes,85%,12%,3%,27%,0%,16%,25%,0%,8%,37%,4%,10%,80,48,19,28.8,25.0,2/19,26.3,22.9,2/19,(16.6 - 35.9),(11.0 - 34.8),,30.0,29.7,2/14,33.3,29.7,2/13,12.5,22.9,5/19,4.1,4.2,4.7,43.5,1/12,1/2,47.6,1/11,1/2,9,6,1,0/9,0/6,0/1,1.9,2.7,3.0,1,1,1,0/1,1/1,1/1,0,0,0,,,,3.0,3.0,6.0
THE CENTER FOR FERTILITY AND ADVANCED REPRODUCTION,NEW ORLEANS,LOUISIANA,Yes,Yes,No,Yes,No,90%,10%,0%,32%,0%,22%,26%,0%,13%,24%,15%,0%,20,8,3,20.0,0/8,1/3,20.0,0/8,0/3,(2.5 - 37.5),,,20.0,0/8,0/3,4/16,0/6,0/3,0.0,0/8,0/3,3.8,2.5,4.3,2/4,,0/1,1/4,,,8,4,1,2/8,1/4,0/1,3.1,4.0,4.0,0,0,2,,,1/2,0,0,0,,,,,,7.0
CENTER FOR FERTILITY AND REPRODUCTIVE HEALTH,SHREVEPORT,LOUISIANA,Yes,No,No,Yes,Yes,95%,5%,0%,23%,0%,35%,29%,0%,18%,12%,5%,1%,42,8,10,26.2,2/8,0/10,26.2,1/8,0/10,(12.9 - 39.5),,,29.7,1/7,0/5,30.6,1/7,0/5,11.9,1/8,5/10,4.7,4.3,4.2,10/11,0/2,,10/11,0/1,,9,1,0,0/9,0/1,,5.2,4.0,,1,1,2,1/1,0/1,0/2,0,0,1,,,0/1,6.0,3.0,5.0
FERTILITY AND LASER CENTER,METAIRIE,LOUISIANA,Yes,Yes,Yes,Yes,No,99%,1%,0%,8%,0%,35%,14%,1%,30%,14%,4%,2%,75,35,26,20.0,22.9,11.5,20.0,22.9,7.7,(10.9 - 29.1),(8.9 - 36.8),(0.0 - 17.9),25.9,32.0,2/14,28.3,38.1,2/10,22.7,28.6,46.2,5.8,4.4,5.2,5/15,1/8,0/3,5/15,1/8,0/2,3,3,1,0/3,0/3,0/1,4.0,6.7,4.0,0,0,2,,,1/2,0,0,0,,,,,,4.5
CENTER FOR ADVANCED REPRODUCTIVE TECHNOLOGY,BALTIMORE,MARYLAND,Yes,Yes,No,Yes,No,96%,2%,2%,0%,0%,41%,19%,0%,25%,1%,4%,10%,30,27,7,20.0,3.7,0/7,16.7,3.7,0/7,(3.3 - 30.0),(0.0 - 10.8),,21.7,1/19,0/5,25.0,1/16,0/4,23.3,29.6,2/7,4.0,4.3,3.3,1/6,0/1,,0/5,0/1,,2,0,0,0/2,,,4.0,,,1,1,5,0/1,1/1,2/5,0,2,1,,1/2,1/1,5.0,4.0,4.2
SHADY GROVE FERTILITY CENTERS,ROCKVILLE,MARYLAND,Yes,Yes,Yes,Yes,No,100%,0%,0%,21%,0%,27%,21%,0%,9%,20%,6%,17%,170,151,66,40.6,37.1,13.6,34.1,27.8,9.1,(27.0 - 41.2),(20.7 - 35.0),(2.2 - 16.0),37.7,30.9,11.3,40.0,32.8,12.8,9.4,9.9,19.7,3.4,3.4,3.7,50.7,25.0,3/9,50.0,21.4,2/6,17,7,6,2/17,0/7,0/6,3.4,2.4,3.2,7,4,13,2/7,1/4,4/13,0,0,0,,,,3.6,3.3,3.2
CHR-MID ATLANTIC,BETHESDA,MARYLAND,Yes,Yes,Yes,Yes,No,93%,6%,1%,35%,0%,20%,13%,5%,11%,22%,22%,7%,102,63,36,38.2,22.2,5.6,31.4,19.0,5.6,(22.4 - 40.4),(9.4 - 28.7),(0.0 - 13.0),31.4,20.0,6.3,33.7,24.0,8.3,0.0,4.8,11.1,3.4,3.3,2.5,41.0,5/14,0/2,40.6,4/12,0/2,12,6,3,1/12,0/6,1/3,3.0,2.5,1.3,1,3,16,0/1,1/3,7/16,0,1,4,,1/1,1/4,3.0,2.3,3.1
HELIX CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY,BALTIMORE,MARYLAND,Yes,Yes,No,Yes,No,94%,<1%,5%,35%,0%,36%,9%,1%,2%,28%,24%,0%,46,44,20,26.1,18.2,10.0,23.9,18.2,10.0,(11.6 - 36.2),(6.8 - 29.6),(0.0 - 23.1),29.7,25.0,2/15,29.7,25.8,2/14,19.6,27.3,25.0,4.0,3.9,3.8,2/12,5/8,0/2,2/11,5/8,0/2,5,5,0,0/5,3/5,,5.6,3.4,,0,0,2,,,1/2,0,0,0,,,,,,3.5
THE JOHNS HOPKINS MEDICAL INSTITUTE,BALTIMORE,MARYLAND,Yes,Yes,No,Yes,No,93%,7%,0%,3%,0%,45%,28%,0%,2%,9%,16%,0%,37,20,11,24.3,35.0,1/11,18.9,30.0,1/11,(6.3 - 31.5),(9.9 - 50.1),,24.1,6/18,1/6,24.1,6/18,1/5,21.6,10.0,5/11,4.3,5.1,3.0,0/9,3/7,0/1,0/7,2/6,0/1,5,3,0,0/5,0/3,,3.0,3.0,,0,0,4,,,1/4,0,0,0,,,,,,4.5
GBMC FERTILITY CENTER,BALTIMORE,MARYLAND,Yes,No,No,Yes,No,96%,3%,1%,41%,0%,22%,29%,0%,0%,34%,5%,10%,216,193,83,33.8,23.3,18.1,29.6,16.1,13.3,(23.5 - 35.7),(10.9 - 21.2),(6.0 - 20.5),32.0,19.9,15.7,33.9,20.9,17.2,7.4,19.2,15.7,3.9,3.7,4.0,46.6,26.7,1/15,45.3,29.0,1/11,73,54,20,16.4,16.7,5.0,2.8,3.0,2.2,1,3,13,0/1,1/3,10/13,2,3,2,2/2,0/3,0/2,3.7,3.5,3.3
FERTILITY CENTER OF MARYLAND,TOWSON,MARYLAND,Yes,No,No,No,No,88%,8%,4%,0%,0%,41%,33%,0%,8%,10%,5%,3%,72,53,15,34.7,35.8,2/15,29.2,32.1,2/15,(18.7 - 39.7),(19.5 - 44.6),,30.4,33.3,2/14,30.9,33.3,2/11,4.2,3.8,1/15,3.5,3.8,4.3,32.0,3/19,0/2,38.1,3/17,0/2,34,25,7,17.6,12.0,2/7,3.4,3.2,3.4,0,0,0,,,,0,0,0,,,,,,
MASSACHUSETTS GENERAL HOSPITAL VINCENT IVF UNIT,BOSTON,MASSACHUSETTS,Yes,Yes,Yes,Yes,No,99%,1%,0%,22%,0%,26%,10%,0%,15%,32%,5%,12%,103,92,39,28.2,25.0,7.7,23.3,18.5,7.7,(15.1 - 31.5),(10.5 - 26.4),(0.0 - 16.1),24.5,22.1,9.7,25.8,23.0,10.0,4.9,16.3,20.5,3.1,3.6,3.6,41.4,30.4,2/3,50.0,4/17,0/3,15,6,4,2/15,1/6,1/4,3.1,3.2,3.0,0,2,2,,0/2,0/2,0,3,1,,1/3,0/1,,3.2,3.0
REPRODUCTIVE SCIENCE CENTER OF BOSTON,WALTHAM,MASSACHUSETTS,Yes,Yes,Yes,Yes,Yes,93%,6%,<1%,31%,1%,22%,14%,1%,11%,32%,9%,11%,402,332,234,39.6,26.2,13.2,33.8,20.8,8.1,(29.2 - 38.5),(16.4 - 25.1),(4.6 - 11.6),35.7,24.3,10.6,37.6,25.7,11.4,5.2,14.5,23.1,3.3,3.6,4.4,39.0,39.1,35.5,39.0,34.8,7/19,42,36,21,31.0,30.6,23.8,2.6,2.9,3.2,16,21,51,3/16,9.5,43.1,0,0,0,,,,3.0,2.9,3.3
BAYSTATE IVF,SPRINGFIELD,MASSACHUSETTS,Yes,Yes,Yes,Yes,No,99%,1%,0%,30%,0%,40%,18%,1%,7%,21%,8%,5%,101,86,23,29.7,26.7,21.7,26.7,20.9,17.4,(18.1 - 35.4),(12.3 - 29.5),(1.9 - 32.9),28.4,25.0,4/16,32.1,26.5,4/13,5.9,16.3,30.4,3.1,3.8,4.1,46.7,30.4,1/5,48.1,3/18,1/4,43,12,6,23.3,4/12,1/6,3.6,3.2,3.2,1,0,0,0/1,,,0,0,0,,,,3.0,,
HALLMARK FERTILITY SERVICES,MALDEN,MASSACHUSETTS,Yes,Yes,No,No,No,100%,0%,0%,1%,0%,36%,20%,5%,14%,19%,6%,0%,26,39,15,26.9,33.3,2/15,11.5,23.1,1/15,(0.0 - 23.8),(9.9 - 36.3),,12.0,25.0,1/14,13.0,30.0,1/13,3.8,7.7,1/15,3.4,3.4,3.0,0/7,2/13,1/2,0/3,1/9,0/1,10,8,6,2/10,0/8,0/6,3.2,3.1,3.0,0,0,0,,,,0,0,0,,,,,,
BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,MASSACHUSETTS,Yes,Yes,No,Yes,No,96%,4%,0%,19%,0%,27%,11%,2%,7%,33%,11%,9%,347,291,143,30.0,25.4,18.2,25.9,19.6,13.3,(21.3 - 30.5),(15.0 - 24.1),(7.7 - 18.9),26.3,19.9,14.1,28.3,20.7,14.5,1.4,1.7,5.6,4.0,4.1,4.3,53.8,33.8,26.9,48.9,22.8,6/19,25,17,5,20.0,3/17,1/5,4.2,3.7,4.2,8,6,2,2/8,4/6,1/2,0,0,0,,,,4.9,4.0,5.0
BOSTON REGIONAL CENTER FOR REPRODUCTIVE MEDICINE,STONEHAM,MASSACHUSETTS,Yes,Yes,No,Yes,No,94%,3%,3%,13%,4%,31%,13%,3%,13%,20%,4%,16%,229,176,63,21.8,15.9,9.5,17.5,13.1,7.9,(12.5 - 22.4),(8.1 - 18.0),(1.3 - 14.6),19.0,14.3,8.5,20.8,16.5,9.4,8.3,8.5,6.3,3.4,3.2,3.3,28.0,35.7,1/6,25.0,30.4,1/5,59,25,10,15.3,4.0,0/10,4.0,3.6,4.1,4,1,0,0/4,0/1,,1,1,0,1/1,0/1,,3.4,2.5,
MICHIGAN REPRODUCTIVE & IVF CENTER,GRAND RAPIDS,MICHIGAN,Yes,No,No,Yes,Yes,55%,27%,18%,28%,0%,27%,18%,1%,10%,25%,13%,6%,159,70,27,47.8,48.6,7.4,42.1,40.0,3.7,(34.5 - 49.8),(28.5 - 51.5),(0.0 - 10.8),46.5,43.1,4.0,47.5,43.8,4.0,9.4,7.1,7.4,4.6,5.0,3.8,53.9,38.2,0/2,46.3,32.1,0/1,6,6,0,1/6,0/6,,3.2,2.2,,3,10,20,3/3,3/10,30.0,0,0,0,,,,4.7,4.3,3.9
"WEST MICHIGAN REPRODUCTIVE INSTITUTE, P.C.",GRAND RAPIDS,MICHIGAN,Yes,Yes,No,Yes,No,85%,10%,5%,21%,0%,25%,29%,0%,16%,22%,3%,5%,49,36,12,24.5,25.0,0/12,22.4,19.4,0/12,(10.8 - 34.1),(6.5 - 32.4),,24.4,22.6,0/8,26.2,25.0,0/7,8.2,13.9,4/12,5.0,4.8,4.4,4/12,4/9,,4/11,4/7,,7,2,2,0/7,0/2,0/2,4.9,5.0,4.5,1,3,5,0/1,0/3,1/5,0,0,0,,,,6.0,5.7,6.0
"INFERTILITY AND GYNECOLOGY CENTER OF LANSING, P.C.",LANSING,MICHIGAN,Yes,Yes,Yes,Yes,No,58%,17%,25%,22%,0%,41%,27%,3%,1%,19%,3%,6%,39,25,12,43.6,24.0,1/12,43.6,24.0,0/12,(28.0 - 59.2),(7.3 - 40.7),,51.5,30.0,0/9,51.5,30.0,0/8,15.4,20.0,3/12,4.7,4.8,5.0,8/17,2/6,0/1,7/17,2/6,,5,2,5,0/5,0/2,0/5,2.0,3.5,4.4,0,0,1,,,0/1,0,0,0,,,,,,4.0
HUTZEL HOSPITAL,DETROIT,MICHIGAN,Yes,Yes,Yes,Yes,No,97%,2%,1%,24%,5%,27%,12%,1%,10%,21%,7%,22%,63,53,13,20.6,20.8,1/13,15.9,9.4,1/13,(6.8 - 24.9),(1.6 - 17.3),,20.4,11.9,1/9,21.7,12.8,1/9,22.2,20.8,4/13,4.0,4.4,3.9,3/13,2/11,0/1,3/10,2/5,0/1,6,4,1,0/6,0/4,0/1,3.0,3.8,2.0,5,5,5,4/5,3/5,3/5,0,1,0,,0/1,,4.4,4.5,5.2
HENRY FORD MEDICAL CENTER,TROY,MICHIGAN,Yes,Yes,No,Yes,No,100%,0%,0%,18%,0%,46%,9%,2%,8%,18%,4%,13%,29,29,18,41.4,24.1,2/18,37.9,24.1,1/18,(20.3 - 55.6),(8.6 - 39.7),,42.3,33.3,1/12,45.8,7/19,1/11,10.3,27.6,6/18,3.2,3.5,3.6,4/12,1/7,0/2,3/11,1/7,0/1,10,10,6,0/10,1/10,0/6,3.1,3.1,2.7,1,1,0,1/1,1/1,,0,0,0,,,,4.0,4.0,
ANN ARBOR REPRODUCTIVE MEDICINE,YPSILANTI,MICHIGAN,Yes,Yes,Yes,Yes,No,23%,17%,60%,30%,0%,23%,10%,0%,41%,26%,0%,0%,160,122,42,37.5,25.4,23.8,34.4,21.3,19.0,(27.0 - 41.7),(14.0 - 28.6),(7.2 - 30.9),40.4,29.9,29.6,43.0,32.5,32.0,15.0,28.7,35.7,3.3,3.5,4.0,41.7,48.4,2/10,41.8,42.3,1/8,32,10,2,9.4,1/10,0/2,2.3,2.2,2.0,4,9,21,1/4,3/9,28.6,3,3,6,0/3,0/3,3/6,3.7,3.3,3.5
SPECTRUM HEALTH-EAST CAMPUS,GRAND RAPIDS,MICHIGAN,Yes,No,No,Yes,Yes,89%,11%,0%,24%,0%,41%,9%,0%,12%,21%,4%,13%,60,42,12,18.3,23.8,0/12,16.7,21.4,0/12,(7.2 - 26.1),(9.0 - 33.8),,18.9,25.7,0/10,19.2,26.5,0/9,11.7,16.7,2/12,4.0,4.3,5.8,5/11,3/10,,4/10,3/9,,22,7,1,9.1,3/7,0/1,5.1,5.1,2.0,5,3,4,0/5,1/3,2/4,0,0,0,,,,3.8,3.0,7.0
F.I.R.S.T. IVF,SAGINAW,MICHIGAN,Yes,Yes,Yes,Yes,Yes,70%,24%,6%,40%,0%,15%,14%,4%,10%,26%,31%,0%,94,50,32,37.2,34.0,28.1,33.0,24.0,21.9,(23.5 - 42.5),(12.2 - 35.8),(7.6 - 36.2),33.7,25.5,25.0,34.1,26.7,25.9,2.1,6.0,12.5,5.8,5.1,4.2,28.6,6/17,1/9,29.0,5/12,1/7,3,0,0,0/3,,,1.3,,,3,4,17,1/3,1/4,7/17,0,0,0,,,,5.3,5.8,5.7
UNIVERSITY OF MICHIGAN MEDICAL CENTER,ANN ARBOR,MICHIGAN,Yes,Yes,No,No,No,77%,20%,3%,24%,0%,38%,8%,0%,24%,23%,5%,2%,89,67,15,15.7,19.4,1/15,13.5,16.4,1/15,(6.4 - 20.6),(7.5 - 25.3),,17.6,20.0,1/11,19.4,20.8,1/9,23.6,17.9,4/15,4.1,4.6,5.1,4/14,2/13,1/1,4/12,2/11,1/1,26,20,2,3.8,0.0,0/2,3.3,3.2,3.0,0,0,0,,,,0,0,0,,,,,,
CENTER FOR REPRODUCTIVE MEDICINE,DEARBORN,MICHIGAN,Yes,Yes,Yes,Yes,No,99%,1%,0%,15%,0%,24%,9%,0%,53%,7%,7%,0%,95,90,41,23.2,8.9,4.9,20.0,4.4,4.9,(12.0 - 28.0),(0.2 - 8.7),(0.0 - 11.5),24.4,7.1,10.0,27.1,8.3,2/15,17.9,37.8,51.2,4.0,3.4,3.3,31.8,2/8,0/2,4/19,1/4,0/2,3,3,1,0/3,0/3,0/1,3.7,2.7,2.0,1,4,1,1/1,1/4,1/1,0,0,0,,,,4.0,4.0,5.0
HURLEY MEDICAL CENTER FOR REPRODUCTIVE MEDICINE,FLINT,MICHIGAN,Yes,No,No,No,No,85%,8%,7%,46%,0%,31%,15%,0%,3%,45%,5%,1%,80,54,41,37.5,16.7,7.3,33.8,14.8,7.3,(23.4 - 44.1),(5.3 - 24.3),(0.0 - 15.3),35.5,18.6,11.1,36.0,19.5,11.5,5.0,20.4,34.1,5.3,5.2,4.5,20.0,2/9,1/3,22.2,0/8,1/3,17,12,0,2/17,1/12,,3.6,3.3,,0,0,0,,,,0,0,0,,,,,,
MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,ROCHESTER,MINNESOTA,Yes,Yes,No,Yes,No,99%,<1%,<1%,46%,0%,29%,9%,1%,10%,45%,1%,5%,135,75,14,34.8,45.3,5/14,32.6,37.3,1/14,(24.7 - 40.5),(26.4 - 48.3),,41.9,49.1,1/10,41.9,49.1,1/10,22.2,24.0,4/14,3.2,3.8,4.0,48.9,32.4,0/5,50.0,32.1,0/1,58,26,8,53.4,34.6,1/8,3.6,3.4,2.8,0,1,0,,0/1,,2,1,11,1/2,0/1,5/11,3.5,3.0,3.6
"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, P.A.",MINNEAPOLIS,MINNESOTA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,17%,0%,35%,13%,1%,7%,24%,20%,0%,117,90,17,46.2,52.2,6/17,42.7,44.4,5/17,(33.8 - 51.7),(34.2 - 54.7),,47.2,52.6,5/15,49.0,54.1,5/14,9.4,15.6,2/17,3.0,3.6,3.4,35.2,51.1,2/6,32.0,57.5,1/5,41,28,8,29.3,17.9,1/8,2.9,3.0,3.0,1,4,5,1/1,3/4,3/5,0,0,0,,,,2.0,2.8,2.8
"REPRODUCTIVE HEALTH ASSOCIATES, P.A.",SAINT PAUL,MINNESOTA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,94%,0%,21%,10%,0%,2%,23%,43%,1%,164,98,19,39.0,37.8,1/19,30.5,33.7,0/19,(23.4 - 37.5),(24.3 - 43.0),,31.1,34.0,0/17,31.1,34.0,0/17,1.8,1.0,2/19,3.8,4.0,4.4,23.4,35.1,0/1,26.0,36.4,,58,28,4,15.5,14.3,1/4,3.5,3.1,2.5,3,6,10,2/3,5/6,4/10,1,0,0,1/1,,,3.3,3.0,3.2
