PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,FdCdEmTr30,FdCdEmTr35,FdCdEmTr40,FdCdEmTr45
PALM BEACH FERTILITY CENTER,BOCA RATON,BOCA RATON,FLORIDA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,0%,0%,43%,9%,2%,7%,15%,19%,5%,20,10,4,8,30.0,2/10,0/4,0/8,25.0,2/10,0/4,0/8,(6.0 - 44.0),,,,5/18,2/8,0/2,0/6,5/14,2/8,0/1,0/6,10.0,2/10,2/4,2/8,4.6,3.6,2.0,3.8,3/6,0/2,,,1/6,0/2,,,3/5,0/2,,,1,2,1,0,1/1,0/2,0/1,,3.0,4.0,5.0,,1,0,1,6,1/1,,0/1,1/6,0,0,0,1,,,,0/1,5.0,,4.0,4.4
THE CENTER FOR HUMAN REPRODUCTION Ð FLORIDA,CLEARWATER,CLEARWATER,FLORIDA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,29%,0%,34%,20%,1%,25%,12%,4%,4%,89,35,39,15,34.8,28.6,15.4,3/15,29.2,25.7,12.8,2/15,(19.8 - 38.7),(11.2 - 40.2),(2.3 - 23.3),,31.7,29.0,15.6,2/10,33.8,31.0,18.5,2/10,7.9,11.4,17.9,5/15,3.7,3.7,3.7,3.7,25.8,3/10,1/6,0/3,19.4,3/10,0/6,1/3,42.3,6/9,1/5,0/2,4,1,0,0,0/4,0/1,,,3.3,3.0,,,2,1,0,2,1/2,1/1,,0/2,0,0,1,0,,,0/1,,3.5,5.0,3.0,5.5
"SPECIALISTS IN REPRODUCTIVE MEDICINE & SURGERY, P.A.",FORT MYERS,FORT MYERS,FLORIDA,Yes,No,No,Yes,Yes,96%,0%,0%,4%,38%,0%,51%,14%,0%,21%,5%,9%,0%,34,10,5,6,41.2,5/10,3/5,2/6,38.2,5/10,3/5,1/6,(21.9 - 54.6),,,,40.6,5/9,3/4,1/6,41.9,5/9,3/3,1/6,5.9,1/10,1/5,0/6,3.8,4.0,4.3,6.0,9/14,2/5,1/3,1/2,0/14,0/5,0/3,0/2,8/13,1/5,0/3,0/1,7,4,4,1,1/7,2/4,0/4,0/1,4.0,3.5,2.3,6.0,2,3,0,0,0/2,2/3,,,0,0,1,0,,,0/1,,3.0,3.0,2.0,
UNIVERSITY OF FLORIDA/PARK AVENUE WOMEN'S CENTER,GAINESVILLE,GAINESVILLE,FLORIDA,Yes,No,Yes,Yes,Yes,100%,0%,0%,0%,34%,0%,28%,21%,0%,17%,8%,24%,2%,30,16,8,8,60.0,2/16,1/8,1/8,60.0,1/16,1/8,1/8,(42.5 - 77.5),,,,60.0,1/14,1/8,1/8,60.0,1/14,1/8,1/8,0.0,2/16,0/8,0/8,3.1,3.0,3.0,2.5,4/18,1/2,1/1,1/1,2/18,0/2,0/1,0/1,4/18,1/1,1/1,1/1,4,1,2,1,0/4,0/1,0/2,0/1,3.3,3.0,2.5,3.0,5,0,4,16,0/5,,1/4,3/16,1,0,0,3,0/1,,,0/3,3.2,,3.3,2.7
FERTILITY INSTITUTE OF NORTHWEST FLORIDA,GULF BREEZE,GULF BREEZE,FLORIDA,Yes,No,No,Yes,No,100%,0%,0%,0%,73%,0%,41%,17%,0%,31%,6%,3%,2%,23,16,9,4,34.8,1/16,1/9,0/4,30.4,1/16,1/9,0/4,(11.6 - 49.2),,,,7/19,1/13,1/7,0/2,7/17,1/11,1/7,0/1,17.4,3/16,2/9,2/4,5.1,5.4,4.9,7.0,1/8,0/1,1/1,,3/8,0/1,0/1,,3/7,0/1,1/1,,11,8,2,0,1/11,2/8,0/2,,3.5,5.3,6.0,,0,0,1,0,,,0/1,,3,0,2,2,0/3,,1/2,1/2,3.7,,4.3,3.5
FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,JACKSONVILLE,JACKSONVILLE,FLORIDA,Yes,Yes,No,Yes,Yes,97%,2%,1%,0%,47%,0%,28%,13%,<1%,37%,8%,12%,2%,117,50,40,3,39.3,44.0,30.0,0/3,32.5,38.0,25.0,0/3,(24.0 - 41.0),(24.5 - 51.5),(11.6 - 38.4),,35.5,42.2,26.3,0/2,38.4,44.2,27.0,0/2,8.5,10.0,5.0,1/3,4.0,4.5,4.7,4.0,41.3,27.3,1/12,,8.7,0.0,1/12,,52.6,5/19,2/10,,56,17,8,3,32.1,6/17,0/8,2/3,4.0,4.0,5.6,4.3,2,1,7,19,0/2,1/1,2/7,9/19,0,1,6,12,,1/1,2/6,5/12,3.0,4.0,4.1,4.6
FERTILITY & IVF CENTER OF MIAMI,MIAMI,MIAMI,FLORIDA,Yes,No,Yes,Yes,Yes,87%,8%,0%,5%,50%,1%,16%,7%,4%,32%,7%,22%,12%,68,32,22,12,23.5,18.8,13.6,0/12,17.6,18.8,9.1,0/12,(8.6 - 26.7),(5.2 - 32.3),(0.0 - 21.1),,18.5,20.0,10.0,0/11,18.8,23.1,2/18,0/10,4.4,6.3,9.1,1/12,5.7,5.4,6.0,5.4,8/16,4/6,1/3,,2/16,1/6,0/3,,6/12,5/6,1/2,,8,1,0,0,1/8,0/1,,,3.5,9.0,,,0,0,2,4,,,0/2,1/4,0,0,0,1,,,,1/1,,,7.0,6.2
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,MIAMI,MIAMI,FLORIDA,Yes,Yes,No,Yes,No,73%,24%,0%,3%,35%,<1%,23%,11%,6%,26%,12%,19%,3%,94,34,49,28,50.0,29.4,20.4,25.0,38.3,29.4,6.1,25.0,(28.5 - 48.1),(14.1 - 44.7),(0.0 - 12.8),(9.0 - 41.0),41.4,31.3,6.7,33.3,42.9,34.5,7.3,7/17,7.4,5.9,8.2,25.0,4.7,4.1,4.2,4.4,23.4,2/10,1/10,1/7,23.4,1/10,1/10,0/7,50.0,1/10,1/3,1/7,13,1,0,1,5/13,0/1,,0/1,4.7,6.0,,3.0,1,0,1,13,1/1,,0/1,5/13,0,0,0,2,,,,0/2,4.0,,5.0,4.4
ARNOLD PALMER HOSPITAL FERTILITY CENTER,ORLANDO,ORLANDO,FLORIDA,Yes,Yes,Yes,Yes,No,99%,0%,0%,1%,40%,0%,31%,13%,2%,17%,16%,14%,7%,68,28,19,19,30.9,39.3,4/19,0/19,22.1,28.6,3/19,0/19,(12.2 - 31.9),(11.8 - 45.3),,,30.0,34.8,3/13,0/9,32.6,34.8,3/12,0/8,26.5,17.9,6/19,10/19,3.3,3.8,4.0,3.5,33.3,4/11,0/4,,19.0,1/11,0/4,,8/15,5/8,0/3,,17,8,2,2,3/17,1/8,0/2,0/2,3.4,2.8,3.0,1.5,1,0,5,5,0/1,,2/5,4/5,1,0,0,0,0/1,,,,3.0,,3.2,3.8
REPRODUCTIVE MEDICINE AND FERTILITY CENTER,ORLANDO,ORLANDO,FLORIDA,Yes,No,No,Yes,No,97%,0%,0%,3%,34%,0%,29%,2%,0%,26%,27%,0%,16%,21,7,5,5,52.4,4/7,4/5,1/5,47.6,4/7,3/5,0/5,(26.3 - 69.0),,,,10/18,4/6,3/5,0/5,10/15,4/6,3/5,0/5,14.3,1/7,0/5,0/5,3.7,4.0,4.6,6.2,3/11,1/4,0/4,0/1,6/11,1/4,2/4,0/1,7/10,2/4,1/3,,3,0,0,0,2/3,,,,4.0,,,,0,1,2,4,,0/1,1/2,3/4,0,0,0,3,,,,1/3,,3.0,3.0,4.0
CENTER FOR ADVANCED REPRODUCTIVE ENDOCRINOLOGY,PLANTATION,PLANTATION,FLORIDA,Yes,Yes,No,Yes,Yes,85%,5%,1%,9%,49%,0%,41%,9%,2%,26%,11%,0%,11%,31,13,16,5,35.5,2/13,3/16,0/5,19.4,2/13,3/16,0/5,(5.4 - 33.3),,,,20.0,2/11,3/13,0/4,20.7,2/10,3/12,0/4,3.2,2/13,3/16,1/5,3.2,3.8,5.1,4.5,2/11,0/2,3/3,,1/11,0/2,0/3,,2/6,0/2,3/3,,6,0,2,0,1/6,,1/2,,2.7,,4.0,,2,0,1,2,1/2,,0/1,1/2,0,0,0,0,,,,,3.5,,4.0,3.5
FERTILITY INSTITUTE OF FORT LAUDERDALE,PLANTATION,PLANTATION,FLORIDA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,0%,0%,43%,25%,0%,0%,4%,21%,7%,11,7,4,1,4/11,3/7,1/4,0/1,4/11,3/7,1/4,0/1,,,,,4/11,3/6,1/4,0/1,4/10,3/4,1/3,0/1,0/11,1/7,0/4,0/1,4.0,3.5,4.0,3.0,2/4,1/3,0/1,,0/4,0/3,0/1,,1/4,1/3,0/1,,1,0,2,0,1/1,,0/2,,4.0,,2.5,,0,0,0,2,,,,1/2,0,0,0,0,,,,,,,,4.0
GENETICS & IVF OF FLORIDA,WEST PALM BEACH,WEST PALM BEACH,FLORIDA,No,Yes,Yes,Yes,No,100%,0%,0%,0%,19%,0%,45%,3%,0%,26%,0%,10%,16%,7,10,3,1,0/7,0/10,1/3,0/1,0/7,0/10,1/3,0/1,,,,,0/5,0/7,1/3,0/1,0/4,0/6,1/2,0/1,2/7,3/10,0/3,0/1,3.3,1.5,4.0,5.0,,,0/1,,,,0/1,,,,0/1,,2,2,2,1,0/2,0/2,0/2,0/1,2.0,3.0,2.5,2.0,0,0,1,0,,,0/1,,0,0,1,0,,,0/1,,,,3.0,
EMORY CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,ATLANTA,ATLANTA,GEORGIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,49%,0%,29%,20%,1%,25%,17%,2%,7%,105,36,15,6,36.2,19.4,3/15,0/6,31.4,13.9,2/15,0/6,(22.5 - 40.3),(2.6 - 25.2),,,45.8,20.0,2/10,0/3,50.0,25.0,2/10,0/2,31.4,30.6,5/15,3/6,3.2,3.5,3.4,4.5,50.0,0/7,1/3,,2.6,0/7,0/3,,48.5,0/5,1/2,,16,5,3,1,4/16,4/5,1/3,0/1,2.9,2.4,2.3,7.0,2,1,2,4,0/2,0/1,2/2,2/4,1,0,0,0,0/1,,,,2.0,3.0,3.0,3.3
REPRODUCTIVE BIOLOGY ASSOCIATES,ATLANTA,ATLANTA,GEORGIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,0%,55%,0%,15%,19%,7%,19%,30%,9%,1%,421,192,175,81,34.0,31.3,24.0,7.4,31.1,24.5,18.9,3.7,(26.7 - 35.5),(18.4 - 30.6),(13.1 - 24.7),(0.0 - 7.8),38.2,32.2,24.3,5.9,39.3,33.3,26.2,6.4,18.5,24.0,22.3,37.0,3.4,3.6,3.5,3.1,28.7,21.7,26.2,1/6,9.1,8.3,2.4,1/6,38.2,31.9,33.3,1/3,101,67,33,14,19.8,6.0,12.1,1/14,3.5,3.2,3.2,3.5,12,21,21,58,6/12,33.3,28.6,29.3,6,8,9,31,2/6,0/8,1/9,9.7,2.7,3.2,3.1,3.2
AUGUSTA REPRODUCTIVE BIOLOGY ASSOCIATES,AUGUSTA,AUGUSTA,GEORGIA,Yes,No,No,Yes,Yes,100%,0%,0%,0%,28%,0%,29%,12%,0%,25%,23%,10%,1%,57,10,6,3,28.1,0/10,2/6,0/3,24.6,0/10,2/6,0/3,(13.4 - 35.7),,,,26.9,0/7,2/6,0/3,29.8,0/6,2/5,0/3,8.8,3/10,0/6,0/3,2.9,2.3,3.8,3.7,5/16,,0/2,,0/16,,0/2,,4/14,,0/2,,12,1,2,1,3/12,0/1,0/2,0/1,1.9,1.0,2.5,2.0,1,1,0,0,1/1,0/1,,,0,0,0,0,,,,,3.0,3.0,,
UNIVERSITY HOSPITALS OF CLEVELAND,CLEVELAND,CLEVELAND,OHIO,Yes,Yes,Yes,Yes,Yes,>99%,0%,0%,<1%,27%,0%,34%,7%,<1%,24%,10%,7%,18%,150,51,51,24,34.0,29.4,15.7,12.5,30.0,17.6,13.7,8.3,(22.7 - 37.3),(7.2 - 28.1),(4.3 - 23.2),(0.0 - 19.4),33.8,22.5,17.5,2/16,34.6,23.1,18.4,2/15,11.3,21.6,21.6,33.3,3.6,3.7,3.9,4.5,21.6,4/15,1/8,0/3,19.6,1/15,2/8,0/3,46.7,5/9,2/7,0/2,46,20,16,3,19.6,5.0,2/16,0/3,2.9,2.6,3.2,3.3,2,0,1,12,0/2,,0/1,4/12,2,0,0,2,0/2,,,0/2,2.5,,4.0,3.4
UNIVERSITY INFERTILITY ASSOCIATES,LONG BEACH,LONG BEACH,CALIFORNIA,Yes,Yes,Yes,Yes,No,51%,47%,0%,2%,16%,0%,15%,15%,1%,13%,19%,37%,<1%,59,64,42,35,42.4,31.3,31.0,20.0,33.9,25.0,26.2,5.7,(21.8 - 46.0),(14.4 - 35.6),(12.9 - 39.5),(0.0 - 13.4),39.2,29.1,29.7,6.5,39.2,29.6,31.4,6.7,13.6,14.1,11.9,11.4,3.9,4.0,4.0,5.4,24.0,35.0,2/13,0/7,16.0,5.0,1/13,0/7,40.0,7/16,2/11,0/2,18,11,20,9,2/18,2/11,5.0,0/9,3.1,3.5,3.2,3.0,0,0,2,12,,,0/2,5/12,0,1,4,9,,1/1,1/4,3/9,,4.0,3.7,3.7
UNIVERSITY OF COLORADO HEALTH SCIENCES CENTER,DENVER,DENVER,COLORADO,Yes,Yes,No,Yes,No,84%,16%,0%,0%,23%,0%,38%,25%,3%,16%,6%,0%,12%,45,32,12,4,40.0,46.9,0/12,0/4,37.8,37.5,0/12,0/4,(23.6 - 51.9),(20.7 - 54.3),,,37.8,44.4,0/10,,37.8,44.4,0/8,,0.0,15.6,2/12,4/4,3.6,4.0,4.0,,8/18,4/15,,,3/18,1/15,,,10/17,3/12,,,0,2,1,0,,0/2,0/1,,,2.0,2.0,,0,2,0,1,,1/2,,1/1,0,0,0,0,,,,,,4.0,,3.0
UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,LOS ANGELES,CALIFORNIA,Yes,Yes,Yes,Yes,No,92%,1%,7%,0%,20%,5%,20%,4%,2%,9%,37%,1%,27%,13,16,12,20,6/13,9/16,2/12,25.0,4/13,7/16,0/12,5.0,,,,(0.0 - 14.6),4/13,7/16,0/12,5.0,4/13,7/16,0/12,5.0,0/13,0/16,0/12,0.0,3.2,4.1,4.2,4.9,0/6,6/9,0/2,1/5,1/6,2/9,0/2,0/5,1/4,5/7,,0/1,6,5,2,7,1/6,1/5,0/2,0/7,3.3,2.6,2.0,3.6,0,1,4,16,,1/1,4/4,7/16,0,1,2,23,,0/1,0/2,17.4,,3.5,3.5,3.2
UNIVERSITY OF VIRGINIA ART PROGRAM,CHARLOTTESVILLE,CHARLOTTESVILLE,VIRGINIA,Yes,Yes,No,Yes,No,73%,0%,27%,0%,28%,0%,37%,21%,3%,15%,18%,0%,6%,37,20,12,2,40.5,25.0,4/12,0/2,40.5,15.0,4/12,0/2,(24.7 - 56.4),(0.0 - 30.6),,,46.9,3/13,4/10,,46.9,3/12,4/10,,13.5,35.0,2/12,2/2,3.7,3.2,4.1,,3/15,1/5,3/4,,4/15,0/5,0/4,,6/15,1/3,2/4,,0,3,1,2,,1/3,1/1,1/2,,1.7,1.0,2.5,1,0,2,5,1/1,,1/2,2/5,0,0,0,2,,,,1/2,4.0,,3.5,3.4
UNIVERSITY OF WISCONSIN - MADISON,MADISON,MADISON,WISCONSIN,Yes,Yes,No,Yes,No,88%,10%,1%,1%,28%,0%,29%,3%,0%,25%,15%,3%,25%,47,16,7,2,31.9,7/16,2/7,0/2,27.7,7/16,2/7,0/2,(14.9 - 40.4),,,,31.7,7/14,2/7,0/2,32.5,7/12,2/6,0/2,12.8,2/16,0/7,0/2,5.1,4.3,4.0,3.5,4/15,4/7,0/2,,1/15,1/7,0/2,,4/13,5/7,0/2,,6,3,0,0,1/6,1/3,,,3.5,4.0,,,0,0,0,3,,,,1/3,0,0,0,1,,,,1/1,,,,5.8
UNIVERSITY OF WASHINGTON,SEATTLE,SEATTLE,WASHINGTON,Yes,Yes,No,Yes,No,97%,1%,1%,0%,47%,1%,27%,14%,4%,23%,12%,12%,9%,133,84,89,53,34.6,31.0,18.0,3.8,29.3,31.0,9.0,3.8,(21.6 - 37.1),(21.1 - 40.8),(3.0 - 14.9),(0.0 - 8.9),32.8,40.0,12.1,5.4,34.8,40.6,12.3,5.7,10.5,22.6,25.8,30.2,3.0,3.2,3.7,4.7,37.0,15.4,3/16,0/2,10.9,19.2,0/16,0/2,53.8,30.8,1/8,0/2,26,13,6,2,19.2,3/13,2/6,0/2,3.2,3.1,2.8,6.5,7,5,9,31,2/7,0/5,1/9,29.0,5,1,6,11,1/5,0/1,1/6,2/11,3.3,3.2,3.2,3.1
WASHINGTON UNIVERSITY AND BARNES JEWISH HOSPTIAL,SAINT LOUIS,SAINT LOUIS,MISSOURI,Yes,Yes,No,Yes,No,99%,<1%,0%,<1%,16%,0%,40%,16%,1%,15%,11%,3%,14%,67,47,36,19,31.3,27.7,16.7,1/19,28.4,25.5,13.9,1/19,(17.6 - 39.2),(13.1 - 38.0),(2.6 - 25.2),,31.1,35.3,19.2,1/14,35.8,40.0,20.0,1/13,9.0,27.7,27.8,5/19,3.6,3.2,3.8,3.3,38.1,5/13,2/6,0/1,9.5,1/13,0/6,0/1,6/19,5/12,1/5,0/1,14,5,4,2,1/14,1/5,0/4,0/2,2.9,3.2,3.0,3.0,0,4,1,3,,2/4,0/1,1/3,0,0,0,1,,,,0/1,,4.5,4.0,3.5
FAMILY FERTILITY PROGRAM,APPLETON,APPLETON,WISCONSIN,Yes,Yes,No,Yes,No,92%,8%,0%,0%,0%,0%,63%,5%,0%,0%,21%,6%,5%,7,4,2,0,2/7,0/4,0/2,,1/7,0/4,0/2,,,,,,1/7,0/3,0/2,,1/7,0/3,,,0/7,1/4,0/2,,4.4,4.0,,,1/2,,,,0/2,,,,1/1,,,,0,1,0,0,,0/1,,,,3.0,,,0,0,0,1,,,,0/1,0,0,0,0,,,,,,,,4.0
UNIVERSITY WOMEN'S HEALTH CARE ASSOCIATES,PITTSBURGH,PITTSBURGH,PENNSYLVANIA,Yes,Yes,No,Yes,No,95%,1%,0%,4%,26%,0%,25%,13%,0%,18%,13%,31%,0%,103,73,37,18,25.2,24.7,18.9,2/18,18.4,17.8,16.2,2/18,(11.0 - 25.9),(9.0 - 26.6),(4.3 - 28.1),,19.0,20.6,18.8,2/17,20.0,21.7,19.4,2/14,2.9,13.7,13.5,1/18,3.9,3.5,4.1,3.4,7.7,3/18,0/7,1/2,23.1,1/18,0/7,0/2,8/19,4/13,0/6,0/2,1,4,0,0,0/1,0/4,,,1.0,1.5,,,1,2,0,7,0/1,0/2,,0/7,0,0,0,0,,,,,4.0,5.5,,4.0
VERMONT CENTER FOR REPRODUCTIVE MEDICINE,BURLINGTON,BURLINGTON,VERMONT,Yes,Yes,No,Yes,No,100%,0%,0%,0%,0%,0%,54%,5%,3%,15%,7%,10%,6%,24,16,11,7,45.8,5/16,1/11,0/7,45.8,4/16,1/11,0/7,(25.9 - 65.8),,,,55.0,4/14,1/10,0/6,11/19,4/13,1/9,0/5,16.7,2/16,1/11,1/7,3.5,3.9,4.3,1.8,3/11,0/5,0/1,,0/11,1/5,0/1,,2/11,1/4,0/1,,1,0,1,0,0/1,,0/1,,2.0,,4.0,,0,0,0,1,,,,0/1,0,0,0,0,,,,,,,,4.0
"CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE, P.A.",ORLANDO,ORLANDO,FLORIDA,Yes,No,No,Yes,No,98%,<1%,0%,1%,31%,0%,36%,17%,<1%,24%,12%,3%,8%,128,71,48,12,38.3,42.3,18.8,3/12,32.0,32.4,6.3,0/12,(23.9 - 40.1),(21.5 - 43.3),(0.0 - 13.1),,38.3,40.4,7.9,0/10,42.3,41.8,8.6,0/9,16.4,19.7,20.8,2/12,2.9,3.1,3.4,3.0,30.6,30.0,0/9,0/3,18.4,13.3,0/9,0/3,48.8,52.2,0/3,,16,12,6,1,4/16,2/12,0/6,0/1,3.2,3.7,2.5,2.0,0,1,1,2,,1/1,0/1,1/2,0,0,0,0,,,,,,5.0,4.0,3.5
HUNTINGTON REPRODUCTIVE CENTER,PASADENA,PASADENA,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,90%,1%,8%,1%,68%,1%,19%,9%,6%,30%,20%,12%,4%,113,57,80,64,50.4,36.8,33.8,17.2,43.4,29.8,25.0,10.9,(34.2 - 52.5),(17.9 - 41.7),(15.5 - 34.5),(3.3 - 18.6),43.8,30.9,25.0,11.9,44.1,30.9,25.3,11.9,0.9,3.5,0.0,7.8,4.3,4.0,4.2,3.4,31.6,33.3,33.3,1/11,7.0,9.5,0.0,0/11,36.7,7/17,40.0,1/7,13,7,10,6,2/13,1/7,2/10,0/6,3.2,3.1,3.9,3.0,7,4,9,43,4/7,1/4,4/9,46.5,0,0,5,6,,,2/5,1/6,3.9,3.5,3.3,3.3
THE INSTITUTE FOR REPRODUCTIVE MEDICINE AND SCIENCE,LIVINGSTON,LIVINGSTON,NEW JERSEY,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,0%,34%,0%,20%,10%,2%,24%,30%,4%,10%,516,294,245,103,61.6,55.4,46.9,29.1,53.7,44.2,36.3,16.5,(49.4 - 58.0),(38.5 - 49.9),(30.3 - 42.3),(9.3 - 23.7),57.3,49.2,43.4,21.0,60.2,51.0,44.5,22.4,6.4,10.2,16.3,21.4,2.9,3.4,3.6,3.7,39.6,35.6,27.0,16.7,13.5,13.5,11.3,0.0,48.7,49.2,37.1,3/17,63,29,13,8,54.0,37.9,4/13,4/8,3.0,3.3,3.5,2.8,24,23,24,64,75.0,60.9,50.0,62.5,0,4,2,8,,2/4,1/2,4/8,2.9,2.6,3.1,2.8
"COOPER CENTER FOR IVF, P.C.",MARLTON,MARLTON,NEW JERSEY,Yes,Yes,Yes,Yes,Yes,99%,0%,<1%,1%,30%,1%,33%,10%,3%,20%,25%,2%,6%,250,156,139,156,26.8,30.1,20.9,6.4,24.0,21.8,16.5,4.5,(18.7 - 29.3),(15.3 - 28.3),(10.4 - 22.7),(1.2 - 7.7),29.3,28.3,21.3,6.6,42.0,33.7,29.1,12.3,18.0,23.1,22.3,32.1,3.2,3.1,3.5,4.1,29.9,19.1,31.0,2/10,13.4,10.6,10.3,1/10,35.0,26.5,26.1,1/7,129,56,34,25,49.6,28.6,14.7,20.0,3.5,3.3,4.2,3.5,7,4,3,29,4/7,0/4,2/3,58.6,5,5,4,47,1/5,3/5,1/4,34.0,3.5,3.7,3.9,3.7
DELAWARE VALLEY INSTITUTE OF FERTILITY AND GENETICS,MARLTON,MARLTON,NEW JERSEY,Yes,Yes,No,No,No,97%,0%,0%,3%,28%,0%,50%,13%,0%,20%,4%,11%,2%,12,12,3,5,1/12,5/12,0/3,0/5,1/12,5/12,0/3,0/5,,,,,1/11,5/10,0/1,0/3,1/10,5/10,0/1,0/3,1/12,2/12,2/3,2/5,4.1,4.5,3.0,3.0,0/1,0/5,,,0/1,1/5,,,0/1,1/5,,,8,3,0,0,4/8,0/3,,,4.6,4.3,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"SOUTH JERSEY FERTILITY CENTER, P.A.",MARLTON,MARLTON,NEW JERSEY,Yes,Yes,No,Yes,No,92%,5%,3%,0%,33%,0%,47%,14%,1%,26%,3%,<1%,10%,64,47,25,11,40.6,25.5,32.0,4/11,37.5,19.1,28.0,4/11,(25.6 - 49.4),(7.9 - 30.4),(10.4 - 45.6),,39.3,21.4,33.3,4/11,40.7,21.4,35.0,4/9,4.7,10.6,16.0,0/11,3.5,3.3,3.8,4.2,19.2,4/12,2/8,1/4,26.9,2/12,1/8,0/4,45.8,4/9,3/7,1/4,13,6,2,1,3/13,1/6,0/2,0/1,2.6,2.8,1.0,4.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
DIAMOND INSTITUTE FOR INFERTILITY AND MENOPAUSE,MILLBURN,MILLBURN,NEW JERSEY,Yes,Yes,No,Yes,No,>99%,0%,0%,<1%,48%,0%,35%,10%,2%,35%,10%,7%,1%,106,46,53,47,23.6,19.6,17.0,6.4,21.7,19.6,11.3,4.3,(13.9 - 29.5),(8.1 - 31.0),(2.8 - 19.9),(0.0 - 10.0),23.2,23.1,13.6,6.7,24.0,23.7,14.0,6.9,6.6,15.2,17.0,36.2,5.2,4.8,4.6,3.2,16.0,2/9,0/9,0/3,28.0,1/9,0/9,1/3,43.5,3/9,0/6,1/2,13,2,5,1,3/13,0/2,0/5,1/1,3.6,1.0,3.4,4.0,3,3,2,14,3/3,1/3,1/2,6/14,0,0,0,1,,,,0/1,5.3,5.0,4.5,4.9
CENTER FOR REPRODUCTIVE ENDOCRINOLOGY,MORRISTOWN,MORRISTOWN,NEW JERSEY,Yes,Yes,No,No,No,100%,0%,0%,0%,31%,0%,15%,35%,0%,12%,15%,15%,8%,10,8,3,5,5/10,3/8,1/3,0/5,5/10,3/8,1/3,0/5,,,,,5/9,3/7,1/1,0/4,5/8,3/6,1/1,0/3,1/10,1/8,2/3,1/5,3.6,5.0,4.0,3.7,2/5,0/3,1/1,,2/5,0/3,0/1,,4/5,0/3,1/1,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
JERSEY SHORE MEDICAL CENTER IVF PROGRAM,NEPTUNE,NEPTUNE,NEW JERSEY,Yes,No,No,Yes,No,100%,0%,0%,0%,0%,0%,39%,17%,0%,0%,0%,44%,0%,12,2,2,6,2/12,0/2,0/2,0/6,2/12,0/2,0/2,0/6,,,,,2/9,0/2,,0/3,2/9,0/2,,0/3,3/12,0/2,2/2,3/6,3.6,3.5,,5.0,2/2,,,,0/2,,,,2/2,,,,0,0,0,0,,,,,,,,,0,0,1,0,,,0/1,,0,0,0,0,,,,,,,3.0,
ROBERT WOOD JOHNSON MEDICAL SCHOOL ART PROGRAM,NEW BRUNSWICK,NEW BRUNSWICK,NEW JERSEY,Yes,Yes,No,Yes,No,98%,2%,0%,0%,36%,0%,24%,13%,4%,29%,17%,11%,2%,162,79,49,21,30.2,29.1,10.2,14.3,23.5,22.8,6.1,4.8,(16.9 - 30.0),(13.5 - 32.0),(0.0 - 12.8),(0.0 - 13.9),26.4,26.1,7.5,1/17,29.0,28.6,7.7,1/17,11.1,12.7,18.4,19.0,3.0,3.6,3.9,6.2,32.7,30.4,2/5,1/3,16.3,8.7,1/5,0/3,52.6,7/18,1/3,0/1,41,13,8,2,17.1,1/13,1/8,1/2,2.9,2.9,2.4,2.5,5,3,1,8,0/5,1/3,0/1,5/8,0,2,1,0,,0/2,0/1,,2.2,2.8,1.5,2.5
