Clinic_Name,Clinic_City,Clinic_State,SART_Member,Single_Women,Surrogates,Donor_Eggs_Shared,IVF_Rate,GIFT_Rate,ZIFT_Rate,ICSI_Rate,Diag_TubalRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Number_Cycles_LT35,Number_Cycles_35to39,Number_Cycles_GT39,Preg_Per_Cycle_LT35,Preg_Per_Cycle_35to39,Preg_Per_Cycle_GT39,Preg_Per_Cycle_Conf,Live_Births_Cycle_LT35,Live_Births_Cycle_35to39,Live_Births_Cycle_GT39,Live_Birthsr_Cycle_Conf,Live_Births_Retrv_LT35,Live_Births_Retrv_35to39,Live_Births_Retrv_GT39,Live_Births_Retrv_Conf,Live_Births_Trans_LT35,Live_Births_Trans_35to39,Live_Births_Trans_GT39,Live_Births_Trans_Conf,Cancel_LT35,Cancel_35to39,Cancel_GT39,AVG_Embryos_LT35,AVG_Embryos_35to39,AVG_Embryos_GT39,MultBirth_TW_LT35,MultBirth_TW_35to39,MultBirth_TW_GT39,MultBirth_TR_LT35,MultBirth_TR_35to39,MultBirth_TRW_GT39,Num_Transfer_LT35,Num_Transfer_35to39,Num_Transfer_GT39,Live_Births_TX_LT35,Live_Births_TX_35to39,Live_Births_TX_GT39,AVG_Num_TX_LT35,AVG_Num_TX_35to39,AVG_Num_TX_GT39,Num_Fresh_TX_LT35,Num_Fresh_TX_35to39,Num_Fresh_TX_GT39,Live_TX_LT35,Live_TX_35_39,Live_TX_GT39,AVG_TX_LT35,AVG_TX_35to39,AVG_TX_GT39
CENTER FOR ASSISTED REPRODUCTION,SOUTH BEND,INDIANA,YES,NO,NO,0%,84%,16%,0%,0%,50%,34%,5%,5%,3%,3%,   19,   12,    7,6/19,1/12,0/7,17.5 (6.4-28.7),6/19,1/12,0/7,17.5 (6.4-28.7),6/15,1/10,0/3,,6/14,1/8,0/2,,4/19,2/12,4/7,3.1,3.8,4.5,0/14,0/8,0/2,1/14,0/8,0/2,0,0,0,,,,,,,0,0,0,,,,,,
MCFARLAND CLINIC ASSISTED REPRODUCTION PROGRAM,AMES,IOWA,YES,NO,NO,0%,41%,59%,0%,0%,30%,25%,0%,7%,18%,20%,   75,   44,    9,30.7,22.7,1/9,24.3 (16.8-31.8),25.3,15.9,1/9,17.4 (11.4-23.4),26.4,21.2,0/9,19.8 (12.9-26.6),27.1,21.9,0/8,20.4 (13.3-27.4),4.0,25.0,1/9,4.2,4.5,4.6,8.6,9.4,0/8,1.4,0.0,0/8,33,10,2,18.2,1/10,0/2,3.4,3.5,4.0,0,0,0,,,,,,
UNIVERSITY OF IOWA HOSPITALS AND CLINICS,IOWA CITY,IOWA,YES,NO,NO,7%,62%,1%,37%,23%,36%,5%,2%,18%,27%,12%,  139,  120,   32,39.6,31.7,18.8,33.0 (27.6-38.4),31.7,28.3,18.8,28.2 (23.0-33.4),33.9,34.0,26.1,32.5 (26.6-38.5),35.8,34.7,28.6,34.1 (27.9-40.3),6.5,16.7,28.1,3.8,3.7,3.1,9.8,9.2,0.0,4.0,0.0,0.0,82,49,12,14.6,10.2,0/12,3.9,3.6,3.5,4,9,14,3/4,4/9,5/14,4.0,4.1,3.7
MID-IOWA FERTILITY,WEST DES MOINES,IOWA,YES,YES,YES,0%,92%,8%,0%,10%,35%,24%,14%,10%,7%,10%,   30,   16,    5,26.7,4/16,0/5,21.3 (10.7-31.8),26.7,3/16,0/5,19.0 (9.0-29.0),27.6,3/13,0/3,,29.6,3/11,0/3,,3.3,3/16,2/5,4.0,3.7,5.0,7.4,1/11,0/3,7.4,0/11,0/3,7,1,2,1/7,0/1,0/2,3.1,4.0,3.5,0,0,2,,,0/2,,,5.0
WOMEN'S REPRODUCTIVE CENTER,KANSAS CITY,KANSAS,YES,NO,NO,0%,73%,24%,3%,0%,22%,24%,0%,3%,43%,8%,   46,   28,    1,15.2,10.7,0/1,,15.2,10.7,0/1,,16.7,12.5,0/1,,24.1,3/15,0/1,,8.7,13.8,0/1,4.7,4.8,4.0,0.0,0/15,0/1,2.5,0/15,0/1,3,3,0,0/3,0/3,,3.0,2.0,,0,0,0,,,,,,
REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY,OVERLAND PARK,KANSAS,YES,NO,NO,50%,74%,26%,0%,21%,19%,4%,1%,32%,26%,18%,  144,  106,   28,35.4,34.0,17.9,31.7 (26.3-37.2),30.6,26.4,14.3,26.1 (21.0-31.3),35.5,35.4,19.1,32.5 (26.3-38.7),36.1,35.4,20.0,33.0 (26.6-39.3),13.9,25.5,25.0,3.6,3.9,5.0,8.2,11.4,5.0,1.6,2.5,0.0,28,22,10,0.0,4.6,1/10,3.3,2.5,3.1,5,4,19,1/5,2/4,6/19,4.4,5.5,4.5
THE CENTER FOR REPRODUCTIVE MEDICINE,WICHITA,KANSAS,YES,YES,YES,0%,70%,29%,1%,7%,44%,32%,3%,9%,1%,11%,   80,   51,   20,45.0,25.5,15.0,32.6 (25.4-39.8),32.5,19.6,10.0,23.8 (17.2-30.4),35.6,28.6,2/16,28.9 (21.0-36.9),38.2,30.3,2/14,31.1 (22.6-39.5),8.8,29.4,20.0,4.8,4.4,5.4,13.2,12.1,0/14,4.4,0.0,0/14,20,13,2,25.0,1/13,0/2,4.4,4.4,3.0,3,0,5,0/3,,2/5,4.3,,5.0
FERTILITY AND ENDOCRINE ASSOCIATES,LEXINGTON,KENTUCKY,YES,YES,NO,0%,96%,1%,3%,0%,48%,14%,0%,21%,17%,0%,   46,   26,    5,13.0,11.5,1/5,13.8 (4.8-22.7),10.9,3.9,0/5,6.4 (1.5-11.4),12.8,4.6,0/4,,17.2,1/14,0/3,,15.2,15.4,1/5,4.1,3.3,3.3,6.9,0/14,0/3,0.0,0/14,0/3,0,1,0,,0/1,,,2.0,,0,0,0,,,,,,
UNIVERSITY OF KENTUCKY CHANDLER MEDICAL CENTER,LEXINGTON,KENTUCKY,YES,YES,NO,0%,100%,0%,0%,,13%,53%,0%,20%,7%,7%,    8,    6,    2,3/8,0/6,0/2,,2/8,0/6,0/2,,2/8,0/4,0/2,,2/8,0/3,0/1,,0/8,2/6,0/2,3.1,3.0,2.0,0/8,0/3,0/1,0/8,0/3,0/1,2,0,0,2/2,,,3.5,,,0,0,0,,,,,,
ALLIANT HEALTH SYSTEM FERTILITY CENTER,LOUISVILLE,KENTUCKY,YES,YES,NO,0%,97%,3%,<1%,15%,41%,16%,2%,16%,22%,3%,   49,   39,   28,28.6,30.8,17.9,27.4 (19.2-35.7),22.5,23.1,7.1,19.9 (12.5-27.3),25.6,29.0,10.0,24.0 (15.4-32.7),27.5,32.1,2/19,26.1 (16.9-35.4),14.3,20.5,28.6,3.0,3.4,3.8,7.5,3.6,0/19,2.5,0.0,0/19,16,3,1,2/16,0/3,0/1,2.8,3.0,3.0,0,1,4,,0/1,1/4,,4.0,3.5
FERTILITY AND LASER CENTER IVF PROGRAM,METAIRIE,LOUISIANA,YES,YES,YES,0%,95%,5%,0%,0%,42%,14%,0%,15%,23%,6%,   63,   42,   31,27.0,11.9,9.7,18.4 (12.0-24.9),25.4,9.5,6.5,16.3 (10.2-22.4),29.1,14.8,8.0,20.2 (12.6-27.7),32.0,18.2,2/15,23.7 (14.8-32.5),12.7,35.7,19.4,5.5,4.3,4.7,24.0,4.6,2/15,0.0,4.6,0/15,6,1,3,0/6,0/1,0/3,4.0,6.0,3.0,1,2,4,1/1,0/2,0/4,5.0,3.0,3.0
FERTILITY INSTITUTE OF NEW ORLEANS,NEW ORLEANS,LOUISIANA,YES,YES,YES,2%,76%,22%,2%,9%,12%,34%,14%,11%,28%,1%,   80,   59,   21,33.8,25.4,9.5,26.4 (19.8-33.0),30.0,18.6,4.8,21.4 (15.3-27.4),31.2,22.4,1/17,23.5 (16.8-30.1),32.0,23.9,1/16,24.3 (17.4-31.1),3.8,16.9,14.3,3.7,4.3,3.7,12.0,4.3,0/16,0.0,2.2,0/16,3,6,2,1/3,2/6,0/2,2.7,1.3,3.0,2,5,2,0/2,1/5,2/2,3.5,3.6,3.0
THE CENTER FOR FERTILITY AND ADVANCED REPRODUCTIVE CARE,NEW ORLEANS,LOUISIANA,YES,YES,YES,0%,79%,21%,0%,3%,36%,15%,12%,21%,9%,7%,   19,    9,    5,9/19,2/9,0/5,29.8 (15.6-44.0),7/19,2/9,0/5,24.9 (11.0-38.9),7/19,2/9,0/5,24.9 (11.0-38.9),7/16,2/8,0/4,,0/19,0/9,0/5,3.3,3.4,3.0,0/16,1/8,0/4,2/16,0/8,0/4,2,1,0,1/2,0/1,,3.0,4.0,,0,0,0,,,,,,
CENTER FOR FERTILITY AND REPRODUCTIVE HEALTH,SHREVEPORT,LOUISIANA,YES,NO,YES,0%,100%,0%,0%,11%,25%,32%,4%,39%,0%,0%,   13,   11,    4,1/13,2/11,0/4,,1/13,1/11,0/4,,1/9,1/9,0/1,,1/7,1/8,0/1,,4/13,2/11,3/4,3.1,3.9,4.0,0/7,0/8,0/1,1/7,0/8,0/1,1,2,0,0/1,0/2,,4.0,3.0,,0,0,1,,,0/1,,,5.0
ART PROGRAM AT SINAI HOSPITAL,BALTIMORE,MARYLAND,YES,YES,NO,0%,98%,2%,0%,4%,33%,41%,0%,18%,2%,6%,   26,   18,    5,23.1,5/18,0/5,20.6 (10.1-31.2),23.1,4/18,0/5,18.6 (8.5-28.8),30.0,4/13,0/3,,6/18,4/10,0/1,,23.1,5/18,2/5,3.5,3.5,4.0,1/18,1/10,0/1,0/18,0/10,0/1,2,2,0,0/2,0/2,,4.0,4.5,,0,0,0,,,,,,
CENTER FOR ADVANCED REPRODUCTIVE TECHNOLOGY,BALTIMORE,MARYLAND,YES,YES,NO,0%,77%,1%,22%,0%,53%,20%,7%,1%,3%,16%,   35,   21,   14,17.1,9.5,0/14,11.1 (4.0-18.6),14.3,9.5,0/14,10.0 (3.0-17.0),19.2,2/11,0/4,,20.8,2/11,0/4,,25.7,47.6,10/14,4.5,3.5,2.3,0.0,1/11,0/4,0.0,0/11,0/4,1,1,1,0/1,0/1,0/1,1.0,4.0,5.0,2,3,8,0/2,2/3,4/8,5.0,4.7,6.3
THE GBMC FERTILITY CENTER,BALTIMORE,MARYLAND,YES,YES,NO,0%,96%,3%,1%,36%,27%,28%,1%,32%,7%,5%,  252,  224,  152,25.0,15.2,9.9,18.7 (15.6-21.8),22.6,10.7,8.6,15.6 (12.7-18.5),24.8,12.6,11.7,17.9 (14.6-21.1),26.6,13.9,12.9,19.4 (15.9-22.9),8.7,15.2,26.3,3.7,3.3,3.4,6.1,1.7,1.0,2.3,0.0,0.0,108,79,21,12.0,13.9,9.5,3.1,3.1,2.9,1,2,4,1/1,0/2,2/4,2.0,2.5,3.3
"THE JOHNS HOPKINS HOSPITAL, DEPARTMENT OF OB/GYN",BALTIMORE,MARYLAND,YES,YES,YES,20%,82%,18%,0%,0%,43%,20%,0%,20%,5%,12%,   29,   14,    7,37.9,8/14,1/7,40.6 (27.4-53.8),34.5,5/14,1/7,31.3 (18.4-44.2),35.7,5/14,1/7,31.9 (18.8-44.9),37.0,5/14,1/7,32.5 (19.3-45.6),3.5,0/14,0/7,4.5,4.6,5.1,11.1,2/14,0/7,3.7,0/14,0/7,2,4,3,0/2,0/4,0/3,2.5,3.5,3.3,3,1,3,1/3,0/1,0/3,4.7,4.0,4.0
THE UNION MEMORIAL HOSPITAL,BALTIMORE,MARYLAND,YES,YES,YES,0%,82%,13%,4%,0%,25%,10%,0%,22%,15%,28%,   27,   27,   14,29.6,14.8,1/14,20.2 (10.6-29.8),22.2,14.8,0/14,15.5 (6.9-24.2),6/19,20.0,0/8,21.7 (10.2-33.2),6/18,4/19,0/7,22.7 (10.8-34.7),29.6,25.9,6/14,4.0,3.7,4.4,3/18,2/19,0/7,0/18,0/19,0/7,2,3,1,0/2,1/3,0/1,5.5,2.3,1.0,0,0,3,,,3/3,,,3.7
CENTER FOR HUMAN REPRODUCTION OF THE MID-ATLANTIC,BETHESDA,MARYLAND,YES,YES,NO,5%,89%,6%,5%,23%,29%,17%,5%,18%,9%,22%,  107,   81,   53,22.4,28.4,3.8,21.2 (16.1-26.4),17.8,23.5,0.0,16.6 (11.9-21.3),19.2,27.9,0.0,18.9 (13.6-24.1),23.5,30.7,0.0,21.8 (15.9-27.7),7.5,16.1,32.1,3.4,3.2,2.6,3.7,3.2,0.0,1.2,1.6,0.0,12,2,2,2/12,0/2,0/2,3.1,1.5,1.5,4,3,11,2/4,1/3,3/11,4.3,3.7,3.6
SHADY GROVE FERTILITY CENTER,ROCKVILLE,MARYLAND,YES,YES,YES,60%,99%,<1%,<1%,5%,29%,21%,0%,24%,8%,18%,  161,  114,   61,27.3,18.4,13.1,21.6 (17.2-25.9),25.5,16.7,11.5,19.8 (15.6-24.0),26.8,18.5,14.3,21.5 (17.0-26.1),35.0,24.7,19.4,27.3 (21.7-32.9),5.0,9.7,19.7,3.9,3.8,3.4,12.8,7.8,0.0,2.6,0.0,0.0,0,0,0,,,,,,,0,1,1,,0/1,0/1,,3.0,2.0
FERTILITY CENTER OF MARYLAND,TOWSON,MARYLAND,YES,NO,NO,0%,92%,4%,4%,0%,38%,32%,11%,5%,12%,2%,   95,   68,   34,28.4,27.9,5.9,24.2 (18.3-30.0),27.3,23.5,2.9,21.5 (16.0-27.1),28.0,26.2,4.0,23.0 (17.1-29.0),28.9,27.6,4.5,23.8 (17.6-30.0),2.1,10.2,26.5,3.6,3.7,4.4,8.0,1.7,4.5,0.0,0.0,0.0,38,12,6,23.7,3/12,0/6,3.3,3.0,4.8,0,0,0,,,,,,
BRIGHAM AND WOMEN'S HOSPITAL IVF PROGRAM,BOSTON,MASSACHUSETTS,YES,YES,NO,0%,95%,5%,0%,9%,29%,14%,6%,30%,14%,7%,  231,  217,  120,26.0,23.9,17.5,23.9 (20.4-27.4),22.9,22.6,13.3,21.1 (17.7-24.4),23.7,24.3,13.7,22.1 (18.6-25.6),25.7,26.5,15.4,24.1 (20.4-27.9),2.6,6.9,2.5,3.9,4.1,4.4,7.8,7.5,3.9,1.5,1.1,0.0,15,10,2,5/15,1/10,1/2,4.1,3.3,3.0,2,3,4,0/2,1/3,1/4,5.5,4.7,4.5
FAULKNER CENTER FOR REPRODUCTIVE MEDICINE,BOSTON,MASSACHUSETTS,YES,YES,NO,<1%,97%,3%,0%,52%,19%,16%,5%,28%,20%,12%,   32,   48,   22,15.6,10.4,4.6,11.7 (5.0-18.5),9.4,6.3,0.0,6.6 (1.3-11.9),9.4,6.4,0.0,6.6 (1.3-11.9),12.0,7.5,0/16,8.2 (1.7-14.8),0.0,2.1,4.6,3.2,2.9,2.6,0.0,0.0,1/16,4.0,0.0,0/16,2,0,3,0/2,,0/3,1.5,,9.0,6,5,15,1/6,1/5,6/15,3.8,3.4,3.1
MASSACHUSETTS GENERAL HOSPITAL VINCENT IVF UNIT,BOSTON,MASSACHUSETTS,YES,YES,YES,0%,98%,2%,0%,12%,22%,19%,16%,32%,3%,8%,   86,   54,   45,26.7,24.1,6.7,22.2 (16.1-28.3),22.1,22.2,6.7,19.4 (13.5-25.2),22.6,24.5,7.0,20.5 (14.3-26.6),26.0,27.3,7.3,22.6 (15.9-29.2),2.3,9.3,4.4,3.8,4.4,4.3,11.0,4.6,2.4,2.7,0.0,0.0,14,10,4,2/14,1/10,2/4,3.4,4.5,2.8,0,0,0,,,,,,
BOSTON IVF,BROOKLINE,MASSACHUSETTS,YES,YES,YES,52%,87%,13%,0%,12%,24%,12%,4%,24%,%,25%,  890,  653,  729,19.2,15.6,11.0,16.4 (14.8-18.0),16.9,13.6,7.8,14.1 (12.6-15.6),18.6,15.5,9.7,15.9 (14.2-17.6),23.7,18.3,10.9,19.5 (17.4-21.5),9.4,12.3,19.3,2.8,3.2,3.2,7.4,5.7,1.9,1.7,0.6,0.0,195,129,136,25.9,15.7,14.9,2.6,2.7,2.5,25,39,64,16.0,12.8,34.3,2.8,2.7,3.0
NEW ENGLAND FERTILITY AND ENDOCRINOLOGY ASSOCIATES,BROOKLINE,MASSACHUSETTS,YES,YES,NO,0%,100%,0%,0%,0%,29%,29%,0%,39%,0%,3%,   16,   13,    2,0/16,0/13,0/2,,0/16,0/13,0/2,,0/15,0/13,0/2,,0/5,0/8,0/1,,1/16,0/13,0/2,1.6,1.1,1.0,0/5,0/8,0/1,0/5,0/8,0/1,0,0,0,,,,,,,0,0,0,,,,,,
THE MALDEN HOSPITAL IVF PROGRAM,MALDEN,MASSACHUSETTS,YES,YES,NO,0%,100%,0%,0%,1%,55%,12%,9%,14%,1%,9%,   30,   29,   15,36.7,17.2,2/15,25.5 (15.6-35.3),30.0,17.2,1/15,21.2 (11.9-30.5),33.3,19.2,1/14,23.5 (13.4-33.7),34.6,5/17,1/10,28.3 (16.4-40.3),10.0,10.3,1/15,3.1,2.7,2.8,15.4,1/17,0/10,3.9,1/17,0/10,11,14,1,1/11,0/14,1/1,2.8,2.9,3.0,0,0,0,,,,,,
FERTILITY CENTER OF NEW ENGLAND,READING,MASSACHUSETTS,YES,YES,NO,0%,100%,0%,0%,16%,27%,11%,1%,25%,11%,25%,  187,  175,  130,27.8,18.3,4.6,20.2 (16.5-23.9),22.5,14.8,1.5,15.9 (12.6-19.3),23.7,15.8,1.7,16.9 (13.3-20.5),25.8,17.7,2.5,18.7 (14.8-22.6),5.4,5.7,8.5,3.6,3.4,2.8,10.4,3.7,0.0,0.6,0.0,0.0,40,18,11,7.5,2/18,1/11,3.5,3.5,3.6,1,3,22,1/1,3/3,54.6,3.0,4.0,3.6
BAYSTATE MEDICAL CENTER,SPRINGFIELD,MASSACHUSETTS,YES,YES,NO,0%,94%,6%,0%,0%,43%,16%,7%,23%,7%,4%,   67,   47,   20,19.4,17.0,20.0,18.7 (12.0-25.3),17.9,14.9,10.0,15.4 (9.3-21.5),18.5,15.6,2/16,16.3 (9.9-22.8),23.5,18.9,2/16,19.5 (12.0-27.0),3.0,4.3,20.0,3.3,3.2,3.2,3.9,2.7,0/16,2.0,0.0,0/16,17,13,3,1/17,3/13,0/3,3.2,3.1,4.0,0,0,0,,,,,,
BOSTON REGIONAL MEDICAL CENTER FOR REPRODUCTIVE MEDICINE,STONEHAM,MASSACHUSETTS,YES,NO,NO,0%,96%,3%,1%,10%,33%,14%,1%,20%,14%,18%,  205,  133,   51,17.1,13.5,13.7,15.2 (11.6-18.8),15.1,10.5,7.8,12.2 (8.9-15.4),16.7,12.7,8.9,13.8 (10.2-17.4),19.6,15.1,9.3,16.1 (11.9-20.2),9.8,17.3,11.8,2.9,2.9,3.7,5.7,3.2,2.3,1.9,1.1,0.0,41,23,7,12.2,17.4,1/7,3.8,3.4,4.1,0,3,0,,1/3,,,4.0,
REPRODUCTIVE SCIENCE CENTER OF BOSTON,WALTHAM,MASSACHUSETTS,YES,YES,,83%,96%,4%,0%,21%,23%,12%,7%,34%,11%,13%,  369,  335,  222,21.4,17.6,8.1,17.6 (15.1-20.2),19.2,15.2,4.5,15.1 (12.8-17.5),20.5,17.2,5.7,16.6 (14.1-19.2),22.9,18.8,6.5,18.5 (15.6-21.3),6.2,11.3,20.3,3.3,3.6,3.8,8.1,4.1,1.9,1.6,0.4,0.0,43,46,16,16.3,15.2,1/16,3.2,2.9,3.2,5,20,48,1/5,25.0,27.1,3.0,3.5,3.5
UNIVERSITY OF MICHIGAN MEDICAL CENTER,ANN ARBOR,MICHIGAN,YES,YES,NO,0%,77%,23%,0%,25%,43%,5%,1%,18%,30%,3%,  104,   62,   25,14.4,8.1,8.0,11.0 (6.6-15.4),10.6,3.2,4.0,6.7 (3.3-10.2),14.9,5.1,1/13,10.1 (4.9-15.3),16.7,5.6,1/12,11.2 (5.5-16.8),28.9,37.1,48.0,4.0,3.6,3.9,4.6,0.0,0/12,1.5,0.0,1/12,6,2,2,1/6,0/2,0/2,4.0,1.5,3.0,0,0,0,,,,,,
OAKWOOD HOSPITAL CENTER FOR REPRODUCTIVE MEDICINE,DEARBORN,MICHIGAN,YES,YES,YES,0%,99%,1%,0%,0%,37%,4%,1%,8%,47%,3%,   57,   55,   22,22.8,16.4,13.6,18.8 (12.2-25.5),21.1,12.7,9.1,15.9 (9.7-22.1),30.0,20.0,2/9,25.0 (15.5-34.5),30.8,24.1,2/7,28.0 (17.4-38.6),29.8,36.4,59.1,3.9,4.3,3.3,7.7,6.9,0/7,0.0,0.0,1.0,7,0,1,1/7,,0/1,4.4,,1.0,2,1,8,0/2,1/1,2/8,4.0,4.0,3.6
WAYNE STATE UNIVERSITY IVF CLINIC,DETROIT,MICHIGAN,YES,YES,YES,0%,98%,1%,1%,10%,47%,14%,0%,14%,10%,15%,   54,   35,   11,24.9,11.4,0/11,16.0 (9.5-22.6),20.5,11.4,0/11,13.5 (7.3-19.7),23.9,13.8,0/7,16.0 (8.7-23.2),26.8,14.3,0/6,17.5 (9.7-25.3),14.8,17.1,4/11,4.9,4.4,4.0,4.9,0.0,0/6,0.0,0.0,0/6,1,1,0,0/1,0/1,,1.0,3.0,,0,2,4,,2/2,4/4,,4.5,4.8
CENTER FOR REPRODUCTIVE MEDICINE,FLINT,MICHIGAN,YES,NO,NO,0%,86%,14%,0%,47%,19%,22%,1%,41%,16%,1%,   92,   56,   31,34.8,41.0,22.6,34.8 (27.9-41.8),25.0,28.6,12.9,24.1 (17.9-30.4),26.1,32.0,14.3,26.1 (19.4-32.8),27.0,32.7,16.7,27.2 (20.2-34.2),4.3,10.7,9.7,4.5,4.8,4.7,8.2,8.2,4.2,1.2,4.1,0.0,31,9,2,16.0,0/9,0/2,4.0,3.8,3.5,0,0,0,,,,,,
GRAND RAPIDS FERTILITY AND IVF,GRAND RAPIDS,MICHIGAN,YES,NO,NO,38%,88%,12%,0%,15%,42%,21%,0%,12%,0%,25%,   66,   43,   15,43.9,20.9,1/15,28.9 (21.6-36.3),31.8,16.3,0/15,20.5 (14.0-27.0),35.6,22.6,0/11,24.5 (16.8-32.2),38.9,23.3,0/11,26.3 (18.2-34.4),10.6,27.9,4/15,4.7,4.5,5.4,7.4,10.0,0/11,7.4,0.0,0/11,8,2,1,3/8,0/2,0/1,4.3,2.0,2.0,1,2,5,0/1,0/2,1/5,4.0,5.5,5.0
"WEST MICHIGAN REPRODUCTIVE INSTITUTE, P.C.",GRAND RAPIDS,MICHIGAN,YES,YES,NO,0%,75%,21%,4%,17%,38%,29%,1%,25%,3%,4%,   69,   33,   10,27.5,24.2,2/10,25.0 (16.6-33.4),24.6,18.2,0/10,17.9 (11.2-24.5),25.8,20.7,0/6,19.3 (12.1-26.5),28.8,20.7,0/6,20.5 (13.0-27.9),4.4,12.1,4/10,4.7,5.3,6.7,11.9,0.0,0/6,5.1,0.0,0/6,6,1,4,0/6,0/1,1/4,2.8,2.0,4.8,0,0,5,,,1/5,,,3.4
SPARROW HOSPITAL FERTILITY CENTER,LANSING,MICHIGAN,YES,YES,YES,0%,64%,36%,0%,41%,44%,36%,0%,7%,8%,5%,   42,   23,   18,21.4,8.7,3/18,16.0 (8.3-23.7),16.7,4.4,2/18,11.2 (5.0-17.8),18.0,1/19,2/14,12.7 (5.3-20.1),18.9,1/19,2/13,13.4 (5.7-21.1),7.1,17.4,4/18,4.6,4.1,4.0,5.4,1/19,0/13,2.7,0/19,0/13,6,2,0,0/6,0/2,,2.2,2.5,,1,0,2,0/1,,0/2,5.0,,6.0
"FIRST, INC., IVF PROGRAM",SAGINAW,MICHIGAN,YES,YES,YES,80%,82%,11%,7%,65%,20%,19%,0%,36%,22%,3%,  131,   70,   31,46.6,35.7,12.9,36.6 (30.6-42.6),42.0,27.1,0.0,29.1 (23.7-34.5),42.6,27.9,0.0,29.6 (24.2-35.2),44.4,28.4,0.0,30.6 (25.1-36.2),1.5,2.9,12.9,5.6,5.7,4.9,17.7,3.0,0.0,0.8,1.5,0.0,3,1,0,0/3,0/1,,1.7,6.0,,2,6,13,2/2,1/6,3/13,5.5,5.0,5.1
HENRY FORD MEDICAL CENTER IVF PROGRAM,TROY,MICHIGAN,YES,YES,NO,0%,93%,7%,0%,3%,58%,13%,3%,10%,9%,7%,   40,   46,   13,7.5,15.2,1/13,10.3 (4.4-16.3),7.5,10.9,0/13,7.3 (2.4-12.2),8.8,15.2,0/9,9.5 (3.3-15.7),11.1,19.2,0/8,12.0 (4.3-19.7),15.0,28.3,4/3,3.1,3.4,3.9,3.7,3.9,0/8,3.7,0.0,0/8,19,11,3,1/19,1/11,0/3,3.3,3.1,2.7,1,0,0,0/1,,,4.0,,
ANN ARBOR REPRODUCTIVE MEDICINE ASSOCIATES,YPSILANTI,MICHIGAN,YES,YES,YES,5%,41%,18%,41%,23%,29%,12%,0%,0%,59%,0%,  182,  126,   49,30.8,19.1,16.3,24.0 (19.6-28.3),26.4,14.3,12.2,19.5 (15.5-23.5),31.2,20.0,17.1,24.6 (19.6-29.6),33.8,21.7,18.2,26.6 (21.3-32.0),15.4,28.6,28.6,3.4,3.5,4.2,8.5,4.8,6.1,2.1,1.2,0.0,30,26,4,10.0,15.4,0/4,2.5,2.8,2.0,7,3,22,4/7,2/3,31.8,3.9,3.3,3.6
CENTER FOR REPRODUCTIVE MEDICINE AND IVF MINNESOTA,MINNEAPOLIS,MINNESOTA,YES,YES,NO,0%,83%,17%,<1%,8%,32%,22%,2%,17%,8%,19%,   74,   54,   15,29.7,27.8,3/15,27.3 (19.9-34.7),28.4,27.8,2/15,25.5 (18.4-32.6),33.9,38.5,2/12,32.4 (23.8-41.0),35.0,41.7,2/12,32.8 (24.1-41.5),16.2,27.8,3/15,3.9,3.9,3.9,16.7,16.7,0/12,5.0,5.6,0/12,7,6,5,2/7,1/6,0/5,4.3,3.5,3.6,8,4,26,4/8,2/4,69.2,3.1,3.5,3.0
MIDWEST CENTER FOR REPRODUCTIVE HEALTH,MINNEAPOLIS,MINNESOTA,YES,YES,NO,0%,100%,0%,0%,6%,41%,13%,3%,25%,18%,0%,  150,   87,   31,42.0,39.1,29.0,38.7 (32.8-44.6),37.3,33.3,22.6,33.3 (27.6-39.0),42.1,43.9,35.0,41.6 (34.7-48.5),44.1,46.8,7/18,44.2 (37.0-51.4),11.3,24.1,35.5,2.8,3.1,4.3,15.0,12.9,0/18,2.4,0.0,0/18,28,21,7,28.6,33.3,1/7,3.0,3.0,3.6,2,0,6,1/2,,2/6,3.0,,3.0
UNIVERSITY OF MINNESOTA WOMEN'S HEALTH CLINIC,MINNEAPOLIS,MINNESOTA,YES,YES,YES,0%,100%,0%,0%,18%,34%,6%,28%,26%,0%,6%,   25,   13,   12,24.0,5/13,1/12,26.4 (13.8-39.0),16.0,3/13,1/12,17.2 (6.2-28.1),16.7,3/12,1/9,18.7 (6.9-30.4),16.7,3/12,1/7,19.2 (7.1-31.3),4.0,1/13,3/12,4.3,4.8,3.1,8.3,2/12,0/7,0.0,1/12,0/7,4,4,1,0/4,0/4,0/1,3.8,3.5,2.0,0,0,0,,,,,,
MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGY,ROCHESTER,MINNESOTA,YES,YES,NO,0%,100%,0%,0%,27%,27%,5%,10%,34%,20%,4%,  124,   97,   16,46.8,32.0,2/16,35.3 (29.3-41.3),38.7,23.7,1/16,27.5 (22.0-32.9),44.0,29.1,1/10,32.5 (26.0-39.1),46.6,30.3,1/9,34.3 (27.5-41.2),12.1,18.6,6/16,3.6,3.6,3.9,19.4,11.8,1/9,4.9,1.3,0/9,33,24,6,48.5,12.5,1/6,3.6,3.5,2.5,2,1,1,2/2,0/1,1/1,4.0,3.0,4.0
