PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Male,Ovulat,Endo,Uterin,Other,Unkno,MDFirst,MDMiddle,Mdlast,MDSuffix,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,FdEms30,FdEms35,FdEms40,FdEms45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,CdEms30,CdEms35,CdEms40,CdEms45,CurrClinName1,CurrClinName2,DonorEgg,DnrEmbryo,Single,Gest,Cryo,SART,Accred
THE FERTILITY INSTITUTES,"JEFFREY STEINBERG, M.D. INCORPORATED",TARZANA,CA,98%,2%,0%,0%,24%,0%,27%,23%,22%,11%,7%,9%,1%,Jeffrey,M.,Steinberg,", M.D.",30,14,11,8,46.7,8/14,5/11,2/8,46.7,8/14,4/11,1/8,(28.8 - 64.5),,,,46.7,8/14,4/11,1/8,46.7,8/14,4/11,1/8,0.0,0/14,0/11,0/8,5.0,4.9,3.8,3.6,6/14,3/8,2/5,1/2,2/14,3/8,0/5,0/2,8/14,6/8,2/4,1/1,1,0,0,0,1/1,,,,3.0,,,,0,0,0,5,,,,3/5,,,,4.2,0,0,0,0,,,,,,,,,The Fertility Institutes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PACIFIC REPRODUCTIVE CENTER,,TORRANCE,CA,99%,0%,<1%,<1%,68%,0%,34%,25%,6%,13%,1%,21%,0%,Rifaat,,Salem,", M.D., Ph.D.",73,51,49,37,42.5,39.2,34.7,16.2,34.2,37.3,16.3,5.4,(23.4 - 45.1),(24.0 - 50.5),(6.0 - 26.7),(0.0 - 12.7),34.2,37.3,17.4,5.9,34.7,38.0,17.8,6.3,0.0,0.0,6.1,8.1,5.2,5.1,5.5,5.6,29.0,30.0,3/17,1/6,19.4,15.0,1/17,0/6,44.0,7/19,2/8,1/2,16,5,7,2,7/16,2/5,3/7,0/2,5.5,5.2,4.9,4.5,4,0,4,10,3/4,,3/4,5/10,5.8,,5.5,5.3,0,0,0,0,,,,,,,,,Pacific Reproductive Center,,Yes,No,Yes,Yes,Yes,Yes,Yes
COLORADO SPRINGS CENTER FOR REPRODUCTIVE HEALTH,,COLORADO SPRINGS,CO,95%,0%,0%,5%,0%,0%,38%,0%,8%,46%,0%,8%,0%,Robert,W.,Hahn,", M.D.",12,4,3,3,3/12,0/4,0/3,0/3,2/12,0/4,0/3,0/3,,,,,2/11,0/4,0/3,0/3,2/5,0/3,0/2,0/3,1/12,0/4,0/3,0/3,2.8,3.0,5.0,3.0,1/3,,,,1/3,,,,1/2,,,,1,0,0,1,0/1,,,0/1,1.0,,,2.0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Colorado Springs Center for Reproductive Health,,Yes,Yes,Yes,No,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,UNIVERSITY OF COLORADO,DENVER,CO,95%,5%,0%,0%,38%,0%,31%,33%,14%,7%,0%,4%,11%,Marcelle,I.,Cedars,", M.D.",41,14,8,0,36.6,4/14,1/8,,29.3,2/14,0/8,,(15.3 - 43.2),,,,31.6,2/13,0/5,,31.6,2/12,0/5,,7.3,1/14,3/8,,3.5,3.9,3.0,,5/15,0/4,0/1,,2/15,0/4,0/1,,5/12,0/2,,,0,0,0,0,,,,,,,,,2,1,2,4,0/2,0/1,1/2,1/4,3.5,3.0,3.0,2.5,0,0,0,0,,,,,,,,,"Center for Reproductive Medicine, University of Colorado",,Yes,No,Yes,No,Yes,Yes,Yes
COLORADO IVF AT ROSE,,DENVER,CO,97%,3%,0%,0%,22%,1%,19%,18%,42%,8%,1%,4%,8%,Samuel,E.,Alexander,", M.D.",48,29,11,5,39.6,27.6,2/11,1/5,37.5,20.7,2/11,1/5,(23.8 - 51.2),(5.9 - 35.4),,,39.1,21.4,2/9,1/5,46.2,22.2,2/9,1/4,4.2,3.4,2/11,0/5,2.4,3.2,3.3,3.0,2/19,2/8,0/2,0/1,1/19,2/8,1/2,0/1,3/18,3/6,1/2,0/1,15,5,1,1,2/15,0/5,0/1,1/1,2.1,3.4,2.0,3.0,0,5,6,21,,1/5,4/6,42.9,,2.2,2.2,2.4,0,1,0,7,,0/1,,1/7,,2.0,,3.0,Colorado IVF at Rose,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
REPRODUCTIVE GENETICS IN VITRO,,DENVER,CO,100%,0%,0%,0%,19%,0%,55%,13%,7%,18%,0%,0%,7%,George,P.,Henry,", M.D.",24,7,7,9,33.3,2/7,0/7,1/9,29.2,2/7,0/7,1/9,(11.0 - 47.4),,,,29.2,2/7,0/7,1/8,30.4,2/7,0/7,1/7,0.0,0/7,0/7,1/9,3.1,4.0,3.1,3.3,3/8,1/2,,0/1,1/8,0/2,,0/1,3/7,1/2,,0/1,2,3,1,0,0/2,0/3,0/1,,3.0,2.7,3.0,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Reproductive Genetics In Vitro,,Yes,Yes,Yes,Yes,Yes,No,No
COLORADO CENTER FOR REPRODUCTIVE MEDICINE,,ENGLEWOOD,CO,100%,0%,0%,0%,30%,0%,13%,14%,11%,19%,2%,40%,<1%,William,B.,Schoolcraft,", M.D.",234,126,139,98,59.0,48.4,36.7,23.5,54.7,42.9,30.9,17.3,(48.3 - 61.1),(34.2 - 51.5),(23.3 - 38.6),(9.9 - 24.8),62.1,51.9,41.7,26.6,62.4,52.4,42.6,27.0,12.0,17.5,25.9,34.7,2.8,3.2,3.5,4.1,36.2,39.3,19.6,0.0,12.3,8.2,11.8,8.7,42.2,40.7,20.9,1/17,28,20,21,13,42.9,25.0,28.6,1/13,2.9,2.7,2.8,3.5,12,12,17,67,7/12,9/12,14/17,68.7,3.1,3.2,2.9,2.8,2,5,13,16,0/2,4/5,5/13,7/16,5.0,3.4,3.9,3.5,Colorado Center For Reproductive Medicine,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ROCKY MOUNTAIN CENTER FOR REPRODUCTIVE MEDICINE,,FORT COLLINS,CO,100%,0%,0%,0%,49%,0%,34%,28%,6%,13%,4%,2%,13%,Kevin,E.,Bachus,", M.D.",19,13,4,1,7/19,7/13,0/4,0/1,6/19,6/13,0/4,0/1,,,,,6/19,6/13,0/4,0/1,6/15,6/12,0/4,,0/19,0/13,0/4,0/1,3.7,3.5,3.8,,2/7,3/7,,,0/7,2/7,,,1/6,5/6,,,4,2,0,0,0/4,0/2,,,4.0,3.0,,,0,0,0,1,,,,0/1,,,,4.0,0,0,0,1,,,,0/1,,,,5.0,Rocky Mountain Center for Reproductive Medicine,,Yes,No,Yes,No,Yes,Yes,Pending
CONCEPTIONS REPRODUCTIVE ASSOCIATES,,LITTLETON,CO,100%,0%,0%,0%,22%,0%,24%,13%,17%,4%,3%,4%,35%,Bruce,H.,Albrecht,", M.D.",61,41,42,22,50.8,36.6,19.0,27.3,44.3,31.7,11.9,13.6,(31.8 - 56.7),(17.5 - 46.0),(2.1 - 21.7),(0.0 - 28.0),50.9,40.6,16.1,3/16,52.9,41.9,16.7,3/16,13.1,22.0,26.2,27.3,3.2,3.7,3.5,3.6,35.5,6/15,1/8,0/6,3.2,1/15,1/8,1/6,33.3,5/13,2/5,1/3,7,6,5,4,1/7,2/6,0/5,0/4,3.4,3.2,3.8,2.3,3,3,3,25,2/3,0/3,0/3,48.0,3.0,2.7,2.7,3.0,1,0,2,6,0/1,,1/2,1/6,2.0,,5.5,3.5,Conceptions Reproductive Associates,,Yes,No,Yes,Yes,Yes,Yes,Yes
THE CENTER FOR ADVANCED REPRODUCTIVE SERVICES AT,THE UNIVERSITY OF CONNECTICUT HEALTH CENTER,FARMINGTON,CT,100%,0%,0%,0%,49%,0%,29%,33%,11%,14%,<1%,<1%,11%,John,C.,Nulsen,", M.D.",178,120,70,46,39.3,36.7,18.6,8.7,32.0,29.2,17.1,6.5,(25.2 - 38.9),(21.0 - 37.3),(8.3 - 26.0),(0.0 - 13.7),38.8,35.0,26.7,12.5,39.9,37.2,27.9,15.0,17.4,16.7,35.7,47.8,3.1,3.5,3.8,3.9,34.3,31.8,3/13,0/4,14.3,11.4,1/13,0/4,45.6,45.7,4/12,0/3,29,8,5,1,34.5,1/8,1/5,0/1,3.4,3.3,3.0,5.0,1,2,2,11,0/1,1/2,1/2,3/11,3.0,4.0,3.5,3.3,2,0,0,1,1/2,,,0/1,4.0,,,1.0,The Center for Advanced Reproductive Services at the University of Connecticut Health Center,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
YALE UNIVERSITY SCHOOL OF MEDICINE,IN-VITRO FERTILIZATION PROGRAM,NEW HAVEN,CT,99%,0%,<1%,0%,17%,0%,34%,19%,6%,14%,2%,9%,16%,Ervin,E.,Jones,", M.D., Ph.D.",134,101,78,67,17.9,13.9,11.5,7.5,16.4,11.9,10.3,4.5,(10.1 - 22.7),(5.6 - 18.2),(3.5 - 17.0),(0.0 - 9.4),17.3,13.2,12.1,5.4,18.5,14.1,15.1,6.5,5.2,9.9,15.4,16.4,3.6,3.4,3.2,3.5,25.0,3/14,1/9,0/5,25.0,1/14,0/9,0/5,54.5,4/12,0/8,0/3,12,3,3,1,0/12,0/3,0/3,0/1,4.0,5.0,5.3,5.0,0,1,5,12,,0/1,1/5,0/12,,3.0,3.4,3.0,0,1,5,4,,0/1,0/5,0/4,,3.0,3.6,4.3,Yale University School of Medicine In-Vitro Fertilization Program,,Yes,No,Yes,Yes,Yes,Yes,Pending
"MICHAEL B. DOYLE, M.D.",,NORWALK,CT,100%,0%,0%,0%,52%,0%,20%,31%,29%,7%,5%,<1%,7%,Michael,B.,Doyle,", M.D.",65,29,34,31,46.2,34.5,35.3,12.9,33.8,31.0,32.4,9.7,(22.3 - 45.3),(14.2 - 47.9),(16.6 - 48.1),(0.0 - 20.1),33.8,32.1,33.3,9.7,34.9,32.1,33.3,9.7,0.0,3.4,2.9,0.0,4.8,4.8,4.3,4.4,23.3,2/10,4/12,0/4,20.0,1/10,1/12,0/4,50.0,2/9,5/11,0/3,6,3,1,0,2/6,1/3,0/1,,2.8,4.0,4.0,,2,2,1,9,1/2,0/2,1/1,2/9,4.0,3.0,6.0,4.3,0,1,0,1,,1/1,,0/1,,5.0,,2.0,"Michael B. Doyle, M.D.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NEW ENGLAND FERTILITY INSTITUTE,,STAMFORD,CT,100%,<1%,0%,0%,48%,<1%,22%,27%,6%,6%,<1%,14%,25%,Gad,,Lavy,", M.D.",83,64,47,37,63.9,54.7,53.2,32.4,57.8,48.4,44.7,21.6,(47.2 - 68.5),(36.2 - 60.7),(30.5 - 58.9),(8.4 - 34.9),58.5,50.8,46.7,25.0,59.3,50.8,46.7,26.7,1.2,4.7,4.3,13.5,3.9,3.7,3.5,3.7,41.5,17.1,16.0,1/12,15.1,14.3,4.0,1/12,58.3,29.0,19.0,2/8,22,16,10,5,22.7,6/16,3/10,0/5,3.1,3.1,3.2,3.4,4,2,2,14,3/4,0/2,0/2,5/14,3.3,5.5,4.0,3.7,1,2,1,6,1/1,0/2,0/1,0/6,3.0,3.5,4.0,3.0,New England Fertility Institute,,Yes,No,Yes,Yes,Yes,Yes,Yes
THE STAMFORD HOSPITAL,,STAMFORD,CT,96%,0%,4%,0%,54%,0%,25%,14%,8%,17%,14%,8%,14%,Frances,W.,Ginsburg,", M.D.",6,6,10,4,3/6,1/6,3/10,0/4,3/6,1/6,1/10,0/4,,,,,3/5,1/5,1/10,0/4,3/5,1/5,1/9,0/3,1/6,1/6,0/10,0/4,3.0,3.4,3.0,3.3,1/3,0/1,1/3,,0/3,0/1,0/3,,1/3,0/1,0/1,,3,0,2,4,0/3,,0/2,0/4,2.3,,2.5,2.8,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,The Stamford Hospital,,No,No,Yes,Yes,Yes,Yes,Yes
COLUMBIA HOSPITAL FOR WOMEN ART PROGRAM,,WASHINGTON,DC,99%,<1%,<1%,<1%,40%,0%,32%,19%,30%,10%,3%,<1%,5%,Richard,J.,Falk,", M.D.",60,60,79,45,25.0,21.7,11.4,4.4,25.0,16.7,6.3,4.4,(14.0 - 36.0),(7.2 - 26.1),(1.0 - 11.7),(0.0 - 10.5),26.8,22.7,8.5,6.7,28.8,23.8,9.4,7.4,6.7,26.7,25.3,33.3,4.2,4.1,4.6,3.6,2/15,2/13,4/9,0/2,3/15,2/13,0/9,0/2,4/15,2/10,1/5,0/2,14,12,2,3,2/14,0/12,0/2,0/3,4.4,4.1,3.0,4.3,0,4,12,21,,1/4,4/12,33.3,,4.5,4.3,3.8,1,2,3,19,1/1,0/2,0/3,4/19,4.0,4.0,3.7,3.3,Clinic has undergone reorganization since 1998. Information on current clinic services and profile therefore is not prov,,,,,,,,
REPRODUCTIVE SCIENCE CENTER,WALTER REED ARMY MEDICAL CENTER,WASHINGTON,DC,100%,<1%,0%,0%,26%,0%,38%,23%,6%,6%,0%,5%,22%,James,,Segars,", M.D.",199,103,87,45,50.8,35.9,34.5,11.1,46.2,29.1,25.3,6.7,(39.3 - 53.2),(20.4 - 37.9),(16.2 - 34.4),(0.0 - 14.0),51.1,36.6,31.4,11.1,52.3,37.5,33.3,11.1,9.5,20.4,19.5,40.0,2.8,3.3,3.5,4.2,33.7,29.7,16.7,1/5,12.9,8.1,10.0,0/5,47.8,43.3,27.3,1/3,5,2,2,3,1/5,1/2,0/2,1/3,2.4,2.0,2.5,2.7,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"Reproductive Science Center, Walter Reed Army Medical Center",,No,No,Yes,No,Yes,Yes,Yes
THE GEORGE WASHINGTON UNIVERSITY MEDICAL CENTER,,WASHINGTON,DC,100%,0%,0%,0%,53%,<1%,17%,36%,6%,9%,1%,4%,27%,Paul,R.,Gindoff,", M.D.",76,53,44,44,32.9,20.8,18.2,9.1,25.0,13.2,6.8,2.3,(15.3 - 34.7),(4.1 - 22.3),(0.0 - 14.3),(0.0 - 6.7),26.8,14.6,7.7,2.6,27.5,14.9,8.1,2.7,6.6,9.4,11.4,11.4,3.8,3.7,3.9,3.8,12.0,1/11,0/8,0/4,20.0,0/11,0/8,0/4,5/19,1/7,0/3,0/1,5,5,1,2,2/5,0/5,0/1,1/2,3.8,3.8,2.0,4.5,2,1,5,10,2/2,1/1,1/5,3/10,4.0,4.0,4.0,4.2,0,1,0,0,,0/1,,,,3.0,,,The George Washington University Medical Center,,Yes,No,Yes,Yes,Yes,Yes,Yes
"THE CENTER FOR HUMAN REPRODUCTION-DELAWARE, P.A.",,NEWARK,DE,99%,0%,<1%,<1%,34%,<1%,29%,29%,7%,20%,2%,8%,5%,Jeffrey,B.,Russell,", M.D.",128,68,37,27,18.0,14.7,10.8,0.0,17.2,13.2,10.8,0.0,(10.7 - 23.7),(5.2 - 21.3),(0.8 - 20.8),,21.4,19.6,20.0,0/12,23.2,22.0,4/19,0/9,19.5,32.4,45.9,55.6,4.2,4.2,3.1,3.1,21.7,2/10,1/4,,13.0,1/10,0/4,,27.3,2/9,1/4,,19,8,3,1,2/19,1/8,1/3,0/1,3.0,3.4,1.3,3.0,1,3,1,7,0/1,1/3,1/1,3/7,6.0,4.7,6.0,4.3,1,0,0,1,0/1,,,0/1,2.0,,,4.0,"Delaware Institute for Reproductive Medicine, P.A.",,Yes,No,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE ASSOCIATES OF DELAWARE,,WILMINGTON,DE,100%,0%,0%,0%,59%,0%,36%,32%,0%,32%,0%,0%,0%,Ronald,F.,Feinberg,", M.D., Ph.D.",31,8,5,2,38.7,3/8,1/5,0/2,35.5,3/8,0/5,0/2,(18.6 - 52.3),,,,39.3,3/7,0/3,0/1,42.3,3/6,0/3,0/1,9.7,1/8,2/5,1/2,3.7,4.3,3.3,4.0,3/12,1/3,0/1,,2/12,0/3,0/1,,4/11,1/3,,,9,3,2,0,2/9,0/3,0/2,,3.6,2.7,4.0,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Reproductive Associates of Delaware,,No,No,No,No,Yes,No,No
BOCA FERTILITY,,BOCA RATON,FL,100%,0%,0%,0%,11%,0%,27%,31%,29%,8%,5%,0%,0%,Maurice (Moshe),R.,Peress,", M.D.",21,19,17,6,38.1,9/19,7/17,1/6,33.3,8/19,4/17,1/6,(13.2 - 53.5),,,,7/17,8/16,4/10,1/4,7/17,8/15,4/9,1/4,19.0,3/19,7/17,2/6,3.6,4.1,4.7,1.3,3/8,0/9,1/7,0/1,1/8,2/9,0/7,0/1,3/7,2/8,1/4,0/1,11,4,1,1,2/11,3/4,0/1,0/1,3.5,2.8,4.0,2.0,1,0,0,2,1/1,,,1/2,3.0,,,4.0,0,0,0,0,,,,,,,,,Boca Fertility,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
PALM BEACH FERTILITY CENTER,,BOCA RATON,FL,99%,1%,0%,0%,22%,0%,27%,23%,16%,16%,3%,13%,2%,Mark,S.,Denker,", M.D.",24,17,12,20,54.2,4/17,2/12,20.0,45.8,3/17,1/12,15.0,(25.9 - 65.8),,,(0.0 - 30.6),50.0,3/15,1/10,3/12,52.4,3/13,1/10,3/11,8.3,2/17,2/12,40.0,4.1,4.2,3.9,4.4,5/13,2/4,0/2,0/4,3/13,0/4,1/2,0/4,7/11,1/3,1/1,0/3,0,4,1,0,,1/4,0/1,,,3.3,4.0,,2,0,1,7,0/2,,0/1,5/7,3.0,,4.0,4.1,0,0,0,1,,,,0/1,,,,4.0,Palm Beach Fertility Center,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
"ADVANCED REPRODUCTIVE CARE CENTER, P.A.",,BOYNTON BEACH,FL,40%,60%,0%,0%,0%,0%,80%,0%,20%,0%,0%,0%,0%,Tibor,E.,Polcz,", M.D.",4,0,1,0,2/4,,0/1,,2/4,,0/1,,,,,,2/4,,0/1,,2/4,,0/1,,0/4,,0/1,,4.3,,2.0,,1/2,,,,0/2,,,,1/2,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"Advanced Reproductive Care Center, P.A.",,Yes,No,Yes,No,Yes,Yes,Pending
THE CENTER FOR HUMAN REPRODUCTION-FLORIDA,,CLEARWATER,FL,100%,0%,0%,0%,34%,0%,31%,28%,13%,14%,1%,4%,9%,Timothy,R.,Yeko,", M.D.",98,28,18,10,36.7,42.9,5/18,0/10,31.6,28.6,3/18,0/10,(22.4 - 40.8),(11.8 - 45.3),,,35.6,29.6,3/15,0/5,40.3,29.6,3/15,0/5,11.2,3.6,3/18,5/10,3.4,3.3,3.3,3.6,36.1,2/12,1/5,,16.7,1/12,0/5,,51.6,3/8,1/3,,4,5,2,0,0/4,0/5,0/2,,2.3,2.0,6.0,,3,2,2,8,2/3,1/2,1/2,2/8,3.0,3.5,3.0,3.0,0,0,0,0,,,,,,,,,Clinic has undergone reorganization since 1998. Information on current clinic services and profile therefore is not prov,,,,,,,,
FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCE & TECHNOLOGY (F.I.R.S.T.),,COOPER CITY,FL,100%,0%,0%,0%,0%,0%,53%,0%,13%,9%,0%,23%,2%,Minna,R.,Selub,", M.D.",17,4,5,3,1/17,1/4,2/5,1/3,1/17,1/4,1/5,1/3,,,,,1/16,1/4,1/5,1/3,1/15,1/4,1/5,1/3,1/17,0/4,0/5,0/3,4.3,6.8,5.2,4.3,0/1,0/1,1/2,0/1,1/1,0/1,0/2,1/1,1/1,0/1,0/1,1/1,2,1,1,0,0/2,0/1,0/1,,4.5,6.0,3.0,,3,1,5,5,0/3,0/1,0/5,0/5,3.7,6.0,4.4,5.8,1,0,2,1,0/1,,0/2,1/1,5.0,,6.5,9.0,Florida Institute for Reproductive Science & Technology (F.I.R.S.T.),,Yes,No,Yes,Yes,Yes,Yes,Pending
"SPECIALISTS IN REPRODUCTIVE MEDICINE & SURGERY, P.A.",,FORT MYERS,FL,94%,0%,0%,6%,47%,0%,31%,21%,12%,11%,0%,25%,0%,Craig,R.,Sweet,", M.D.",29,7,12,5,48.3,1/7,3/12,0/5,48.3,1/7,3/12,0/5,(30.1 - 66.5),,,,50.0,1/6,3/10,0/4,50.0,1/6,3/10,0/4,3.4,1/7,2/12,1/5,3.0,2.8,3.4,5.0,5/14,0/1,0/3,,2/14,0/1,0/3,,7/14,0/1,0/3,,2,1,2,4,0/2,0/1,0/2,1/4,2.5,2.0,5.0,3.3,2,1,5,5,1/2,1/1,2/5,3/5,3.0,3.0,3.2,2.8,0,0,0,0,,,,,,,,,"Specialists in Reproductive Medicine & Surgery, P.A.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF FLORIDA/PARK AVENUE WOMEN'S CENTER,,GAINESVILLE,FL,100%,0%,0%,0%,31%,0%,20%,15%,9%,20%,0%,35%,1%,R. Stan,,Williams,", M.D.",39,23,11,4,46.2,21.7,3/11,0/4,38.5,21.7,2/11,0/4,(23.2 - 53.7),(4.9 - 38.6),,,40.5,23.8,2/10,0/3,41.7,23.8,2/10,0/2,5.1,8.7,1/11,1/4,3.0,3.1,3.2,1.5,5/18,1/5,1/3,,1/18,1/5,0/3,,6/15,1/5,0/2,,2,1,1,1,1/2,0/1,0/1,0/1,3.0,1.0,2.0,2.0,4,2,4,21,0/4,2/2,1/4,33.3,3.0,3.0,3.3,3.0,0,0,0,1,,,,1/1,,,,3.0,University of Florida/Park Avenue Women's Center,,Yes,Yes,No,Yes,Yes,Yes,Yes
FERTILITY INSTITUTE OF NORTHWEST FLORIDA,,GULF BREEZE,FL,100%,0%,0%,0%,76%,0%,17%,66%,5%,7%,0%,5%,0%,Robert,C.,Pyle,", M.D.",22,8,6,5,31.8,1/8,2/6,0/5,31.8,1/8,2/6,0/5,(12.4 - 51.3),,,,7/19,1/7,2/6,0/4,7/17,1/6,2/5,0/3,13.6,1/8,0/6,1/5,4.7,4.0,4.8,3.3,2/7,1/1,0/2,,0/7,0/1,1/2,,2/7,0/1,0/2,,18,8,1,0,1/18,3/8,0/1,,2.8,3.8,4.0,,0,0,0,0,,,,,,,,,0,1,2,2,,0/1,1/2,1/2,,0.0,4.5,3.5,Fertility Institute of Northwest Florida,,Yes,Yes,No,Yes,Yes,Yes,Yes
FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,JACKSONVILLE,FL,99%,0%,<1%,<1%,47%,<1%,24%,34%,8%,18%,0%,13%,3%,Kevin,L.,Winslow,", M.D.",157,63,42,8,50.3,41.3,23.8,3/8,43.9,34.9,21.4,2/8,(36.2 - 51.7),(23.1 - 46.7),(9.0 - 33.8),,49.6,38.6,25.0,2/7,52.7,39.3,27.3,2/7,11.5,9.5,14.3,1/8,3.7,4.3,4.3,4.3,27.8,42.3,2/10,1/3,17.7,7.7,2/10,0/3,43.5,45.5,4/9,1/2,64,20,8,1,25.0,20.0,2/8,0/1,3.7,3.3,4.6,3.0,3,1,9,14,1/3,0/1,2/9,10/14,3.7,3.0,3.4,3.3,3,0,3,14,2/3,,0/3,2/14,3.7,,4.7,3.7,Florida Institute for Reproductive Medicine,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IVF FLORIDA/NORTHWEST CENTER FOR INFERTILITY & REPRODUCTIVE ENDOCRINOLOGY,,MARGATE,FL,100%,0%,0%,0%,52%,<1%,27%,23%,5%,15%,3%,25%,2%,Wayne,S.,Maxson,", M.D.",169,91,99,35,47.9,38.5,29.3,17.1,38.5,25.3,23.2,8.6,(31.1 - 45.8),(16.3 - 34.2),(14.9 - 31.6),(0.0 - 17.8),41.7,29.1,28.8,12.0,42.2,30.3,29.5,12.0,7.7,13.2,19.2,28.6,2.9,3.4,3.2,3.8,25.9,22.9,20.7,3/6,12.3,5.7,3.4,0/6,41.5,30.4,30.4,2/3,23,8,4,6,34.8,4/8,1/4,2/6,3.6,4.0,3.0,3.2,5,4,9,29,1/5,2/4,3/9,34.5,2.4,3.3,2.9,3.0,0,0,0,0,,,,,,,,,IVF Florida/Northwest Center for Infertility & Reproductive Endocrinology,,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY & IVF CENTER OF MIAMI,,MIAMI,FL,91%,5%,0%,4%,55%,0%,16%,24%,20%,8%,8%,19%,5%,Michael,H.,Jacobs,", M.D.",96,36,33,16,29.2,36.1,15.2,1/16,26.0,19.4,12.1,0/16,(17.3 - 34.8),(6.5 - 32.4),(1.0 - 23.3),,27.2,22.6,12.5,0/16,28.1,23.3,13.3,0/15,4.2,13.9,3.0,0/16,4.2,3.9,5.2,4.6,25.0,4/13,0/5,0/1,17.9,1/13,1/5,0/1,32.0,4/7,1/4,,5,2,0,5,2/5,1/2,,1/5,3.8,4.5,,3.6,1,3,6,3,1/1,1/3,1/6,0/3,4.0,6.3,4.8,3.3,0,1,0,0,,0/1,,,,4.0,,,Fertility & IVF Center of Miami,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WOMEN'S HEALTHCARE SPECIALISTS,IVF MIAMI,MIAMI BEACH,FL,100%,0%,0%,0%,47%,0%,36%,8%,8%,20%,6%,3%,19%,Bernard,,Cantor,", M.D.",16,5,5,4,7/16,0/5,1/5,2/4,6/16,0/5,0/5,1/4,,,,,6/16,0/4,0/3,1/4,6/16,0/4,0/2,1/4,0/16,1/5,2/5,0/4,3.5,2.8,3.5,3.5,1/7,,0/1,0/2,1/7,,0/1,0/2,2/6,,,0/1,0,1,0,0,,0/1,,,,3.0,,,1,0,1,1,1/1,,1/1,0/1,3.0,,5.0,3.0,0,0,0,0,,,,,,,,,Women's HealthCare Specialist-IVF Miami,,Yes,No,Yes,Yes,Yes,Yes,Yes
ARNOLD PALMER HOSPITAL FERTILITY CENTER,,ORLANDO,FL,99%,0%,0%,<1%,53%,0%,36%,16%,8%,20%,2%,13%,5%,Frank,C.,Riggall,", M.D.",66,17,11,9,53.0,7/17,1/11,0/9,42.4,5/17,1/11,0/9,(30.5 - 54.3),,,,50.9,5/14,1/6,0/7,54.9,5/14,1/6,0/7,16.7,3/17,5/11,2/9,3.2,3.4,3.8,3.3,20.0,0/7,1/1,,22.9,1/7,0/1,,50.0,1/5,1/1,,7,4,1,1,2/7,0/4,0/1,0/1,3.3,3.8,3.0,2.0,0,0,3,8,,,1/3,0/8,,,2.0,3.5,0,0,0,1,,,,0/1,,,,4.0,Clinic has undergone reorganization since 1998. Information on current clinic services and profile therefore is not prov,,,,,,,,
