PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
"WEST MICHIGAN REPRODUCTIVE INSTITUTE, P.C.",,GRAND RAPIDS,MICHIGAN,100%,0%,0%,0%,38%,0%,28%,0%,8%,11%,0%,10%,3%,6%,9%,25%,"R. Donald Eward, M.D.",41,24,17,3,9.8,12.5,0,0,9.8,12.5,0,0,-18.1,-25.7,=,=,11.4,14.3,0,0,11.8,0.157894737,0,=,14.6,12.5,0.176470588,0.666666667,3.6,3.4,3.2,=,0.75,0.333333333,=,=,0,0,=,=,0.5,0.333333333,=,=,5,2,1,0,0,0,0,=,2.4,3.5,4,=,4,1,0,0,3.5,3,"West Michigan Reproductive Institute, P.C.",Yes,Yes,Yes,No,Yes,Yes,Yes
"INFERTILITY AND GYNECOLOGY CENTER OF LANSING, P.C.",,LANSING,MICHIGAN,58%,17%,25%,0%,47%,0%,13%,4%,<1%,7%,<1%,10%,0%,3%,29%,32%,"Mohammad Mohsenian, M.D.",62,29,17,4,30.6,20.7,0.235294118,0,27.4,20.7,0.176470588,0,-22.2,-29.5,=,=,32.7,27.3,0.214285714,0,36.2,30,0.375,0,16.1,24.1,0.176470588,0.25,3.1,3.4,4.1,2,0.421052632,0.666666667,0.25,=,0.105263158,0.166666667,0,=,0.352941176,0.833333333,0,=,5,4,2,0,0,0.5,0,=,1.2,2.8,1.5,=,2,1,0,0,2,1,"Infertility and Gynecology Center of Lansing, P.C.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
MICHIGAN STATE UNIVERSITY,CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY,LANSING,MICHIGAN,58%,5%,37%,0%,58%,0%,13%,8%,0%,0%,0%,8%,0%,0%,4%,67%,"Harold Sauer, M.D.",12,3,4,0,0.25,0.333333333,0.5,=,0.25,0.333333333,0.5,=,=,=,=,=,0.3,0.333333333,0.666666667,=,0.3,0.5,1,=,0.166666667,0,0.25,=,3.2,3.5,3,=,0,0,0,=,0,1,0,=,0,1,0,=,3,2,0,0,0,0,=,=,2.3,2.5,=,=,0,0,=,=,=,=,"Michigan State University, Center for Assisted Reproductive Technology",Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE CENTER FOR REPRODUCTIVE MEDICINE AT ROCHESTER HILLS,,ROCHESTER HILLS,MICHIGAN,61%,0%,33%,6%,90%,0%,12%,2%,5%,4%,1%,15%,<1%,0%,22%,38%,"Mostafa I. Abuzeid, M.D.",60,26,35,9,46.7,57.7,20,0,41.7,53.8,17.1,0,-24.9,-38.3,-24.9,=,42.4,56,19.4,0,43.9,56,20,0,1.7,3.8,11.4,0.111111111,4.6,4.8,3.5,3,25,0.333333333,0.142857143,=,17.9,0.066666667,0.142857143,=,44,0.357142857,0.333333333,=,2,2,2,0,0,0,0.5,=,4,4,3,=,0,0,=,=,=,=,Clinic has undergone reorganization since 2000.  Information on current clinic services and profile therefore is not provided here.  Contact SART for current information about this clinic.,,,,,,,
FAKIH INSTITUTE OF REPRODUCTIVE SCIENCE & TECHNOLOGY,,ROCHESTER HILLS,MICHIGAN,81%,0%,17%,2%,84%,<1%,12%,5%,12%,7%,1%,22%,7%,6%,12%,16%,"Michael H. Fakih, M.D.",159,55,36,15,35.8,45.5,30.6,0.133333333,28.9,40,22.2,0.133333333,-14.1,-25.8,-27.2,=,32.2,44.9,29.6,0.181818182,33.1,45.8,32,0.181818182,10.1,10.9,25,0.266666667,4.3,4,4.6,4.2,22.8,32,0.363636364,1,24.6,24,0.090909091,0,45.7,54.5,0.25,1,37,14,4,1,13.5,0.142857143,0.25,0,3.9,4,2.5,4,82,8,34.1,0,4.3,3.8,Clinic has undergone reorganization since 2000.  Information on current clinic services and profile therefore is not provided here.  Contact SART for current information about this clinic.,,,,,,,
WILLIAM BEAUMONT FERTILITY CENTER,,ROYAL OAK,MICHIGAN,100%,0%,0%,0%,54%,0%,15%,4%,15%,10%,<1%,31%,9%,10%,2%,4%,"William R. Keye, M.D.",123,65,53,25,45.5,40,26.4,20,42.3,32.3,20.8,20,-17.5,-22.8,-21.9,-31.4,47.3,35,26.8,21.7,48.6,35.6,28.9,22.7,10.6,7.7,22.6,8,2.6,2.8,3,3.1,12.5,34.6,0,0,3.6,0,0,0,7.7,33.3,0,0,9,8,1,0,0.111111111,0,0,=,2.1,1.8,3,=,2,0,0.5,=,3,=,William Beaumont Fertility Center,Yes,No,Yes,No,Yes,Yes,Yes
HUTZEL HOSPITAL/WAYNE STATE UNIVERSITY,ART PROGRAM,SOUTHFIELD,MICHIGAN,100%,0%,0%,0%,43%,0%,20%,2%,5%,8%,0%,18%,21%,12%,4%,10%,"Elizabeth Puscheck , M.D.",81,25,24,6,25.9,16,12.5,0,17.3,12,4.2,0,-16.5,-24.7,-12.2,=,22.2,0.166666667,0.055555556,0,25,0.176470588,0.076923077,0,22.2,28,25,0.5,3.4,3.8,3.9,2,28.6,0.25,0,=,9.5,0,0,=,0.428571429,0,0,=,3,2,1,0,0,0.5,0,=,2.3,3.5,2,=,9,1,0.333333333,0,3.9,4,"University Women's Care, Wayne State University ART Program",Yes,No,Yes,No,Yes,Yes,Yes
HENRY FORD REPRODUCTIVE MEDICINE,,TROY,MICHIGAN,100%,0%,0%,0%,31%,0%,26%,<1%,0%,4%,0%,34%,13%,3%,8%,11%,"Ronald C. Strickler, M.D.",48,11,20,4,20.8,0.090909091,20,0.25,20.8,0.090909091,10,0,-23,=,-23.1,=,24.4,0.166666667,0.142857143,0,26.3,0.166666667,0.181818182,0,14.6,0.454545455,30,0.5,3,3,3.1,4,0.6,0,0,1,0.1,0,0,0,0.6,0,0,=,12,5,1,0,0.166666667,0,0,=,2.8,2.6,5,=,2,1,0.5,0,4,5,Henry Ford Reproductive Medicine,Yes,No,Yes,No,Yes,Yes,Yes
"LUANA J. KYSELKA, M.D.",,TROY,MICHIGAN,100%,0%,0%,0%,60%,0%,40%,0%,0%,20%,0%,20%,0%,20%,0%,0%,"William R. Keye, M.D.",3,2,0,0,1,0.5,=,=,1,0.5,=,=,=,=,=,=,1,0.5,=,=,1,0.5,=,=,0,0,=,=,2.3,3.5,=,=,0,1,=,=,0,0,=,=,0,1,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,"Luana J. Kyselka, M.D.",Yes,No,Yes,No,Yes,No,Yes
"ANN ARBOR REPRODUCTIVE MEDICINE ASSOCIATES, P.C.",,YPSILANTI,MICHIGAN,68%,5%,27%,0%,44%,0%,13%,9%,32%,4%,<1%,5%,1%,<1%,5%,30%,"Jonathan W.T. Ayers, M.D.",140,72,53,12,29.3,20.8,22.6,0.083333333,28.6,18.1,18.9,0.083333333,-15,-17.7,-21.1,=,32.8,24.1,23.3,0.111111111,34.5,25.5,25,0.142857143,12.9,25,18.9,0.25,3.3,3.5,3.5,4.6,43.9,0.133333333,0.25,1,14.6,0.066666667,0.083333333,0,55,0.230769231,0.3,0,34,12,8,2,29.4,0.25,0.375,0,2.8,2.8,2.5,2.5,34,23,26.5,34.8,3.2,2.6,Clinic has undergone reorganization since 2000.  Information on current clinic services and profile therefore is not provided here.  Contact SART for current information about this clinic.,,,,,,,
CENTER FOR REPRODUCTIVE MEDICINE,,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,39%,0%,15%,3%,17%,8%,<1%,19%,<1%,12%,10%,15%,"Bruce F. Campbell, M.D.",228,132,113,40,46.9,47,31,22.5,42.5,39.4,23.9,12.5,-12.9,-16.6,-15.8,-20.4,50,46.4,30.7,16.1,51.1,46.4,30.7,16.7,14.9,15.2,22.1,22.5,2.3,2.8,3.1,3.4,29,25.8,28.6,0.111111111,10.3,11.3,2.9,0,38.1,40.4,37,0.2,28,20,9,1,42.9,25,0.333333333,0,3,2.9,3,3,53,3,67.9,0,2.1,2.7,Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, P.A.",,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,41%,0%,21%,7%,3%,6%,2%,26%,3%,18%,3%,11%,"Randle S. Corfman, M.D., Ph.D.",152,71,46,12,44.7,47.9,26.1,0.083333333,36.2,36.6,19.6,0,-15.3,-22.4,-22.9,=,40.7,41.9,23.7,0,42,42.6,23.7,0,11.2,12.7,17.4,0.333333333,2.5,2.6,2.6,2.8,22.1,11.8,0.166666667,0,4.4,2.9,0,0,30.9,19.2,0.111111111,=,56,28,13,2,17.9,50,0.307692308,0,2.6,2.8,2.5,3,22,20,50,20,2.5,2.6,"The Midwest Center for Reproductive Health, P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE CENTER,,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,90%,0%,16%,5%,4%,4%,0%,46%,17%,7%,<1%,0%,"Theodore C. Nagel, M.D.",75,43,15,2,48,58.1,0.4,0,42.7,58.1,0.266666667,0,-22.4,-29.5,=,=,42.7,58.1,0.266666667,0,43.8,61,0.285714286,0,0,0,0,0,2.5,2.6,2.6,3.5,50,24,0.333333333,=,2.8,8,0,=,46.9,28,0.25,=,10,3,2,0,0.1,0,0,=,1.9,2.7,3.5,=,23,1,34.8,0,2.6,2,Reproductive Medicine Center,Yes,No,Yes,Yes,Yes,Yes,Yes
MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,,ROCHESTER,MINNESOTA,>99%,0%,<1%,0%,60%,0%,16%,2%,8%,7%,<1%,22%,5%,5%,11%,23%,"Mark A. Damario, M.D.",151,53,36,13,41.7,49.1,38.9,0.230769231,33.8,47.2,22.2,0.153846154,-15.1,-26.9,-27.2,=,35.9,49,25.8,0.222222222,38.1,50,29.6,0.222222222,6,3.8,13.9,0.307692308,2.3,3,3.4,3.4,20.6,19.2,0.214285714,0,6.3,11.5,0.142857143,0,29.4,28,0.375,0,84,38,17,4,36.9,34.2,0.294117647,0,2.7,3,3.5,2.5,2,53,0,47.2,2.5,2.7,Mayo Clinic Assisted Reproductive Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"REPRODUCTIVE MEDICINE & INFERTILITY ASSOCIATES, P.A.",,SAINT PAUL,MINNESOTA,>99%,0%,0%,<1%,57%,0%,9%,4%,2%,12%,0%,29%,3%,14%,4%,23%,"Jacques P. Stassart, M.D.",151,67,43,8,51.7,41.8,44.2,0.25,46.4,37.3,25.6,0.125,-15.9,-23.2,-26.1,=,47.9,39.7,26.8,0.166666667,50.7,41.7,28.9,0.166666667,3.3,6,4.7,0.25,2.6,2.7,3.3,2.7,26.9,32.1,0.263157895,0,6.4,3.6,0.105263158,0,34.3,32,0.363636364,0,26,11,5,2,26.9,0.454545455,0.2,0,2.9,2.7,3.6,3.5,48,10,35.4,0.2,2.5,2.5,"Reproductive Medicine & Infertility Associates, P.A.",Yes,No,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,,JACKSON,MISSISSIPPI,100%,0%,0%,0%,96%,0%,26%,3%,3%,10%,0%,7%,3%,5%,23%,20%,"Randall S. Hines, M.D.",69,10,13,2,33.3,0.2,0.230769231,0,27.5,0.2,0.153846154,0,-21.1,=,=,=,28.4,0.2,0.181818182,0,28.4,0.222222222,0.181818182,0,2.9,0,0.153846154,0,3.1,2.9,2.5,2,17.4,0,0.333333333,=,4.3,0,0,=,0.210526316,0,0.5,=,9,4,2,1,0.111111111,0,0.5,0,1.6,3,3,1,2,0,0,=,3,=,University of Mississippi Medical Center,Yes,No,No,No,Yes,Yes,Yes
WOMEN'S SPECIALTY CENTER,,JACKSON,MISSISSIPPI,100%,0%,0%,0%,48%,0%,29%,2%,4%,27%,1%,8%,4%,9%,4%,12%,"John D. Isaacs, Jr., M.D.",44,17,9,7,34.1,0.235294118,0.222222222,0.142857143,34.1,0.235294118,0,0.142857143,-28,=,=,=,38.5,0.285714286,0,0.5,40.5,0.307692308,0,0.5,11.4,0.176470588,0.333333333,0.714285714,2.8,2.8,2.5,2.5,0.4,0.5,0,0,0.066666667,0.25,0,0,0.333333333,0.75,=,0,3,0,1,0,0,=,0,=,1,=,1,=,1,0,1,=,4,=,Mississippi Fertility Institute at Women's Specialty Center,Yes,Yes,No,No,Yes,Yes,Yes
ADVANCED REPRODUCTIVE SPECIALISTS,,CHESTERFIELD,MISSOURI,100%,0%,0%,0%,0%,0%,26%,8%,0%,10%,3%,0%,0%,1%,51%,1%,"Jorge A. Pineda, M.D.",42,20,19,5,38.1,20,0.210526316,0.2,35.7,15,0.052631579,0.2,-29,-30.6,=,=,35.7,15,0.058823529,0.25,38.5,0.166666667,0.0625,0.25,0,0,0.105263158,0.2,4.1,3.9,3.3,3.5,0.375,0.5,0,0,0.25,0,0,0,0.6,0.666666667,0,0,1,0,0,0,0,=,=,=,3,=,=,=,0,0,=,=,=,=,Advanced Reproductive Specialists,Yes,No,No,No,Yes,Yes,Yes
INFERTILITY INSTITUTE,,CHESTERFIELD,MISSOURI,100%,0%,0%,0%,51%,0%,2%,17%,0%,5%,<1%,4%,<1%,0%,49%,21%,"Anthony C. Pearlstone, M.D.",55,18,24,5,58.2,0.444444444,41.7,0.2,56.4,0.388888889,25,0.2,-26.2,=,-34.6,=,56.4,0.411764706,25,0.2,57.4,0.4375,26.1,0.333333333,0,0.055555556,0,0,3.6,3.8,4.1,4.3,15.6,0.5,0.1,1,31.3,0.125,0,0,45.2,0.714285714,0,0,0,0,0,1,=,=,=,0,=,=,=,4,6,0,0.666666667,=,3,=,Infertility Institute,Yes,No,Yes,No,Yes,Yes,Yes
MID-MISSOURI CENTER FOR REPRODUCTIVE HEALTH,,COLUMBIA ,MISSOURI,91%,8%,0%,1%,31%,0%,23%,0%,0%,3%,0%,8%,1%,0%,14%,51%,"Larry L. Penney, M.D.",33,15,17,0,33.3,0.066666667,0,=,30.3,0,0,=,-31.4,=,=,=,32.3,0,0,=,33.3,0,0,=,6.1,0.133333333,0.176470588,=,3.2,3.5,3.1,=,0.454545455,0,=,=,0.363636364,0,=,=,0.7,=,=,=,4,1,1,0,0,0,0,=,2.8,2,3,=,0,0,=,=,=,=,Mid-Missouri Center for Reproductive Health,No,No,Yes,No,Yes,Yes,Yes
UNIVERSITY OF MISSOURI HOSPITAL AND CLINICS,IVF EMBRYOLOGY LABORATORY,COLUMBIA ,MISSOURI,100%,0%,0%,0%,28%,2%,20%,2%,7%,6%,0%,12%,2%,3%,13%,35%,"John W. Cassels, M.D.",15,18,9,1,0.266666667,0.111111111,0.111111111,0,0.266666667,0.111111111,0,0,=,=,=,=,0.307692308,0.153846154,0,0,0.307692308,0.166666667,0,0,0.133333333,0.277777778,0,0,3.2,2.6,2.7,3,0.5,0,0,=,0,0,0,=,0.5,0,=,=,2,7,0,0,0,0,=,=,2,2.6,=,=,2,3,0.5,0,2.5,2.3,"University of Missouri Hospital and Clinics, IVF Embryology Laboratory",Yes,Yes,Yes,Yes,Yes,Yes,Yes
MIDWEST WOMEN'S HEALTHCARE,,KANSAS CITY,MISSOURI,99%,1%,0%,0%,94%,0%,14%,29%,0%,30%,2%,17%,8%,0%,0%,0%,"Gregory C. Starks, M.D.",47,15,15,4,27.7,0.6,0.2,0,25.5,0.6,0.133333333,0,-24.9,=,=,=,26.7,0.6,0.142857143,0,27.9,0.6,0.142857143,0,4.3,0,0.066666667,0,2.3,2.4,2.1,3,0.307692308,0.333333333,0,=,0.076923077,0,0,=,0.333333333,0.333333333,0,=,4,2,0,0,0,0,=,=,2.3,2,=,=,2,0,0,=,2.5,=,Midwest Women's Healthcare,Yes,No,Yes,No,Yes,Yes,Pending
INFERTILITY & IVF CENTER,,SAINT LOUIS,MISSOURI,100%,0%,0%,0%,34%,0%,10%,13%,24%,2%,0%,9%,4%,3%,12%,23%,"Ronald P. Wilbois, M.D.",17,11,11,2,0.117647059,0.363636364,0,0.5,0.117647059,0.181818182,0,0,=,=,=,=,0.133333333,0.25,0,0,0.133333333,0.25,0,0,0.117647059,0.272727273,0.545454545,0.5,3.1,3.5,2.3,1,0.5,0.75,=,0,0.5,0,=,0,1,1,=,=,4,1,2,0,0,0,0,=,2,4,2,=,25,15,32,0.133333333,2.8,2.7,Infertility & IVF Center,Yes,Yes,No,Yes,Yes,Yes,Yes
THE INFERTILITY AND REPRODUCTIVE MEDICINE CENTER,AT WASHINGTON UNIVERSITY SCHOOL OF MEDICINE AND BARNES-JEWISH HOSPITAL,SAINT LOUIS,MISSOURI,100%,0%,0%,0%,41%,0%,17%,10%,2%,13%,<1%,18%,6%,16%,5%,13%,"Daniel B. Williams, M.D.",177,67,70,29,44.1,31.3,27.1,27.6,39.5,23.9,20,20.7,-14.5,-20.4,-18.8,-29.5,44.6,27.6,25.5,28.6,45.5,30.2,28.6,28.6,11.3,13.4,21.4,27.6,2.5,2.5,2.9,3,29.5,9.5,0.210526316,0.25,6.4,4.8,0,0,37.1,0.1875,0.214285714,0.333333333,15,9,6,0,0.333333333,0.222222222,0,=,2.1,2.1,2.7,=,9,2,0.111111111,0,2.6,2,The Infertility and Reproductive Medicine Center at Washington University School of Medicine and Barnes-Jewish Hospital,Yes,Yes,Yes,Yes,Yes,Yes,Yes
INFERTILITY CENTER OF ST. LOUIS,,SAINT LOUIS,MISSOURI,41%,16%,43%,0%,76%,0%,11%,<1%,4%,2%,0%,52%,<1%,24%,0%,5%,"Sherman J. Silber, M.D.",87,47,31,11,51.7,31.9,29,0,47.1,25.5,22.6,0,-21,-24.9,-29.4,=,48.8,28.6,23.3,0,49.4,31.6,26.9,0,3.4,10.6,3.2,0.090909091,3.6,3.6,4.5,2.8,28.9,0.2,0.222222222,=,13.3,0,0,=,34.1,0.25,0.285714286,=,9,3,1,0,0.111111111,0.333333333,0,=,3.1,3.3,4,=,6,0,0.5,=,3,=,Infertility Center of St. Louis,Yes,No,No,Yes,Yes,Yes,Yes
NEBRASKA METHODIST HOSPITAL REI,,OMAHA ,NEBRASKA,64%,0%,36%,<1%,57%,0%,20%,7%,6%,15%,2%,21%,2%,<1%,9%,18%,"Carolyn M. Doherty, M.D.",221,56,59,10,29,30.4,23.7,0.1,24.4,26.8,16.9,0,-11.3,-23.2,-19.1,=,26.5,30,21.3,0,27.1,30.6,22.7,0,7.7,10.7,20.3,0.2,3.1,3.4,3.4,3,23.4,0.176470588,0.071428571,0,4.7,0.058823529,0.142857143,0,27.8,0.2,0.2,=,42,6,6,0,19,0,0.166666667,=,2.7,2.3,2.7,=,46,6,15.2,0,3.4,1.3,Nebraska Methodist Hospital REI,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FERTILITY CENTER OF LAS VEGAS,,LAS VEGAS,NEVADA,100%,0%,0%,0%,13%,0%,30%,2%,8%,7%,1%,21%,7%,3%,10%,11%,"Bruce S. Shapiro, M.D.",96,32,17,7,28.1,21.9,0.235294118,0,21.9,18.8,0.176470588,0,-16.5,-27.1,=,=,24.1,20,0.214285714,0,31.8,26.1,0.3,0,9.4,6.3,0.176470588,0.428571429,2.3,2.3,2.3,2.3,22.2,0.285714286,0.5,=,11.1,0,0,=,28.6,0.333333333,0.666666667,=,3,0,0,0,0,=,=,=,2.3,=,=,=,21,0,61.9,=,2.6,=,Fertility Center of Las Vegas,Yes,No,Yes,Yes,Yes,Yes,Yes
NEVADA FERTILITY C.A.R.E.S.,UNIVERSITY INSTITUTE FOR FERTILITY,LAS VEGAS,NEVADA,100%,0%,0%,0%,23%,0%,13%,16%,16%,5%,1%,14%,2%,5%,9%,19%,"Rachel A. McConnell, M.D.",78,23,10,17,30.8,21.7,0.3,0,28.2,17.4,0.3,0,-20,-31,=,=,28.2,18.2,0.333333333,0,30.6,18.2,0.375,0,0,4.3,0.1,0.294117647,2.7,3,3,3.1,29.2,0,0,=,20.8,0.2,0,=,54.5,0.25,0,=,8,1,1,2,0,0,0,0,2.8,2,2,4,16,5,0.3125,0,3.3,2.6,Nevada Fertility C.A.R.E.S.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SHER INSTITUTE FOR REPRODUCTIVE MEDICINE,,LAS VEGAS,NEVADA,100%,0%,0%,0%,98%,0%,6%,0%,<1%,5%,<1%,6%,12%,5%,39%,26%,"Geoffrey Sher, M.D.",138,50,26,18,50.7,52,30.8,0.444444444,47.1,44,30.8,0.277777778,-16.6,-27.6,-35.5,=,47.4,44,32,0.277777778,51.2,46.8,33.3,0.3125,0.7,0,3.8,0,2.4,2.6,2.4,3.3,48.6,23.1,0.375,0.125,5.7,3.8,0,0.125,52.3,31.8,0.375,0,8,4,2,0,0.125,0.25,0,=,2.4,2,3,=,31,3,54.8,0,2.5,1.7,Sher Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE NEVADA CENTER FOR REPRODUCTIVE MEDICINE,,RENO,NEVADA,100%,0%,0%,0%,38%,0%,13%,3%,20%,4%,2%,11%,7%,5%,25%,10%,"Russell A. Foulk, M.D.",68,23,26,16,41.2,47.8,19.2,0.25,38.2,47.8,15.4,0.125,-23.1,-40.8,-27.8,=,39.4,52.4,16.7,0.133333333,44.1,52.4,19,0.153846154,2.9,8.7,7.7,0.0625,3.4,4.1,4.7,5.7,35.7,0.454545455,0,0.25,7.1,0,0.2,0,38.5,0.454545455,0.25,0.5,27,2,3,1,40.7,0,0.333333333,1,3.8,3.5,3.3,4,45,21,53.3,57.1,3.4,3.7,The Nevada Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DARTMOUTH--HITCHCOCK MEDICAL CENTER,,LEBANON,NEW HAMPSHIRE,100%,0%,0%,0%,26%,0%,24%,6%,7%,13%,0%,17%,0%,10%,10%,13%,"Misty B. Porter, M.D.",47,27,16,12,29.8,29.6,0.125,0.25,27.7,22.2,0.0625,0.166666667,-25.5,-31.4,=,=,29.5,25,0.090909091,0.25,30.2,28.6,0.090909091,0.25,6.4,11.1,0.3125,0.333333333,3.1,3.4,4,2.8,0.357142857,0.25,0,0,0.142857143,0,0,0,0.538461538,0.333333333,0,0,17,6,2,0,0.470588235,0.5,0,=,3.1,2.8,3,=,1,4,0,0,2,2.5,Dartmouth--Hitchcock Medical Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE CENTER FOR REPRODUCTIVE ENDOCRINOLOGY,,BEDMINSTER,NEW JERSEY,100%,0%,0%,0%,38%,0%,6%,6%,18%,5%,0%,26%,6%,6%,5%,22%,"Alexander M. Dlugi, M.D.",22,14,13,7,45.5,0.357142857,0.307692308,0,36.4,0.285714286,0.307692308,0,-40.2,=,=,=,0.470588235,0.4,0.4,0,0.470588235,0.4,0.444444444,0,22.7,0.285714286,0.230769231,0.571428571,3.2,3.7,3.8,3,0.6,0,0.5,=,0.1,0.4,0.5,=,0.75,0,1,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,The Center for Reproductive Endocrinology,No,No,Yes,No,Yes,Yes,No
SHORE INSTITUTE FOR REPRODUCTIVE MEDICINE,"ALLEN MORGAN, M.D.",BRICK,NEW JERSEY,100%,0%,0%,0%,49%,0%,13%,7%,7%,3%,0%,13%,5%,17%,12%,23%,"Allen Morgan, M.D.",27,13,9,3,44.4,0.153846154,0.444444444,0.333333333,29.6,0.153846154,0.333333333,0.333333333,-34.5,=,=,=,29.6,0.166666667,0.375,0.333333333,30.8,0.166666667,0.428571429,0.333333333,0,0.076923077,0.111111111,0,3.4,4,3.6,3.7,0.5,0,0.5,0,0.083333333,0.5,0,0,0.375,0.5,0.333333333,0,3,0,0,0,0,=,=,=,2.7,=,=,=,2,2,0,0,3,3.5,Shore IVF and Reproductive Medicine,Yes,No,Yes,No,Yes,Yes,Yes
"REPRODUCTIVE GYNECOLOGISTS, P.C.",,CHERRY HILL,NEW JERSEY,100%,0%,0%,0%,41%,0%,23%,6%,3%,3%,0%,13%,0%,4%,17%,31%,"David N. Goldberg, D.O.",32,10,14,2,25,0.3,0.285714286,1,15.6,0.2,0.142857143,1,-25.2,=,=,=,17.2,0.222222222,0.181818182,1,18.5,0.222222222,0.181818182,1,9.4,0.1,0.214285714,0,3,3.2,3.6,4.5,0.25,0.333333333,0.25,0,0.125,0,0,0,0.4,0.5,0.5,0,7,0,2,0,0,=,0,=,3,=,3.5,=,1,0,0,=,3,=,"Reproductive Gynecologists, P.C.",Yes,No,Yes,Yes,Yes,Yes,Yes
"IVF OF NORTH JERSEY, P.A.",,CLIFTON,NEW JERSEY,100%,0%,0%,0%,58%,0%,21%,4%,33%,4%,3%,10%,12%,4%,6%,3%,"Mark X. Ransom, M.D.",42,33,14,8,35.7,30.3,0.142857143,0.25,33.3,27.3,0,0.25,-28.5,-30.4,=,=,36.8,33.3,0,0.25,40,39.1,0,0.285714286,9.5,18.2,0.071428571,0,3.3,3.5,3.5,3.6,0.266666667,0.3,0,0,0.133333333,0.1,0,0,0.428571429,0.444444444,=,0,0,0,0,0,=,=,=,=,=,=,=,=,13,0,0.230769231,=,3.2,=,"IVF of North Jersey, P.A.",Yes,No,Yes,No,Yes,Yes,Yes
CENTER FOR ADVANCED REPRODUCTIVE MEDICINE AND FERTILITY,,EDISON,NEW JERSEY,100%,0%,0%,0%,53%,0%,11%,8%,20%,4%,4%,20%,2%,8%,8%,15%,"Gregory H. Corsan, M.D.",59,27,5,4,30.5,25.9,0.2,0,20.3,22.2,0.2,0,-20.5,-31.4,=,=,24,23.1,0.25,0,24.5,23.1,0.25,0,15.3,3.7,0.2,0,3.1,3.1,3.5,4,0.111111111,0.142857143,0,=,0.055555556,0.142857143,0,=,0.25,0,0,=,0,0,0,0,=,=,=,=,=,=,=,=,7,0,0.285714286,=,3.4,=,Center for Advanced Reproductive Medicine and Fertility,Yes,Yes,Yes,No,Yes,Yes,Yes
