OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
199,GBMC FERTILITY CENTER,,BALTIMORE,MARYLAND,100%,0%,0%,0%,46%,<1%,0%,<1%,10%,7%,5%,13%,<1%,22%,9%,19%,9%,6%,"Eugene Katz, MD",185,88,70,30,11,48.6,39.8,27.1,23.3,0,44.3,29.5,25.7,13.3,0,(37.0Ð51.8),(20.3Ð40.2),(16.0Ð37.6),(3.8Ð30.7),,46.6,32.1,26.5,14.8,0,49.7,33.3,28.6,14.8,0,29.7,24.4,19,7.4,0,4.9,8,2.9,10,0,2.3,2.4,3.2,3.9,2.4,32.2,20,0.315789474,0.142857143,=,5.6,2.9,0.105263158,0.142857143,=,40.2,26.9,0.333333333,0.5,=,41,28,8,4,2,34.1,39.3,0.375,0.25,0,2.9,3.1,3.1,3.5,3,7,5,0.571428571,0.4,2,2.4,This clinic has closed or reorganized since 2007.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,MD
200,UMMSÐCENTER FOR ADVANCED REPRODUCTIVE TECHNOLOGIES,,BALTIMORE,MARYLAND,100%,0%,0%,0%,44%,0%,<1%,0%,21%,4%,11%,3%,0%,14%,5%,15%,6%,21%,"Howard D. McClamrock, MD",49,22,27,12,5,34.7,45.5,18.5,0,0,32.7,31.8,14.8,0,0,(19.9Ð47.5),(13.9Ð54.9),(4.2Ð33.7),,,37.2,0.368421053,19,0,0,47.1,0.411764706,0.266666667,0,0,32.4,0.235294118,0.133333333,0,0,12.2,13.6,22.2,0.666666667,0.6,2.3,2.3,2.9,4,4,0.470588235,0.2,0.4,=,=,0,0.2,0.2,=,=,0.3125,0.428571429,0.5,=,=,6,2,3,0,1,0.166666667,0,0,=,0,2.3,3,2.7,=,4,2,1,0.5,1,2,3,UMMSÐCenter for Advanced Reproductive Technologies,Yes,No,Yes,Yes,Yes,Yes,Yes,MD
201,JOHNS HOPKINS FERTILITY CENTER,,LUTHERVILLE,MARYLAND,100%,0%,0%,0%,26%,0%,0%,<1%,14%,8%,24%,7%,<1%,15%,9%,4%,11%,8%,"Jairo E. Garcia, MD",62,60,47,40,18,25.8,23.3,6.4,7.5,0.055555556,21,13.3,6.4,7.5,0,(11.7Ð33.2),(5.9Ð24.6),(1.3Ð17.5),(1.6Ð20.4),,24.5,16,8.3,11.5,0,30.2,18.6,10.3,14.3,0,27.9,14,10.3,14.3,0,14.5,16.7,23.4,35,0.277777778,2.1,2.3,2.7,2.6,3,0.1875,0.142857143,0,0.333333333,0,0.0625,0.071428571,0,0,0,0.076923077,0.25,0,0,=,20,12,9,5,1,15,0.25,0.111111111,0,0,2.2,2.3,2.1,2.2,1,3,8,0.666666667,0.375,2,2.1,Johns Hopkins Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes,MD
202,CENTER FOR REPRODUCTIVE MEDICINE,,ROCKVILLE,MARYLAND,100%,0%,0%,0%,74%,0%,4%,7%,0%,0%,0%,3%,0%,23%,3%,13%,7%,50%,"Burt Littman, MD",5,4,13,0,5,0.6,0,0.461538462,=,0.2,0.6,0,0.384615385,=,0.2,,,,,,0.6,0,0.416666667,=,0.2,0.75,0,0.416666667,=,0.2,0.25,0,0.25,=,0.2,0,0,0.076923077,=,0,2,1.7,2.3,=,2,0.666666667,=,0.166666667,=,0,0,=,0.166666667,=,0,0.666666667,=,0.4,=,0,0,1,2,0,0,=,0,0,=,=,=,2,2.5,=,=,0,0,=,=,=,=,Center for Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes,MD
203,SHADY GROVE FERTILITY REPRODUCTIVE SCIENCE CENTER,,ROCKVILLE,MARYLAND,100%,0%,0%,0%,49%,0%,1%,5%,10%,7%,12%,5%,3%,19%,9%,22%,6%,7%,"Michael J. Levy, MD",1396,919,815,337,98,47.6,41.1,34.1,23.1,20.4,40,32.8,23.6,13.1,14.3,(37.5Ð42.7),(29.7Ð35.9),(20.7Ð26.6),(9.6Ð17.1),(8.0Ð22.8),43.7,37.9,28,16.9,17.5,45.9,39.1,29.5,17.6,18.2,34.2,28.9,22.8,14.8,18.2,8.5,13.6,15.8,22.6,18.4,1.9,2,2.4,2.9,3.5,27.1,26.7,20.1,14.1,15,1.4,2.1,2.9,3.8,5,25.6,26.2,22.9,15.9,0,222,152,114,29,5,30.6,21.1,13.2,17.2,0.2,1.9,1.7,1.8,1.9,2,380,175,52.9,17.7,1.8,1.9,Shady Grove Fertility Reproductive Science Center,Yes,No,Yes,Yes,Yes,Yes,Yes,MD
204,FERTILITY CENTER OF MARYLAND,,TOWSON,MARYLAND,100%,0%,0%,0%,21%,<1%,1%,0%,15%,11%,7%,7%,2%,10%,3%,2%,25%,19%,"Santiago L. Padilla, MD",99,58,40,26,7,50.5,39.7,37.5,23.1,0.142857143,46.5,31,27.5,11.5,0,(36.4Ð56.8),(19.5Ð44.5),(14.6Ð43.9),(2.4Ð30.2),,49.5,38.3,35.5,0.176470588,0,50.5,38.3,36.7,0.176470588,0,35.2,29.8,30,0.117647059,0,6.1,19,22.5,34.6,0.571428571,2,2,2.6,4.4,5,30,17.4,0.133333333,0.166666667,0,2,0,0,0,0,30.4,0.222222222,0.181818182,0.333333333,=,37,22,12,4,0,40.5,45.5,0.166666667,0,=,2.1,1.9,2.1,2.5,=,5,7,0.4,0.428571429,2,1.7,Fertility Center of Maryland,Yes,No,Yes,Yes,Yes,Yes,Yes,MD
205,BRIGHAM AND WOMEN'S HOSPITAL ART CENTER,,BOSTON,MASSACHUSETTS,>99%,<1%,0%,0%,38%,0%,<1%,3%,9%,5%,9%,5%,2%,20%,16%,18%,7%,10%,"Elizabeth S. Ginsburg, MD",496,357,349,146,46,50,37,39.3,32.2,23.9,43.3,30.3,30.4,19.2,10.9,(38.9Ð47.8),(25.5Ð35.3),(25.6Ð35.5),(13.1Ð26.5),(3.6Ð23.6),44.7,31.9,32.3,20.4,11.4,48.6,34,34.6,22.4,11.9,35.1,21.7,25.2,20,9.5,3,5,6,6.2,4.3,1.9,2.4,3.2,4.4,5.1,27.8,29.5,28.5,14.9,0.181818182,1.2,6.1,7.3,4.3,0,27.9,36.1,27.4,10.7,0.2,70,57,31,10,3,40,35.1,29,0.3,0,2,2.4,2.7,3,2.7,73,38,61.6,34.2,2,2.1,Brigham and Women's Hospital ART Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MA
206,MASSACHUSETTS GENERAL HOSPITAL FERTILITY CENTER,,BOSTON,MASSACHUSETTS,100%,0%,0%,0%,47%,0%,<1%,2%,8%,5%,10%,3%,<1%,24%,2%,18%,8%,22%,"Thomas L. Toth, MD",155,109,85,34,7,45.8,41.3,36.5,35.3,0.142857143,40.6,33.9,30.6,14.7,0.142857143,(32.8Ð48.8),(25.1Ð43.6),(21.0Ð41.5),(5.0Ð31.1),,42.3,38.1,33.8,15.2,0.2,45.7,39.8,35.1,16.1,0.2,31.9,26.9,25.7,12.9,0.2,3.9,11,9.4,2.9,0.285714286,1.7,1.9,2.4,3.3,2.8,33.8,35.6,22.6,0.25,0,0,0,0,0,0,30.2,32.4,26.9,0.2,0,34,31,15,5,1,32.4,41.9,0.133333333,0.2,1,1.5,1.5,1.7,2,1,39,16,56.4,0.3125,1.7,1.4,Massachusetts General Hospital Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes,MA
207,REPRODUCTIVE SCIENCE CENTER,,LEXINGTON,MASSACHUSETTS,100%,0%,0%,0%,41%,<1%,<1%,2%,9%,8%,10%,4%,<1%,20%,4%,17%,9%,20%,"Samuel C. Pang, MD",868,493,450,197,41,44.8,35.9,27.3,19.8,7.3,39.9,32.3,20.7,13.2,0,(36.6Ð43.2),(28.1Ð36.6),(17.0Ð24.7),(8.8Ð18.7),(0.0Ð8.6),41.6,35.6,22.9,15.5,0,45.9,39.8,26.1,18.2,0,31.2,30.8,21.3,16.8,0,4.3,9.3,9.6,14.7,9.8,1.8,2,2.2,2.8,2.5,31.4,22,18.7,12.8,0,1.8,4.5,2.4,0,0,32.1,22.6,18.3,7.7,=,139,80,36,9,5,33.1,27.5,27.8,0.111111111,0.2,1.8,1.6,2,2.2,1.6,61,50,50.8,44,1.9,1.5,Reproductive Science Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MA
208,"FERTILITY CENTERS OF NEW ENGLAND, INC.","NEW ENGLAND CLINICS OF REPRODUCTIVE MEDICINE, INC.",READING,MASSACHUSETTS,100%,0%,0%,0%,54%,0%,<1%,8%,9%,10%,7%,5%,2%,21%,8%,10%,12%,17%,"R. Ian Hardy, MD, PhD",262,158,121,48,14,51.5,43,27.3,14.6,0.285714286,45.8,34.2,23.1,8.3,0.142857143,(39.7Ð52.0),(26.8Ð42.1),(16.0Ð31.7),(2.3Ð20.0),,46.3,35.3,25,9.1,0.153846154,48.8,37.8,27.7,10.3,0.2,34.6,26.6,22.8,7.7,0.2,1.1,3.2,7.4,8.3,0.071428571,2,2,2.3,2.4,2,23.7,30.9,15.2,0.142857143,0,3.7,1.5,3,0,0,29.2,29.6,17.9,0.25,0,66,23,10,2,3,24.2,34.8,0.1,0,0.333333333,1.9,2.3,1.7,2.5,2.7,55,26,45.5,26.9,1.9,1.9,"Fertility Centers of New England, Inc., New England Clinics of Reproductive Medicine, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,MA
209,BAYSTATE REPRODUCTIVE MEDICINE,,SPRINGFIELD,MASSACHUSETTS,100%,0%,0%,0%,52%,0%,0%,0%,8%,12%,2%,7%,2%,27%,3%,22%,7%,10%,"Daniel Grow, MD",158,58,65,41,8,53.2,44.8,38.5,31.7,0.375,45.6,37.9,32.3,22,0.25,(37.6Ð53.7),(25.5Ð51.6),(21.2Ð45.1),(10.6Ð37.6),,48.3,42.3,36.2,23.1,0.25,49.3,45.8,36.8,23.1,0.25,35.6,29.2,24.6,17.9,0.25,5.7,10.3,10.8,4.9,0,1.7,2.1,2.8,3.9,4.6,23.8,38.5,36,0.307692308,0.333333333,2.4,0,0,0,0,27.8,36.4,33.3,0.222222222,0,66,28,25,5,3,24.2,21.4,0,0,0,1.8,2.1,2.3,2,4,16,9,0.4375,0.333333333,1.8,1.9,Baystate Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes,MA
210,CARDONE REPRODUCTIVE MEDICINE AND INFERTILITY,,STONEHAM,MASSACHUSETTS,99%,1%,0%,0%,40%,4%,3%,0%,4%,4%,34%,8%,3%,12%,3%,24%,3%,5%,"Vito R. Cardone, MD",26,11,18,13,7,38.5,0.272727273,0.388888889,0.076923077,0.142857143,30.8,0.272727273,0.333333333,0.076923077,0,(14.3Ð51.8),,,,,30.8,0.272727273,0.352941176,0.090909091,0,32,0.272727273,0.375,0.1,0,24,0.181818182,0.375,0.1,0,0,0,0.055555556,0.153846154,0,2.2,2.1,2.5,2.4,4,0.2,0.333333333,0,0,0,0.1,0,0,0,0,0.25,0.333333333,0,0,=,1,0,1,1,0,0,=,0,0,=,2,=,1,3,=,12,0,0.583333333,=,2,=,Cardone Reproductive Medicine and Infertility,Yes,No,Yes,Yes,Yes,Yes,Yes,MA
211,BOSTON IVF,,WALTHAM,MASSACHUSETTS,>99%,<1%,0%,0%,40%,<1%,<1%,7%,8%,7%,10%,3%,2%,19%,13%,30%,3%,4%,"Michael M. Alper, MD",672,435,489,234,125,36.2,34.5,27.6,16.7,16.8,30.8,29.9,20.9,8.5,10.4,(27.3Ð34.4),(25.6Ð34.4),(17.3Ð24.7),(5.3Ð12.9),(5.7Ð17.1),32.5,31.8,23,9.5,11,35,34.3,26.7,10.5,12.9,24.8,25.3,22,7.9,11.9,5.2,6,9.2,10.3,5.6,2,2.2,2.6,3,3.4,28.4,28.7,20,7.7,4.8,3.7,4,1.5,5.1,0,29,26.2,17.6,25,0.076923077,122,85,50,17,9,32,30.6,22,0,0.111111111,1.8,1.9,1.9,1.5,2.6,128,85,51.6,27.1,1.9,1.8,Boston IVF,Yes,No,Yes,Yes,Yes,Yes,Yes,MA
212,CENTER FOR REPRODUCTIVE MEDICINE,UNIVERSITY OF MICHIGAN REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,ANN ARBOR,MICHIGAN,100%,0%,0%,0%,54%,0%,0%,2%,1%,5%,7%,0%,0%,21%,3%,5%,10%,49%,"Senait Fisseha, MD",43,37,25,7,2,44.2,21.6,20,0.142857143,0,39.5,18.9,12,0.142857143,0,(25.0Ð55.6),(8.0Ð35.2),(2.5Ð31.2),,,41.5,24.1,14.3,0.166666667,0,44.7,24.1,0.166666667,0.166666667,0,31.6,20.7,0.166666667,0.166666667,0,4.7,21.6,16,0.142857143,0,2.1,2.2,2.4,2.2,2.5,0.368421053,0.25,0,0,=,0,0,0,0,=,0.294117647,0.142857143,0,0,=,17,10,7,2,1,0.117647059,0.1,0.142857143,0,0,2.5,2.7,2.9,1.5,1,7,9,0.428571429,0.333333333,2,3.1,"Center for Reproductive Medicine, University of Michigan Reproductive Endocrinology and Infertility",Yes,No,Yes,Yes,Yes,Yes,Yes,MI
213,"CENTER FOR REPRODUCTIVE MEDICINE AND SURGERY, PC",,BIRMINGHAM,MICHIGAN,100%,0%,0%,0%,88%,0%,0%,0%,<1%,16%,29%,0%,0%,17%,0%,<1%,13%,24%,"Michael S. Mersol-Barg, MD",58,26,13,8,1,56.9,61.5,0.153846154,0.25,1,51.7,57.7,0.153846154,0.125,1,(38.2Ð65.0),(36.9Ð76.6),,,,51.7,57.7,0.153846154,0.125,1,52.6,57.7,0.166666667,0.125,1,21.1,46.2,0.166666667,0.125,1,0,0,0,0,0,2,2,2,1.9,2,48.5,0.1875,0.5,0,0,9.1,0,0,0,0,60,0.2,0,0,0,8,3,0,0,0,0.375,0,=,=,=,1.6,1.7,=,=,=,14,2,0.5,0.5,1.9,2,"Center for Reproductive Medicine and Surgery, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,MI
214,ADVANCED REPRODUCTIVE MEDICINE AND SURGERY,,BLOOMFIELD HILLS,MICHIGAN,100%,0%,0%,0%,80%,0%,0%,0%,6%,8%,16%,5%,2%,14%,2%,10%,18%,21%,"David A. Brinton, MD",13,21,4,8,4,0.461538462,42.9,0.75,0.25,0,0.384615385,33.3,0.5,0.125,0,,(14.6Ð57.0),,,,0.384615385,0.4375,0.5,0.166666667,0,0.454545455,0.4375,0.5,0.166666667,0,0.181818182,0.3125,0.5,0.166666667,0,0,23.8,0,0.25,0.25,2.2,2.8,4,2.7,3.5,0.5,0.333333333,0,0.5,=,0,0,0,0,=,0.6,0.285714286,0,0,=,5,2,2,2,0,0.2,0.5,0.5,0.5,=,2,2,1.5,1,=,0,1,=,1,=,5,Advanced Reproductive Medicine and Surgery,Yes,Yes,Yes,Yes,Yes,No,Yes,MI
215,MICHIGAN COMPREHENSIVE FERTILITY CENTER,,DEARBORN,MICHIGAN,100%,0%,0%,0%,64%,0%,0%,0%,10%,8%,5%,9%,2%,15%,<1%,9%,12%,31%,"David M. Magyar, DO",96,43,36,12,5,28.1,18.6,19.4,0,0,21.9,16.3,8.3,0,0,(14.1Ð31.5),(6.8Ð30.7),(1.8Ð22.5),,,25,20,15,0,0,27.6,21.9,0.157894737,0,0,18.4,15.6,0.105263158,0,0,12.5,18.6,44.4,0.333333333,0.4,3.3,3.7,4.1,3,1.7,18.5,0.25,0.285714286,=,=,22.2,0,0,=,=,33.3,0.285714286,0.333333333,=,=,21,6,5,0,0,14.3,0.166666667,0,=,=,3,4,3.6,=,=,10,10,0.4,0.4,2.6,2.8,Michigan Comprehensive Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MI
216,"GRAND RAPIDS FERTILITY & IVF, PC",,GRAND RAPIDS,MICHIGAN,100%,0%,0%,0%,74%,0%,0%,0%,20%,2%,9%,3%,0%,29%,3%,11%,6%,18%,"Douglas C. Daly, MD",52,14,15,6,1,30.8,0.5,0.066666667,0.166666667,1,26.9,0.5,0.066666667,0,1,(15.6Ð41.0),,,,,33.3,0.538461538,0.090909091,0,1,42.4,0.538461538,0.1,0,1,27.3,0.384615385,0.1,0,1,19.2,0.071428571,0.266666667,0.166666667,0,2.8,2.9,3.3,3,2,0.3125,0.285714286,0,0,0,0,0,0,0,0,0.357142857,0.285714286,0,=,0,29,18,7,0,1,34.5,0.222222222,0.285714286,=,0,2.6,2.8,2.7,=,4,6,21,0.5,28.6,2,2.9,"Grand Rapids Fertility & IVF, PC",Yes,Yes,No,Yes,Yes,Yes,Yes,MI
217,"MICHIGAN REPRODUCTIVE & IVF CENTER, PC",,GRAND RAPIDS,MICHIGAN,>99%,0%,<1%,0%,91%,0%,0%,1%,9%,3%,8%,5%,<1%,30%,2%,4%,9%,28%,"William G. Dodds, MD",219,91,65,16,4,53.9,46.2,21.5,0,0,48.4,35.2,10.8,0,0,(41.6Ð55.2),(25.4Ð45.9),(4.4Ð20.9),,,50,39.5,11.9,0,0,51.2,41,13.2,0,0,33.3,29.5,5.7,0,0,3.2,11,9.2,0.25,0,2.2,2.6,2.8,3.2,3,33.1,23.8,0.214285714,=,=,5.9,0,0.142857143,=,=,34.9,28.1,0.571428571,=,=,124,29,33,9,1,46.8,37.9,39.4,0.333333333,0,2.8,3.2,3.1,3.3,1,34,52,58.8,25,2.2,2.8,"Michigan Reproductive & IVF Center, PC",Yes,Yes,No,Yes,Yes,Yes,Yes,MI
218,"INFERTILITY AND GYNECOLOGY CENTER OF LANSING, PC",,LANSING,MICHIGAN,100%,0%,0%,0%,89%,0%,0%,0%,0%,4%,12%,10%,1%,16%,0%,4%,15%,39%,"Mohammad Mohsenian, MD",38,13,10,3,2,52.6,0.307692308,0.2,0.333333333,0,47.4,0.153846154,0.2,0,0,(31.0Ð64.2),,,,,48.6,0.181818182,0.222222222,0,0,52.9,0.181818182,0.222222222,0,0,44.1,0.090909091,0.222222222,0,0,2.6,0.153846154,0.1,0,0.5,2,2.4,2.1,2,3,15,0.25,0,0,=,5,0,0,0,=,0.166666667,0.5,0,=,=,6,6,1,0,0,0.166666667,0.166666667,0,=,=,1.8,1.5,1,=,=,0,3,=,0,=,2,"Infertility and Gynecology Center of Lansing, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,MI
219,IVF MICHIGAN,,ROCHESTER HILLS,MICHIGAN,>99%,0%,<1%,<1%,86%,0%,2%,6%,6%,10%,13%,4%,2%,15%,5%,3%,20%,22%,"Mostafa I. Abuzeid, MD",447,190,138,61,31,52.6,41.6,33.3,18,6.5,47.4,34.7,22.5,11.5,0,(42.7Ð52.2),(28.0Ð42.0),(15.8Ð30.3),(4.7Ð22.2),(0.0Ð11.2),51.5,39.1,25.8,15.2,0,53.5,40.2,28.7,16.7,0,31.3,26.8,25.9,11.9,0,7.8,11.1,13,24.6,25.8,2.3,2.4,2.6,2.9,2.5,40.9,30.4,17.4,0.181818182,0,3.8,3.8,2.2,0,0,41.5,33.3,9.7,0.285714286,=,89,31,16,6,1,43.8,25.8,0.3125,0.166666667,0,2.2,2.1,2.1,2.2,1,87,40,51.7,17.5,2.3,2.2,IVF Michigan,Yes,No,Yes,Yes,Yes,Yes,Yes,MI
220,UNIVERSITY WOMEN'S CARE/WAYNE STATE UNIVERSITY,,SOUTHFIELD,MICHIGAN,100%,0%,0%,0%,91%,0%,0%,2%,6%,6%,5%,6%,3%,19%,4%,6%,17%,31%,"Elizabeth E. Puscheck, MD",29,14,17,4,2,41.4,0.214285714,0.235294118,0,0.5,41.4,0.071428571,0.117647059,0,0.5,(23.5Ð61.1),,,,,41.4,0.071428571,0.117647059,0,0.5,41.4,0.071428571,0.133333333,0,0.5,27.6,0.071428571,0.066666667,0,0.5,0,0,0,0,0,2.5,3.1,3.5,3.7,3.5,0.333333333,0,0.5,=,0,0,0.333333333,0,=,0,0.333333333,0,0.5,=,0,13,6,9,1,0,0.615384615,0.5,0.111111111,1,=,3.2,4.2,4,4,=,5,9,0.4,0.333333333,2,2.8,University Women's Care/Wayne State University,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MI
221,HENRY FORD REPRODUCTIVE MEDICINE,,TROY,MICHIGAN,100%,0%,0%,0%,18%,0%,0%,0%,18%,1%,0%,13%,0%,10%,8%,12%,14%,23%,"Ronald C. Strickler, MD",27,11,12,2,1,25.9,0.181818182,0.25,0,0,22.2,0.181818182,0.083333333,0,0,(8.6Ð42.3),,,,,28.6,0.25,0.1,=,0,0.375,0.333333333,0.142857143,=,0,0.25,0.333333333,0.142857143,=,0,22.2,0.272727273,0.166666667,1,0,2.2,2.3,2.4,=,1,0.285714286,0,0,=,=,0,0,0,=,=,0.333333333,0,0,=,=,10,6,3,0,0,0.4,0.5,0.333333333,=,=,1.9,2.3,2.3,=,=,2,1,0.5,0,2,2,Henry Ford Reproductive Medicine,Yes,No,Yes,No,Yes,Yes,Yes,MI
222,"BRENDA L. MOSKOVITZ, MD, PC",,TROY,MICHIGAN,100%,0%,0%,0%,86%,0%,0%,0%,9%,0%,0%,9%,0%,26%,0%,4%,4%,48%,"Michael S. Mersol-Barg, MD",7,8,5,1,0,0.571428571,0.5,0.8,0,=,0.428571429,0.5,0.6,0,=,,,,,,0.428571429,0.666666667,0.6,0,=,0.6,0.8,0.6,0,=,0.6,0.2,0.6,0,=,0,0.25,0,0,=,2.4,2.4,2,1,=,0,0.75,0.5,=,=,0,0,0,=,=,0,0.75,0,=,=,2,0,0,0,0,0.5,=,=,=,=,2,=,=,=,=,0,0,=,=,=,=,"Brenda L. Moskovitz, MD, PC",Yes,No,Yes,No,Yes,Yes,Yes,MI
223,REPRODUCTIVE MEDICINE ASSOCIATES OF MICHIGAN,,TROY,MICHIGAN,100%,0%,0%,0%,65%,0%,0%,2%,6%,8%,13%,6%,0%,20%,6%,13%,10%,19%,"Brad T. Miller, MD",63,49,26,9,10,57.1,38.8,38.5,0.222222222,0,44.4,26.5,26.9,0.111111111,0,(31.9Ð57.5),(14.9Ð41.1),(11.6Ð47.8),,,45.2,27.7,30.4,0.111111111,0,45.9,28.9,31.8,0.125,0,27.9,22.2,22.7,0.125,0,1.6,4.1,11.5,0,0.2,2.6,2.4,3,2.8,2.6,27.8,0.263157895,0.3,0,=,2.8,0.052631579,0,0,=,39.3,0.230769231,0.285714286,0,=,6,6,6,0,0,0,0.166666667,0.166666667,=,=,2.7,2,1.8,=,=,13,6,0.461538462,0.166666667,1.9,3.3,Reproductive Medicine Associates of Michigan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MI
224,"MICHIGAN CENTER FOR FERTILITY AND WOMEN'S HEALTH, PLC",,WARREN,MICHIGAN,100%,0%,0%,0%,86%,1%,0%,0%,11%,15%,12%,9%,1%,12%,7%,7%,17%,9%,"Carole L. Kowalczyk, MD",44,18,21,12,3,34.1,0.222222222,28.6,0.333333333,0,20.5,0.222222222,23.8,0.166666667,0,(9.8Ð35.3),,(8.2Ð47.2),,,23.1,0.25,25,0.2,0,24.3,0.266666667,0.263157895,0.285714286,0,10.8,0.2,0.210526316,0.285714286,0,11.4,0.111111111,4.8,0.166666667,0,2.4,2.2,2.4,2.9,2,0.4,0.25,0.166666667,0,=,0.066666667,0,0,0,=,0.555555556,0.25,0.2,0,=,12,1,5,1,1,0.416666667,1,0,0,0,2.3,3,2.4,2,6,16,4,0.5625,0.25,2.2,2.8,"Michigan Center for Fertility and Women's Health, PLC",Yes,Yes,Yes,Yes,Yes,Yes,No,MI
225,"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, PA",,MAPLE GROVE,MINNESOTA,100%,0%,0%,0%,42%,0%,0%,6%,10%,21%,3%,3%,<1%,19%,6%,23%,9%,7%,"Randle S. Corfman, MD, PhD",88,31,25,4,2,40.9,35.5,40,0.25,0,34.1,35.5,20,0.25,0,(24.3Ð45.0),(19.2Ð54.6),(6.8Ð40.7),,,34.5,42.3,23.8,0.333333333,0,37,42.3,0.263157895,0.5,=,19.8,34.6,0.210526316,0.5,=,1.1,16.1,16,0.25,0,1.9,2,1.9,2,=,44.4,0.272727273,0.2,0,=,0,0,0,0,=,46.7,0.181818182,0.2,0,=,39,12,4,1,0,28.2,0.666666667,0.25,1,=,1.9,1.7,2.3,2,=,27,22,70.4,13.6,2,1.8,"The Midwest Center for Reproductive Health, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,MN
226,CENTER FOR REPRODUCTIVE MEDICINE,ADVANCED REPRODUCTIVE TECHNOLOGIES,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,59%,0%,<1%,4%,8%,6%,21%,4%,1%,21%,4%,14%,7%,15%,"Bruce F. Campbell, MD",302,138,133,47,17,55,53.6,30.8,23.4,0.235294118,49.7,43.5,26.3,14.9,0.176470588,(43.9Ð55.5),(35.1Ð52.2),(19.1Ð34.7),(6.2Ð28.3),,54.9,48,31,17.9,0.230769231,56.6,50.4,32.4,18.4,0.230769231,38.1,30.3,25.9,18.4,0.230769231,9.6,9.4,15,17,0.235294118,1.8,1.9,2,2.2,2.8,33.7,33.8,22,0.090909091,0.25,2.4,2.7,2.4,0,0,32.7,40,20,0,0,48,26,17,3,3,29.2,34.6,0.411764706,0.666666667,0.333333333,1.8,2,1.9,1.7,1.7,78,24,71.8,20.8,1.7,2,"Center for Reproductive Medicine, Advanced Reproductive Technologies",Yes,Yes,Yes,Yes,Yes,Yes,Yes,MN
