PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,Medicaldirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinicNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY,,OVERLAND PARK,KANSAS,>99%,<1%,0%,0%,38%,0%,18%,1%,0%,2%,0%,26%,16%,35%,0%,2%,"Rodney Lyles, M.D.",146,69,51,7,56.2,37.7,33.3,0,50.7,33.3,27.5,0,-16.2,-22.3,-24.5,=,58.3,43.4,34.1,0,62.2,46,38.9,0,13,23.2,19.6,0.714285714,2,2.1,2.3,2,35.4,19.2,0.176470588,=,2.4,7.7,0.058823529,=,35.1,26.1,0.285714286,=,14,11,4,0,0.214285714,0.363636364,0,=,2.3,2.3,2.3,=,33,5,63.6,0,2,2.6,Reproductive Resource Center of Greater Kansas City,Yes,No,No,No,Yes,Yes,Yes
REPRODUCTIVE MEDICINE & INFERTILITY,SHAWNEE MISSION MEDICAL CENTER,SHAWNEE MISSION,KANSAS,100%,0%,0%,0%,25%,0%,18%,3%,4%,20%,1%,11%,3%,5%,17%,18%,"Dan L. Gehlbach, M.D.",82,17,14,3,30.5,0.411764706,0.285714286,0.666666667,28,0.294117647,0.214285714,0.333333333,-19.5,=,=,=,35.9,0.384615385,0.375,0.5,36.5,0.416666667,0.5,0.5,22,0.235294118,0.428571429,0.333333333,3.4,3.1,4,3.5,52,0.428571429,0.5,0.5,4,0,0,0,60.9,0.4,0.666666667,0,7,0,0,1,0,=,=,0,3.4,=,=,3,3,2,0.333333333,0,3,2.5,"Reproductive Medicine & Infertility, Shawnee Mission Medical Center",No,No,Yes,Yes,Yes,Yes,Yes
THE CENTER FOR REPRODUCTIVE MEDICINE,,WICHITA,KANSAS,>99%,0%,<1%,0%,31%,0%,26%,4%,3%,17%,2%,17%,1%,5%,11%,14%,"David A. Grainger, M.D.",95,28,24,12,37.9,35.7,16.7,0.25,32.6,35.7,16.7,0.166666667,-18.9,-35.5,-29.8,=,35.6,41.7,20,0.181818182,37.3,41.7,20,0.181818182,8.4,14.3,16.7,0.083333333,2.6,2.6,2.8,3.4,27.8,0.3,0.5,0,11.1,0,0,0.333333333,32.3,0.3,0.5,0,27,7,6,3,11.1,0,0,0.333333333,2.9,2.9,2.7,3.3,6,1,0.5,0,2.7,2,The Center for Reproductive Medicine,Yes,No,No,Yes,Yes,Yes,Yes
FERTILITY AND ENDOCRINE ASSOCIATES,,LEXINGTON,KENTUCKY,100%,0%,0%,0%,23%,0%,22%,2%,3%,25%,0%,2%,5%,0%,31%,10%,"Robert J. Homm, M.D.",35,15,12,3,20,0.4,0,0.333333333,0,0,0,0,=,=,=,=,0,0,0,0,0,0,0,0,0,0,0.083333333,0,3.2,3.5,3.5,5,0.285714286,0.166666667,=,0,0.142857143,0.333333333,=,0,=,=,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Fertility and Endocrine Associates,No,No,No,No,Yes,Yes,Yes
"JAMES W. AKIN, M.D.",,LEXINGTON,KENTUCKY,100%,0%,0%,0%,26%,0%,16%,3%,4%,36%,0%,13%,4%,2%,5%,17%,"James W. Akin, M.D.",52,25,4,1,13.5,16,0,0,13.5,16,0,0,-18.5,-28.8,=,=,13.7,16.7,0,0,14.9,18.2,0,0,1.9,4,0,0,3.1,3.2,3.3,3,0.428571429,0.25,=,=,0.142857143,0,=,=,0.571428571,0.25,=,=,0,0,1,0,=,=,0,=,=,=,3,=,0,0,=,=,=,=,"James W. Akin, M.D.",No,No,No,No,Yes,Yes,Yes
UNIVERSITY OF KENTUCKY,,LEXINGTON,KENTUCKY,100%,0%,0%,0%,25%,0%,35%,0%,0%,35%,0%,5%,5%,10%,5%,5%,"Shona Murray, M.D.",12,6,2,0,0.333333333,0.166666667,0,=,0.166666667,0.166666667,0,=,=,=,=,=,0.222222222,0.166666667,0,=,0.25,0.166666667,=,=,0.25,0,0.5,=,2.6,3,=,=,0,1,=,=,0,0,=,=,0,1,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,University of Kentucky,No,No,Yes,No,Yes,Yes,Yes
UNIVERSITY OB/GYN ASSOCIATES FERTILITY CENTER,,LOUISVILLE,KENTUCKY,>99%,<1%,0%,0%,40%,<1%,16%,4%,3%,8%,3%,25%,2%,10%,17%,12%,"Steven T. Nakajima, M.D.",110,54,41,9,31.8,25.9,22,0.222222222,27.3,20.4,9.8,0,-16.7,-21.5,-18.1,=,32.3,22.9,12.5,0,34.5,26.2,12.9,0,15.5,11.1,22,0.222222222,2.7,2.7,3.4,4.2,22.9,0.071428571,0.111111111,0,8.6,0.142857143,0.111111111,0,36.7,0.181818182,0.25,=,26,6,3,0,11.5,0.333333333,0.333333333,=,2.4,3.3,2.7,=,7,6,0.428571429,0.333333333,2.6,3,University OB/GYN Associates Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes
WOMAN'S CENTER FOR FERTILITY AND ADVANCED REPRODUCTIVE MEDICINE,,BATON ROUGE,LOUISIANA,100%,0%,0%,0%,27%,0%,38%,11%,0%,28%,5%,9%,0%,0%,7%,2%,"Bobby W. Webster, M.D.",37,21,15,4,24.3,14.3,0.133333333,0,21.6,9.5,0.066666667,0,-26.5,-22.1,=,=,30.8,0.142857143,0.111111111,0,30.8,0.142857143,0.125,0,29.7,33.3,0.4,0.5,2.7,2.6,2.4,3.5,0.444444444,0,0,=,0.111111111,0,0,=,0.625,0,0,=,1,2,0,0,0,0,=,=,4,4,=,=,0,0,=,=,=,=,Woman's Center for Fertility and Advanced Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes
THE CENTER FOR FERTILITY AND ADVANCED REPRODUCTIVE CARE,,METAIRIE,LOUISIANA,100%,0%,0%,0%,7%,0%,39%,10%,10%,10%,0%,0%,0%,6%,19%,6%,"William E. Roniger, M.D.",9,7,6,1,0.333333333,0.428571429,0.166666667,1,0.333333333,0.428571429,0.166666667,1,=,=,=,=,0.333333333,0.428571429,0.166666667,1,0.375,0.428571429,0.2,1,0,0,0,0,3.6,4.4,4.4,5,1,0.333333333,1,0,0,0.333333333,0,0,1,0.666666667,1,0,1,0,0,0,0,=,=,=,4,=,=,=,1,0,0,=,3,=,The Center for Fertility and Advanced Reproductive Care,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FERTILITY INSTITUTE OF NEW ORLEANS,,NEW ORLEANS,LOUISIANA,100%,0%,0%,0%,19%,<1%,33%,8%,<1%,23%,0%,13%,6%,6%,9%,2%,"Richard P. Dickey, M.D., Ph.D.",98,53,39,3,27.6,26.4,25.6,0.333333333,23.5,24.5,20.5,0.333333333,-16.8,-23.2,-25.4,=,30.7,36.1,30.8,0.333333333,32.4,38.2,34.8,0.333333333,23.5,32.1,33.3,0,3.3,3.9,4.3,6.3,22.2,0.357142857,0.3,0,14.8,0.214285714,0.2,1,34.8,0.384615385,0.5,1,2,3,1,1,0,0,0,0,2.5,2,3,1,4,0,0.25,=,4.5,=,Fertility Institute of New Orleans,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR FERTILITY AND REPRODUCTIVE HEALTH,,SHREVEPORT,LOUISIANA,100%,0%,0%,0%,23%,0%,45%,2%,0%,16%,0%,6%,2%,3%,16%,10%,"David T. Vandermolen, M.D.",27,17,10,2,48.1,0.235294118,0.2,0,40.7,0.176470588,0.2,0,-37.1,=,=,=,52.4,0.25,0.285714286,=,55,0.272727273,0.285714286,=,22.2,0.294117647,0.3,1,3,3.2,3.1,=,0.615384615,0,0,=,0.230769231,0,0.5,=,0.909090909,0,0.5,=,4,3,2,0,0,0,0,=,3,4,5,=,0,0,=,=,=,=,Center for Fertility and Reproductive Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FERTILITY CENTER OF MARYLAND,,BALTIMORE,MARYLAND,95%,4%,<1%,0%,29%,0%,18%,3%,3%,9%,<1%,10%,11%,<1%,26%,19%,"Santiago L. Padilla, M.D.",86,63,52,12,38.4,44.4,38.5,0.25,32.6,41.3,34.6,0.083333333,-19.8,-24.3,-25.8,=,36.4,47.3,41.9,0.125,37.8,48.1,41.9,0.125,10.5,12.7,17.3,0.333333333,2.8,3.6,3.5,3.5,27.3,35.7,35,0,3,3.6,15,0,35.7,34.6,0.5,0,24,12,6,2,20.8,0.083333333,0.166666667,0.5,2.5,3,3.2,3,5,1,0.6,0,2.8,2,Fertility Center of Maryland,Yes,No,Yes,Yes,Yes,Yes,Pending
GREATER BALTIMORE MEDICAL CENTER,FERTILITY CENTER,BALTIMORE,MARYLAND,97%,2%,<1%,<1%,39%,0%,16%,<1%,6%,18%,0%,23%,5%,7%,12%,13%,"Eugene Katz, M.D.",241,102,72,21,29,23.5,25,14.3,26.1,19.6,22.2,9.5,-11.1,-15.4,-19.2,-22.1,27,22,23.5,10,27.4,22.5,25.8,10,3.3,10.8,5.6,4.8,3.3,4,5,5.4,32.9,16.7,0.166666667,0,10,16.7,0.166666667,0,46,35,0.3125,0,90,21,22,3,8.9,23.8,4.5,0.333333333,3.8,3.5,4,5.3,21,20,42.9,0,3.3,4,Greater Baltimore Medical Center Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
HELIX CENTER FOR ART,,BALTIMORE,MARYLAND,100%,0%,0%,0%,38%,0%,25%,12%,13%,12%,1%,3%,<1%,6%,10%,17%,"Nathan G. Berger, M.D.",58,32,14,16,22.4,21.9,0.214285714,0.1875,15.5,12.5,0.142857143,0,-18.6,-23,=,=,19.1,13.8,0.25,0,19.1,13.8,0.25,0,19,9.4,0.428571429,0.3125,3.8,4.4,4.3,4.7,0.307692308,0.571428571,0,0,0.153846154,0,0,0,0.666666667,0.5,0,=,4,4,5,0,0.25,0.25,0.4,=,3.5,2.5,3.4,=,2,0,0.5,=,3,=,Helix Center for ART,Yes,No,Yes,Yes,Yes,Yes,Yes
JOHNS HOPKINS FERTILITY CENTER,,BALTIMORE,MARYLAND,>99%,0%,<1%,0%,31%,<1%,26%,4%,23%,14%,<1%,13%,6%,3%,4%,7%,"Jairo E. Garcia, M.D.",110,54,62,38,18.2,18.5,14.5,5.3,13.6,16.7,9.7,5.3,-12.8,-19.9,-14.7,-12.4,14.6,17,10.7,6.1,15.5,20,12.8,8,6.4,1.9,9.7,13.2,2.9,2.9,3.1,3.2,25,0.3,0.333333333,0,10,0.1,0.222222222,0,0.266666667,0.333333333,0.5,0,45,13,18,2,6.7,0.153846154,0.111111111,0,2.6,2.9,2.7,2.5,7,10,0.142857143,0.2,2.7,2.8,Johns Hopkins Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF MARYLAND MEDICAL SCHOOL,CENTER FOR ADVANCED REPRODUCTIVE TECHNOLOGY,BALTIMORE,MARYLAND,100%,0%,0%,0%,28%,0%,22%,3%,16%,14%,0%,5%,3%,9%,12%,16%,"Howard D. McClamrock, M.D.",33,15,10,1,33.3,0.4,0.2,0,30.3,0.4,0.1,0,-31.4,=,=,=,35.7,0.461538462,0.166666667,0,40,0.545454545,0.166666667,0,15.2,0.133333333,0.4,0,3.1,3.6,3.5,2,0.454545455,0.333333333,0,=,0,0,0,=,0.4,0.333333333,0,=,3,0,0,0,0.333333333,=,=,=,3.3,=,=,=,4,4,0.5,0.5,2.5,3.5,"University of Maryland Medical School, Center for Advanced Reproductive Technology",Yes,No,Yes,Yes,Yes,Yes,Yes
MID-ATLANTIC FERTILITY CENTERS,,BETHESDA,MARYLAND,98%,<1%,<1%,<1%,39%,0%,14%,2%,14%,12%,2%,7%,5%,14%,13%,17%,"Frank E. Chang, M.D.",66,45,42,15,34.8,33.3,33.3,0.133333333,33.3,31.1,26.2,0.133333333,-22.7,-27,-26.6,=,37.3,33.3,31.4,0.153846154,46.8,53.8,36.7,0.25,10.6,6.7,16.7,0.133333333,2.7,2.7,3.2,2.8,39.1,0.533333333,0.285714286,0,13,0.066666667,0.142857143,0,40.9,0.642857143,0.363636364,0,9,3,3,1,0.222222222,0,0,0,2.9,3.3,4.3,4,9,2,0.333333333,0.5,2.9,3,Mid-Atlantic Fertility Centers,Yes,No,Yes,Yes,Yes,Yes,Yes
"NORTH HOUSTON CENTER FOR REPRODUCTIVE MEDICINE, P.A.",,HOUSTON,TEXAS,100%,0%,0%,0%,45%,0%,19%,5%,2%,1%,0%,8%,0%,4%,26%,35%,"Dorothy J. Roach, M.D.",45,11,21,5,42.2,0.363636364,38.1,0,35.6,0.272727273,23.8,0,-27.9,=,-36.4,=,37.2,0.333333333,0.277777778,=,38.1,0.333333333,0.277777778,=,4.4,0.181818182,14.3,1,3,3.4,3.9,=,0.315789474,0.5,0.25,=,0.052631579,0,0.125,=,0.4375,0.333333333,0.6,=,4,1,1,0,0.25,0,0,=,3.3,1,2,=,0,0,=,=,=,=,"North Houston Center for Reproductive Medicine, P.A.",No,No,Yes,No,Yes,Yes,Pending
OBSTETRICAL & GYNECOLOGICAL ASSOCIATES,,HOUSTON,TEXAS,100%,0%,0%,0%,56%,0%,15%,4%,15%,7%,1%,13%,4%,2%,11%,28%,"George M. Grunert, M.D.",169,81,51,29,36.7,35.8,13.7,13.8,29.6,25.9,11.8,10.3,-13.8,-19.1,-17.7,-21.4,30.9,27.3,13.3,12,32.7,30,13.6,13.6,4.1,4.9,11.8,13.8,3,3.4,3.4,3.6,25.8,37.9,0.142857143,0.5,8.1,10.3,0.285714286,0,36,38.1,0.5,0,46,28,12,4,15.2,21.4,0,0.25,2.4,3,2.4,2.3,51,34,27.5,11.8,3,2.8,Obstetrical & Gynecological Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF TEXAS WOMEN'S CENTER,,HOUSTON,TEXAS,100%,0%,0%,0%,0%,0%,23%,0%,15%,0%,0%,0%,0%,8%,46%,8%,"Jaou-Chen Huang, M.D.",4,0,4,1,0.5,=,0,0,0.5,=,0,0,=,=,=,=,0.5,=,0,0,0.5,=,0,0,0,=,0.25,0,4,=,3.5,3,0,=,=,=,0.5,=,=,=,0.5,=,=,=,0,0,0,0,=,=,=,=,=,=,=,=,1,1,0,0,5,4,University of Texas Women's Center,Yes,No,No,Yes,Yes,No,No
ADVANCED REPRODUCTIVE CARE CENTER OF IRVING,,IRVING,TEXAS,100%,0%,0%,0%,14%,0%,37%,<1%,3%,5%,<1%,12%,8%,9%,9%,15%,"Sy Q. Le, M.D.",51,14,14,3,21.6,0.142857143,0.214285714,0,19.6,0.142857143,0.071428571,0,-21.8,=,=,=,25.6,0.181818182,0.125,0,28.6,0.222222222,0.125,0,23.5,0.214285714,0.428571429,0.666666667,2.2,2.6,2.6,2,0.181818182,0.5,0.333333333,=,0.090909091,0.5,0.333333333,=,0.3,1,1,=,7,2,0,0,0.142857143,0,=,=,1.9,3,=,=,1,1,0,0,2,2,Advanced Reproductive Care Center of Irving,Yes,No,Yes,Yes,Yes,Yes,Yes
WILFORD HALL MEDICAL CENTER,,LACKLAND AFB,TEXAS,100%,0%,0%,0%,27%,0%,43%,2%,0%,6%,0%,19%,2%,4%,15%,9%,"Timothy N. Hickman, M.D.",63,22,14,0,47.6,45.5,0.428571429,=,42.9,31.8,0.357142857,=,-24.5,-38.9,=,=,44.3,33.3,0.357142857,=,44.3,33.3,0.357142857,=,3.2,4.5,0,=,2.8,3.2,3.3,=,40,0.5,0.333333333,=,10,0,0,=,51.9,0.571428571,0,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Wilford Hall Medical Center,No,No,No,No,Yes,Yes,Pending
CENTRE FOR REPRODUCTIVE MEDICINE,,LUBBOCK,TEXAS,100%,0%,0%,0%,8%,0%,18%,7%,0%,10%,0%,6%,7%,2%,31%,19%,"Janelle Dorsett, M.D.",54,13,12,4,51.9,0.307692308,0.25,0.25,44.4,0.230769231,0.25,0.25,-26.5,=,=,=,49,0.272727273,0.272727273,0.25,51.1,0.375,0.272727273,0.25,9.3,0.153846154,0.083333333,0,2.4,2.6,2.1,3.8,42.9,0.5,0,0,3.6,0,0,0,45.8,0.666666667,0,0,4,2,1,0,0.25,0,0,=,1.8,1,4,=,7,1,0.571428571,0,2.1,4,Centre for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
TEXAS TECH UNIVERSITY HEALTH SCIENCE CENTER,IVF PROGRAM,LUBBOCK,TEXAS,100%,0%,0%,0%,14%,0%,27%,0%,0%,0%,9%,9%,0%,9%,9%,37%,"Samuel D. Prien, Ph.D.",4,2,0,1,0.5,0,=,0,0.5,0,=,0,=,=,=,=,0.666666667,0,=,0,0.666666667,0,=,0,0.25,0,=,0,3,2.5,=,2,1,=,=,=,0,=,=,=,1,=,=,=,3,0,1,0,0,=,0,=,4,=,2,=,0,0,=,=,=,=,Texas Tech University Health Science CenterÐIVF Program,No,No,Yes,No,Yes,Yes,Yes
FERTILITY CENTER OF SAN ANTONIO,,SAN ANTONIO,TEXAS,100%,0%,0%,0%,38%,0%,23%,5%,1%,7%,1%,26%,13%,4%,8%,12%,"Joseph E. Martin, M.D.",92,42,32,15,52.2,40.5,37.5,0.466666667,47.8,33.3,28.1,0.333333333,-20.4,-28.5,-31.2,=,48.4,35.9,32.1,0.384615385,51.2,35.9,34.6,0.384615385,1.1,7.1,12.5,0.133333333,2.8,3.1,3.3,3.8,41.7,0.176470588,0.25,0,10.4,0.176470588,0,0.142857143,47.7,0.214285714,0.222222222,0.2,36,19,9,1,38.9,0.315789474,0.333333333,0,2.4,2.4,2.3,1,9,2,0.444444444,0.5,2.9,1.5,Fertility Center of San Antonio,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY CONCEPTS,,SAN ANTONIO,TEXAS,100%,0%,0%,0%,50%,0%,13%,0%,4%,18%,0%,4%,17%,0%,9%,35%,"Linda R. Ellsworth, M.D., Ph.D.",8,8,1,1,0.375,0.125,0,0,0.375,0.125,0,0,=,=,=,=,0.375,0.125,0,0,0.375,0.142857143,0,0,0,0,0,0,3.6,3.6,5,1,0,0,=,=,0,0,=,=,0,0,=,=,1,1,0,2,0,0,=,0,2,5,=,2.5,1,0,1,=,3,=,Fertility Concepts,Yes,Yes,Yes,Yes,Yes,Yes,No
INSTITUTE FOR WOMEN'S HEALTH,ADVANCED FERTILITY LABORATORY,SAN ANTONIO,TEXAS,100%,0%,0%,0%,42%,0%,18%,2%,9%,5%,0%,16%,5%,0%,16%,29%,"Joseph R. Garza, M.D.",29,8,6,3,34.5,0.25,0.166666667,0,34.5,0.125,0.166666667,0,-34.6,=,=,=,35.7,0.142857143,0.333333333,0,38.5,0.166666667,0.333333333,0,3.4,0.125,0.5,0.333333333,3.9,4,3,2.5,0.3,0,0,=,0.1,0.5,0,=,0.4,1,0,=,1,0,0,0,0,=,=,=,4,=,=,=,4,1,0.25,0,4.8,5,Institute for Women's Health Advanced Fertility Laboratory,Yes,Yes,Yes,Yes,Yes,Yes,No
SOUTH TEXAS FERTILITY CENTER,"UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER, SAN ANTONIO",SAN ANTONIO,TEXAS,100%,0%,0%,0%,11%,0%,18%,<1%,7%,6%,3%,8%,13%,7%,21%,16%,"Robert G. Brzyski, M.D.",41,23,22,14,29.3,34.8,13.6,0.071428571,26.8,34.8,13.6,0.071428571,-27.1,-38.9,-28,=,30.6,0.470588235,0.214285714,0.125,32.4,0.470588235,0.230769231,0.2,12.2,26.1,36.4,0.428571429,2.9,3.3,2.8,2.6,0.333333333,0.125,0.333333333,0,0.333333333,0,0.333333333,0,0.636363636,0,0.666666667,0,8,6,6,2,0.375,0,0,0,2.3,2.8,2.3,3,22,10,45.5,0.2,3,3.2,"South Texas Fertility Center, University of Texas Health Science Center, San Antonio",Yes,Yes,Yes,No,Yes,Yes,Yes
CENTER OF REPRODUCTIVE MEDICINE,,WEBSTER,TEXAS,100%,0%,0%,0%,63%,0%,13%,1%,1%,6%,2%,4%,3%,0%,32%,38%,"Vicki L. Schnell, M.D.",66,22,33,9,31.8,18.2,9.1,0.222222222,24.2,9.1,6.1,0.222222222,-20.7,-21.1,-14.2,=,25,9.1,8.7,0.222222222,26.2,9.5,9.5,0.222222222,3,0,30.3,0,3.2,3.2,3,3.3,33.3,0.25,0.333333333,0,4.8,0,0,0,0.4375,0.5,0.5,0,5,0,2,0,0,=,0,=,2.8,=,3,=,3,0,0.333333333,=,2.7,=,Center of Reproductive Medicine,Yes,No,No,Yes,Yes,Yes,Yes
REPRODUCTIVE CARE CENTER,,SALT LAKE CITY,UTAH,100%,0%,0%,0%,23%,0%,24%,12%,0%,10%,0%,8%,6%,7%,11%,22%,"James S. Heiner, M.D.",63,16,9,7,39.7,0.3125,0.333333333,0,38.1,0.3125,0.333333333,0,-24,=,=,=,42.9,0.384615385,0.375,0,46.2,0.416666667,0.428571429,0,11.1,0.1875,0.111111111,0,2.7,3.3,3.1,4.1,44,0.2,0,=,8,0,0,=,54.2,0.2,0,=,9,9,3,2,0.222222222,0,0,0,3.1,3.8,3,4,0,0,=,=,=,=,Reproductive Care Center,No,No,No,No,Yes,Yes,No
UTAH CENTER FOR REPRODUCTIVE MEDICINE,,SALT LAKE CITY,UTAH,99%,1%,0%,0%,50%,0%,18%,3%,9%,8%,<1%,18%,1%,9%,13%,21%,"Harry H. Hatasaka, M.D.",121,60,42,12,36.4,36.7,28.6,0.166666667,34.7,31.7,26.2,0.083333333,-17,-23.5,-26.6,=,40,35.8,31.4,0.1,40.4,35.8,31.4,0.125,13.2,11.7,16.7,0.166666667,2.8,2.9,2.9,3.3,20.5,18.2,0.166666667,0,22.7,9.1,0,0,45.2,0.210526316,0.181818182,0,7,3,1,0,0,0.333333333,0,=,2.6,3,4,=,27,2,37,0,2.5,3,Utah Center for Reproductive Medicine,Yes,Yes,Yes,No,Yes,Yes,Yes
VERMONT CENTER FOR REPRODUCTIVE MEDICINE,UNIVERSITY OF VERMONTÐIVF PROGRAM,BURLINGTON,VERMONT,100%,0%,0%,0%,21%,0%,34%,0%,3%,6%,3%,7%,6%,7%,14%,20%,"Peter R. Casson, M.D.",26,20,9,1,19.2,15,0.111111111,0,15.4,15,0.111111111,0,-27.8,-30.6,=,=,16.7,0.1875,0.166666667,0,16.7,0.1875,0.166666667,0,7.7,20,0.333333333,0,3.2,3.8,3.8,4,0,0,1,=,0.2,0.333333333,0,=,0.25,0.333333333,1,=,1,3,2,0,0,0,0,=,3,3,3.5,=,5,2,0.6,0,3.4,2.5,"Vermont Center for Reproductive Medicine, University of VermontÐIVF Program",Yes,Yes,Yes,No,Yes,Yes,Yes
FERTILITY AND REPRODUCTIVE HEALTH CENTER,,ANNANDALE,VIRGINIA,97%,<1%,2%,0%,18%,0%,19%,2%,3%,9%,0%,10%,0%,9%,29%,19%,"Pierre Asmar, M.D.",52,28,32,8,36.5,32.1,12.5,0.125,32.7,25,6.3,0.125,-25.5,-32,-14.6,=,33.3,25,6.3,0.125,33.3,25,6.3,0.125,1.9,0,0,0,4.1,5,4.1,4.1,0.315789474,0.111111111,0.5,0,0.105263158,0.333333333,0,0,0.411764706,0.428571429,0.5,0,2,2,1,0,0,0.5,0,=,3.5,5,5,=,9,4,0.333333333,0,3.4,3.8,Fertility and Reproductive Health Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DOMINION FERTILITY AND ENDOCRINOLOGY,,ARLINGTON,VIRGINIA,87%,9%,0%,4%,31%,0%,9%,9%,9%,3%,0%,4%,13%,1%,27%,25%,"Michael Dimattina, M.D.",71,35,28,13,32.4,11.4,53.6,0.153846154,19.7,11.4,39.3,0.076923077,-18.5,-21.1,-36.2,=,22.2,14.8,45.8,0.090909091,24.1,15.4,45.8,0.090909091,11.3,22.9,14.3,0.153846154,4.2,4.6,4.6,4.7,30.4,0.25,0.333333333,1,8.7,0.25,0,0,0.5,0.5,0.363636364,1,16,4,1,0,0.1875,0.25,1,=,3.8,4.5,3,=,12,11,0.333333333,0.181818182,3.8,4.5,Dominion Fertility and Endocrinology,Yes,No,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF VIRGINIA ART PROGRAM,,CHARLOTTESVILLE,VIRGINIA,53%,0%,47%,0%,53%,0%,14%,3%,15%,10%,0%,27%,1%,9%,8%,13%,"Bruce G. Bateman, M.D.",26,12,14,6,61.5,0.583333333,0.285714286,0.333333333,50,0.5,0.214285714,0.333333333,-38.4,=,=,=,56.5,0.545454545,0.272727273,0.4,56.5,0.545454545,0.3,0.4,11.5,0.083333333,0.214285714,0.166666667,2.9,3.4,3.6,4,0.4375,0.142857143,0.5,1,0,0.142857143,0,0,0.538461538,0.333333333,0.333333333,0.5,8,1,1,1,0.25,0,0,0,2.4,2,2,4,13,5,0.461538462,0.2,2.4,2.4,University of Virginia ART Program,Yes,Yes,Yes,Yes,Yes,No,Yes
JONES INSTITUTE FOR REPRODUCTIVE MEDICINE,,NORFOLK,VIRGINIA,97%,1%,2%,0%,45%,<1%,16%,3%,18%,6%,<1%,21%,7%,3%,14%,12%,"Suheil J. Muasher, M.D.",122,66,51,33,44.3,28.8,27.5,27.3,37.7,25.8,21.6,12.1,-17.2,-21.1,-22.6,-22.3,40.4,28.8,23.4,16.7,41.8,31.5,24.4,18.2,6.6,10.6,7.8,27.3,3.2,3.5,3.8,4.2,31.5,0.421052632,0.214285714,0.222222222,3.7,0.105263158,0.071428571,0,34.8,0.470588235,0.363636364,0.25,40,17,16,3,30,0.294117647,0.0625,0,3.3,3.5,3.6,3.7,70,39,40,30.8,3.3,2.9,Jones Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
