PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
"GRAND RAPIDS FERTILITY & IVF, P.C.",,GRAND RAPIDS,MICHIGAN,91%,<1%,8%,0%,75%,0%,0%,14%,3%,16%,2%,0%,27%,2%,22%,4%,10%,"Douglas C. Daly, M.D.",77,24,14,2,33.8,16.7,0.5,0.5,26,8.3,0.285714286,0.5,-19.6,-19.4,=,=,28.6,0.105263158,0.307692308,0.5,29.4,0.105263158,0.307692308,0.5,16.2,0,0.153846154,0.5,9.1,20.8,0.071428571,0,4,4.3,4.2,5,30.8,0.25,0.428571429,0,7.7,0.25,0,0,45,1,0.5,0,21,2,8,1,33.3,0,0,1,4.7,2,3.8,5,25,19,36,0.157894737,3.9,4.2,"Grand Rapids Fertility & IVF, P.C.",Yes,Yes,No,Yes,Yes,Yes,Yes
"MICHIGAN REPRODUCTIVE & IVF CENTER, P.C.",,GRAND RAPIDS,MICHIGAN,79%,<1%,19%,2%,86%,0%,<1%,15%,2%,4%,6%,<1%,31%,4%,4%,6%,28%,"William G. Dodds, M.D.",271,74,72,21,46.1,36.5,25,19,43.9,31.1,22.2,14.3,-11.8,-21.1,-19.2,-29.3,49,34.3,24.6,0.176470588,50.4,36.5,25.4,0.1875,34.7,30.2,20.6,0.125,10.3,9.5,9.7,19,2.8,3.2,3.6,3.5,28.8,22.2,0.166666667,0.25,7.2,0,0,0,31.1,17.4,0.1875,0.333333333,90,22,11,2,28.9,31.8,0.181818182,0,3.6,3.2,4.3,4,25,13,56,0.384615385,3,3.7,"Michigan Reproductive & IVF Center, P.C.",Yes,Yes,No,Yes,Yes,Yes,Yes
"INFERTILITY AND GYNECOLOGY CENTER OF LANSING, P.C.",,LANSING,MICHIGAN,66%,22%,11%,1%,55%,0%,2%,15%,<1%,3%,11%,0%,7%,<1%,2%,24%,36%,"Mohammad Mohsenian, M.D.",65,15,9,4,41.5,0.466666667,0.333333333,0,36.9,0.4,0.111111111,0,-23.5,=,=,=,44.4,0.5,0.142857143,0,47.1,0.5,0.142857143,0,27.5,0.416666667,0,0,16.9,0.2,0.222222222,0.5,3.4,3.3,3.4,4,33.3,0.428571429,0.333333333,=,18.5,0,0,=,41.7,0.166666667,1,=,3,0,1,1,0,=,0,0,2.3,=,3,2,2,2,1,0.5,2.5,3.5,"Infertility and Gynecology Center of Lansing, P.C.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
MICHIGAN STATE UNIVERSITY,CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY,LANSING,MICHIGAN,58%,0%,42%,0%,53%,0%,0%,28%,0%,0%,0%,0%,24%,5%,0%,0%,43%,"Harold Sauer, M.D.",7,4,6,2,0.428571429,0,0.166666667,0,0.428571429,0,0.166666667,0,=,=,=,=,0.5,0,0.25,0,0.5,0,0.25,0,0.333333333,0,0.25,0,0.142857143,0.5,0.333333333,0,3.2,2,4.3,2,0.333333333,=,0,=,0,=,0,=,0.333333333,=,0,=,0,0,1,0,=,=,0,=,=,=,1,=,0,0,=,=,=,=,"Michigan State University, Center for Assisted Reproductive Technology",Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE CENTER FOR REPRODUCTIVE MEDICINE,HURLEY MEDICAL CENTER,ROCHESTER HILLS,MICHIGAN,89%,0%,9%,2%,85%,0%,0%,16%,2%,0%,6%,1%,26%,1%,1%,23%,24%,"Mostafa I. Abuzeid, M.D.",29,17,9,4,37.9,0.117647059,0.333333333,0,34.5,0.058823529,0.222222222,0,-34.6,=,=,=,38.5,0.066666667,0.222222222,0,45.5,0.066666667,0.25,0,27.3,0.066666667,0.125,0,10.3,0.117647059,0,0.25,4.4,4.6,4.6,5.7,0.454545455,0,0.333333333,=,0.090909091,0,0,=,0.4,0,0.5,=,1,0,0,0,0,=,=,=,2,=,=,=,0,0,=,=,=,=,IVF Michigan,Yes,No,Yes,Yes,Yes,Yes,Yes
IVF MICHIGAN,,ROCHESTER HILLS,MICHIGAN,85%,<1%,14%,<1%,86%,<1%,1%,8%,6%,21%,7%,1%,19%,3%,3%,11%,21%,"Michael H. Fakih, M.D.",340,156,139,58,52.1,37.2,19.4,15.5,47.4,30.8,13.7,10.3,-10.7,-14.5,-11.4,-15.7,50.6,33.6,16.1,11.8,52.4,35.6,18.1,12.2,33.6,22.2,12.4,10.2,6.5,8.3,15.1,12.1,3.6,3.7,3.8,3.4,25.4,25.9,33.3,0.111111111,14.7,17.2,3.7,0,36,37.5,0.315789474,0.166666667,66,25,24,6,33.3,28,25,0.166666667,3,3,3.2,3.7,131,19,46.6,0.157894737,3.8,2.8,IVF Michigan,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WILLIAM BEAUMONT FERTILITY CENTER,,ROYAL OAK,MICHIGAN,100%,0%,0%,0%,69%,0%,0%,9%,2%,6%,8%,<1%,22%,4%,12%,18%,19%,"William R. Keye, M.D.",116,71,62,18,42.2,29.6,25.8,0,34.5,15.5,17.7,0,-17.3,-16.8,-19.1,=,37,18.3,22.9,0,38.5,19.6,23.9,0,28.8,12.5,17.4,0,6.9,15.5,22.6,0.055555556,2.9,3.2,3.1,3.9,18.4,23.8,0.375,=,10.2,4.8,0.125,=,25,0.363636364,0.272727273,=,6,3,7,0,0.166666667,0.333333333,0,=,2.5,2.3,2.4,=,5,1,0.4,0,2.6,2,William Beaumont Fertility Center,Yes,No,Yes,No,Yes,Yes,Yes
UNIVERSITY WOMEN'S CARE,WAYNE STATE UNIVERSITY ART PROGRAM,SOUTHFIELD,MICHIGAN,100%,0%,0%,0%,48%,<1%,0%,13%,3%,13%,7%,0%,22%,12%,14%,6%,10%,"Elizabeth E. Puscheck, M.D.",112,20,35,10,17.9,25,11.4,0,17,25,8.6,0,-13.9,-38,-17.8,=,20.4,0.357142857,13,0,22.1,0.384615385,14.3,0,17.4,0.230769231,14.3,0,17,30,34.3,0.6,3.1,3.7,3.6,3.8,25,0.4,0,=,5,0,0,=,0.210526316,0.4,0,=,4,1,4,0,0.25,0,0,=,4,4,2,=,9,4,0.333333333,0,2.9,4,University Women's Care/Wayne State University ART Program,Yes,No,Yes,No,Yes,Yes,Yes
HENRY FORD REPRODUCTIVE MEDICINE,,TROY,MICHIGAN,100%,0%,0%,0%,24%,1%,0%,24%,5%,0%,1%,2%,19%,24%,10%,4%,11%,"Ronald C. Strickler, M.D.",39,15,15,8,25.6,0.266666667,0.266666667,0.125,25.6,0.2,0.2,0.125,-27.4,=,=,=,37,0.3,0.375,0.2,43.5,0.333333333,0.375,0.2,30.4,0.222222222,0,0.2,30.8,0.333333333,0.466666667,0.375,2.5,2.9,3.1,3,0.4,0.5,0.5,0,0,0.25,0.25,0,0.3,0.333333333,1,0,9,0,0,0,0.222222222,=,=,=,2.9,=,=,=,1,0,0,=,4,=,Henry Ford Reproductive Medicine,Yes,No,Yes,No,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,42%,0%,2%,14%,4%,19%,6%,2%,19%,0%,15%,8%,13%,"Bruce F. Campbell, M.D.",219,106,129,35,43.4,34,31.8,25.7,37.4,30.2,23.3,14.3,-12.9,-17.5,-14.5,-23.2,43.4,35.2,28,16.1,45.8,37.2,28.3,17.2,28.5,22.1,23.6,10.3,13.7,14.2,17.1,11.4,2.1,2.7,3,3.1,35.8,36.1,14.6,0.111111111,1.1,2.8,0,0.111111111,37.8,40.6,16.7,0.4,54,23,15,6,31.5,26.1,0.266666667,0.333333333,2.7,2.6,3.4,3.3,76,11,59.2,0.454545455,2,2.6,Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, P.A.",,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,38%,0%,<1%,24%,7%,3%,6%,3%,24%,3%,15%,1%,14%,"Randle S. Corfman, Ph.D., M.D.",130,60,43,9,52.3,33.3,37.2,0.111111111,47.7,33.3,27.9,0.111111111,-17.2,-23.9,-26.8,=,50,40,32.4,0.125,50.4,40.8,32.4,0.125,32.5,30.6,27,0.125,4.6,16.7,14,0.111111111,2.4,2.5,2.5,2.5,32.4,20,0.0625,0,4.4,5,0.0625,0,35.5,25,0.166666667,0,54,21,17,4,38.9,28.6,0.235294118,0.5,2.6,2.7,2.4,2.8,14,7,0.571428571,0.285714286,2.1,3.1,"The Midwest Center for Reproductive Health, P.A.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE CENTER,,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,81%,0%,<1%,10%,7%,3%,5%,<1%,34%,27%,3%,1%,10%,"Theodore C. Nagel, M.D.",115,42,34,6,50.4,33.3,23.5,0.333333333,44.3,23.8,14.7,0.166666667,-18.1,-25.8,-23.8,=,48.1,26.3,17.9,0.2,49.5,27,20,0.2,31.1,16.2,12,0.2,7.8,9.5,17.6,0.166666667,2.3,2.5,2.8,2.6,32.8,0.285714286,0.25,0,8.6,0.071428571,0,0,37.3,0.4,0.4,0,16,7,5,1,0.3125,0.142857143,0,0,2.3,2.1,2.8,2,34,6,32.4,0.166666667,2.5,2.5,Reproductive Medicine Center,Yes,No,Yes,Yes,Yes,Yes,Yes
MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,,ROCHESTER,MINNESOTA,100%,0%,0%,0%,70%,0%,<1%,14%,3%,4%,8%,<1%,33%,5%,4%,6%,23%,"Donna A. Session, M.D.",152,47,47,16,43.4,40.4,31.9,0.25,33.6,31.9,27.7,0.25,-15.1,-26.6,-25.5,=,36.7,39.5,34.2,0.4,38.9,40.5,38.2,0.4,26.7,27,29.4,0.4,8.6,19.1,19.1,0.375,2.2,2.8,3.4,3.1,25.8,0.263157895,0.133333333,0,1.5,0,0.066666667,0,31.4,0.333333333,0.230769231,0,116,32,27,1,42.2,31.3,25.9,0,2.7,2.9,2.9,3,1,38,0,36.8,3,2.7,Mayo Clinic Assisted Reproductive Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE & INFERTILITY ASSOCIATES,,WOODBURY,MINNESOTA,100%,0%,0%,0%,69%,0%,<1%,11%,5%,2%,11%,<1%,34%,4%,9%,3%,21%,"Jacques P. Stassart, M.D.",171,58,65,18,50.3,36.2,40,0,42.7,27.6,30.8,0,-14.8,-23,-22.5,=,44.5,30.2,32.3,0,45.9,32,32.8,0,24.5,24,18,0,4.1,8.6,4.6,0.222222222,2.6,2.8,3.2,3.3,44.2,28.6,38.5,=,3.5,0,3.8,=,46.6,0.25,45,=,58,18,22,4,13.8,0.277777778,4.5,0.25,2.6,2.7,2.9,2.5,37,7,45.9,0.142857143,2.6,2.7,Reproductive Medicine & Infertility Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MISSISSIPPI FERTILITY INSTITUTE AT WOMEN'S SPECIALTY CENTER,,JACKSON,MISSISSIPPI,100%,0%,0%,0%,61%,0%,0%,20%,4%,11%,18%,0%,9%,4%,10%,14%,10%,"John D. Isaacs, Jr., M.D.",55,13,7,5,32.7,0.384615385,0.285714286,0,25.5,0.384615385,0.285714286,0,-23.1,=,=,=,31.1,0.555555556,0.333333333,0,33.3,0.555555556,0.5,0,28.6,0.111111111,0.25,0,18.2,0.307692308,0.142857143,0.2,2.7,3.2,2.8,3.7,0.166666667,0.8,0.5,=,0,0,0,=,0.142857143,0.8,0.5,=,6,3,1,0,0.166666667,0.333333333,0,=,2,1.3,2,=,8,1,0.375,0,3,3,Mississippi Fertility Institute at Women's Specialty Center,Yes,Yes,No,No,Yes,Yes,Yes
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,,JACKSON,MISSISSIPPI,100%,0%,0%,0%,83%,0%,0%,22%,0%,5%,13%,0%,11%,0%,0%,24%,25%,"Randall S. Hines, M.D.",43,12,13,1,41.9,0.166666667,0.076923077,0,37.2,0.083333333,0.076923077,0,-28.9,=,=,=,40,0.111111111,0.1,0,41,0.111111111,0.1,0,28.2,0.111111111,0.1,0,7,0.25,0.230769231,0,2.9,2.9,3.4,3,0.277777778,0,0,=,0.055555556,0,0,=,0.3125,0,0,=,13,1,1,0,0.076923077,0,0,=,2.9,1,4,=,8,0,0.625,=,2.9,=,University of Mississippi Medical Center,Yes,No,No,No,Yes,Yes,Yes
ADVANCED REPRODUCTIVE SPECIALISTS,,CHESTERFIELD,MISSOURI,100%,0%,0%,0%,0%,0%,0%,28%,18%,0%,8%,0%,0%,0%,3%,43%,0%,"Jorge A. Pineda, M.D.",34,13,9,6,17.6,0.307692308,0,0,17.6,0.307692308,0,0,-25.7,=,=,=,17.6,0.363636364,0,0,24,0.444444444,0,0,12,0.111111111,0,0,0,0.153846154,0.333333333,0,3.8,4.4,4.4,5,0.333333333,0.25,=,=,0.166666667,0.5,=,=,0.5,0.75,=,=,2,1,0,0,0.5,1,=,=,4,5,=,=,0,0,=,=,=,=,Advanced Reproductive Specialists,Yes,No,No,No,Yes,Yes,Yes
INFERTILITY INSTITUTE,,CHESTERFIELD,MISSOURI,100%,0%,0%,0%,51%,0%,0%,3%,7%,4%,2%,0%,2%,<1%,<1%,42%,38%,"Anthony C. Pearlstone, M.D.",78,32,31,6,53.8,50,45.2,0.5,47.4,37.5,25.8,0.333333333,-22.1,-33.6,-30.8,=,48.7,42.9,26.7,0.333333333,50,42.9,29.6,0.4,28.4,25,14.8,0.4,2.6,12.5,3.2,0,3.2,3.3,4,3.8,38.1,0.125,0.285714286,0,9.5,0.3125,0,0,43.2,0.416666667,0.5,0,1,1,0,0,0,1,=,=,4,4,=,=,5,0,0.4,=,3.4,=,Infertility Institute,Yes,No,Yes,No,Yes,Yes,Yes
MID-MISSOURI CENTER FOR REPRODUCTIVE HEALTH,,COLUMBIA,MISSOURI,87%,11%,1%,1%,38%,0%,1%,14%,0%,0%,5%,0%,9%,2%,1%,12%,57%,"Larry L. Penney, M.D.",56,18,12,2,28.6,0.166666667,0.083333333,0,23.2,0.166666667,0,0,-22.1,=,=,=,25,0.2,0,0,25.5,0.214285714,0,0,15.7,0.071428571,0,0,7.1,0.166666667,0.583333333,0,3.4,3.7,4.4,3,0.25,0.333333333,0,=,0.125,0.333333333,0,=,0.384615385,0.666666667,=,=,2,1,2,0,0,0,0.5,=,4.5,5,2.5,=,0,0,=,=,=,=,Mid-Missouri Center for Reproductive Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF MISSOURI HOSPITAL AND CLINICS,IVF EMBRYOLOGY LABORATORY,COLUMBIA,MISSOURI,97%,0%,3%,0%,28%,0%,0%,23%,17%,6%,6%,0%,13%,0%,0%,10%,25%,"John W. Cassels, M.D.",21,9,2,0,14.3,0.333333333,0.5,=,14.3,0.222222222,0.5,=,-29.3,=,=,=,14.3,0.25,1,=,0.166666667,0.285714286,1,=,0,0.285714286,1,=,0,0.111111111,0.5,=,2.7,2.6,2,=,1,0,0,=,0,0,0,=,1,0,0,=,7,2,0,0,0,0,=,=,1.7,2,=,=,2,5,0,0,3.5,2.8,This clinic has undergone reorganization since 2001. Information on current clinic services and profile therefore is not provided here. Contact SART for current information about this clinic.,,,,,,,
MIDWEST WOMEN'S HEALTHCARE,,KANSAS CITY,MISSOURI,100%,0%,0%,0%,75%,0%,0%,13%,16%,0%,22%,0%,13%,2%,0%,13%,21%,"Gregory C. Starks, M.D.",34,30,18,1,29.4,33.3,0.444444444,0,23.5,33.3,0.388888889,0,-28.5,-33.7,=,=,29.6,45.5,0.538461538,0,30.8,47.6,0.538461538,0,23.1,33.3,0.538461538,0,20.6,26.7,0.277777778,0,2.1,2.3,2.2,3,0.2,0.3,0,=,0,0,0,=,0.25,0.3,0,=,4,3,0,0,0.25,0,=,=,1.5,1.7,=,=,6,0,0.5,=,2.2,=,Midwest Women's Healthcare,Yes,No,Yes,Yes,Yes,Yes,Pending
INFERTILITY & IVF CENTER,,ST. LOUIS,MISSOURI,100%,0%,0%,0%,44%,0%,<1%,9%,<1%,26%,2%,<1%,20%,4%,8%,6%,24%,"Ronald P. Wilbois, M.D.",68,23,12,1,50,39.1,0.5,0,41.2,26.1,0.5,0,-23.4,-35.9,=,=,49.1,0.352941176,0.6,0,50.9,0.375,0.6,0,23.6,0.0625,0.4,0,16.2,26.1,0.166666667,0,2.6,2.4,3.3,6,47.1,0.777777778,0.333333333,=,8.8,0.111111111,0,=,53.6,0.833333333,0.333333333,=,12,4,0,2,0.166666667,0.25,=,0,2.6,2.5,=,2,26,9,26.9,0.111111111,2.7,2.7,Infertility & IVF Center,Yes,Yes,No,Yes,Yes,Yes,Yes
THE INFERTILITY AND REPRODUCTIVE MEDICINE CENTER,AT WASHINGTON UNIVERSITY SCHOOL OF MEDICINE AND BARNES-JEWISH HOSPITAL,ST. LOUIS,MISSOURI,100%,0%,0%,0%,47%,0%,<1%,18%,9%,1%,12%,<1%,19%,7%,14%,12%,8%,"Randall R. Odem, M.D.",217,99,75,35,41.9,40.4,33.3,28.6,38.2,35.4,22.7,8.6,-12.9,-18.9,-18.9,-17.8,46.4,41.2,28.3,11.1,48,43.8,29.3,12,32.9,26.3,19,12,17.5,14.1,20,22.9,2.4,2.7,3,3.5,35.2,37.5,20,0.1,1.1,10,12,0,31.3,40,0.352941176,0,20,4,10,0,5,0,0.2,=,2.3,2.5,2.9,=,19,3,0.315789474,0,2.9,2.3,This clinic has undergone reorganization since 2001. Information on current clinic services and profile therefore is not provided here. Contact SART for current information about this clinic.,,,,,,,
INFERTILITY CENTER OF ST. LOUIS,,ST. LOUIS,MISSOURI,57%,9%,34%,0%,87%,0%,<1%,9%,<1%,12%,<1%,2%,55%,2%,19%,<1%,<1%,"Sherman J. Silber, M.D.",88,27,29,9,40.9,37,20.7,0.333333333,37.5,25.9,13.8,0.222222222,-20.2,-33.1,-25.1,=,37.5,28,14.3,0.222222222,40.7,35,16,0.222222222,18.5,20,16,0.222222222,0,7.4,3.4,0,3.2,3.3,3.4,4.3,47.2,0.3,0,0,8.3,0,0,0,54.5,0.428571429,0,0,13,4,3,1,0.230769231,0,0,1,2.9,2.8,2.7,4,15,5,0.333333333,0.2,3.7,3.6,Infertility Center of St. Louis,Yes,No,No,Yes,Yes,Yes,Yes
"HEARTLAND CENTER FOR REPRODUCTIVE MEDICINE, P.C.",,OMAHA,NEBRASKA,95%,0%,5%,0%,56%,0%,<1%,10%,6%,5%,5%,<1%,18%,<1%,3%,14%,38%,"Victoria M. Maclin, M.D.",134,46,33,7,29.1,39.1,30.3,0,24.6,32.6,18.2,0,-14.6,-27.1,-26.3,=,25.6,34.1,20.7,0,27.7,39.5,25,0,20.2,23.7,12.5,0,3.7,4.3,12.1,0,3.2,3.3,3,3.3,17.9,0.388888889,0.3,=,12.8,0.055555556,0,=,27.3,0.4,0.5,=,38,10,8,1,10.5,0,0.25,0,3.3,3.1,2.8,2,14,12,0.428571429,0.166666667,3.3,2.8,"Heartland Center For Reproductive Medicine, P.C.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
NEBRASKA METHODIST HOSPITAL REI,,OMAHA,NEBRASKA,68%,<1%,31%,<1%,53%,0%,0%,18%,5%,10%,16%,1%,21%,2%,<1%,12%,15%,"Carolyn M. Doherty, M.D.",213,74,61,8,38,21.6,21.3,0.125,32.9,13.5,18,0,-12.6,-15.6,-19.3,=,35.2,16.9,24.4,0,36.6,19.2,25,0,23,13.5,22.7,0,6.6,20.3,26.2,0.125,3.3,3.5,3.8,3.3,33.3,0.25,0.076923077,0,13.6,0.0625,0,0,37.1,0.3,0.090909091,=,36,14,2,0,19.4,0.071428571,0,=,2.5,2.5,4,=,66,12,34.8,0.166666667,3.4,3,Nebraska Methodist Hospital REI,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FERTILITY CENTER OF LAS VEGAS,,LAS VEGAS,NEVADA,100%,0%,0%,0%,7%,0%,0%,29%,<1%,3%,3%,0%,17%,20%,11%,9%,7%,"Bruce S. Shapiro, M.D.",116,44,33,15,31,20.5,27.3,0,23.3,20.5,15.2,0,-15.4,-23.9,-24.5,=,24.8,22,16.1,0,32.1,25,19.2,0,19,16.7,7.7,0,6,6.8,6.1,0.333333333,2.2,2.3,2.3,1.8,27.8,0.444444444,0.333333333,=,2.8,0,0,=,40.7,0.333333333,0.6,=,1,0,0,0,0,=,=,=,3,=,=,=,22,0,68.2,=,2.5,=,Fertility Center of Las Vegas,Yes,No,Yes,Yes,Yes,Yes,Yes
THE NEVADA CENTER FOR REPRODUCTIVE MEDICINE,,RENO,NEVADA,100%,0%,0%,0%,41%,0%,3%,15%,6%,28%,2%,4%,8%,3%,<1%,21%,12%,"Russell A. Foulk, M.D.",61,26,30,14,50.8,50,20,0.357142857,37.7,46.2,13.3,0.142857143,-24.4,-38.3,-24.3,=,39,50,16.7,0.153846154,41.1,54.5,19,0.153846154,19.6,45.5,19,0.153846154,3.3,7.7,20,0.071428571,3.1,3.9,3.7,4.8,41.9,0.153846154,0,0,6.5,0,0,0,52.2,0.166666667,0,0,32,15,3,1,37.5,0.333333333,0,0,3.4,3.9,2.3,5,73,23,71.2,39.1,3.2,3.7,The Nevada Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DARTMOUTH--HITCHCOCK MEDICAL CENTER,,LEBANON,NEW HAMPSHIRE,99%,1%,0%,0%,40%,0%,0%,30%,6%,4%,6%,<1%,18%,0%,9%,8%,18%,"Misty B. Porter, M.D.",42,20,24,6,35.7,20,12.5,0.333333333,21.4,15,12.5,0,-24.8,-30.6,-25.7,=,24.3,0.166666667,12.5,0,25,0.166666667,12.5,0,16.7,0.111111111,8.3,0,11.9,10,0,0,2.3,3,3.4,4,0.266666667,0.25,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0.333333333,=,23,8,9,1,30.4,0.375,0.111111111,0,2.5,2.3,3.7,4,2,1,0.5,0,2,2,Dartmouth--Hitchcock Medical Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE CENTER FOR REPRODUCTIVE ENDOCRINOLOGY,,BEDMINSTER,NEW JERSEY,100%,0%,0%,0%,72%,0%,0%,11%,4%,15%,6%,0%,14%,6%,8%,15%,21%,"Alexander M. Dlugi, M.D.",94,65,52,24,50,35.4,38.5,16.7,44.7,27.7,25,4.2,-20.1,-21.8,-23.6,-12.2,53.2,32.7,30.2,5,59.2,38.3,34.2,0.066666667,29.6,25.5,28.9,0,16,15.4,17.3,16.7,3.5,3.5,3.4,3.5,23.4,26.1,5,0,23.4,8.7,5,0.25,50,0.333333333,0.153846154,1,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,The Center for Reproductive Endocrinology,No,No,Yes,No,Yes,Yes,Pending
SHORE IVF AND REPRODUCTIVE MEDICINE,,BRICK,NEW JERSEY,100%,0%,0%,0%,37%,0%,0%,24%,5%,9%,1%,0%,17%,1%,17%,11%,15%,"Allen Morgan, M.D.",27,18,14,7,37,0.222222222,0.428571429,0.142857143,33.3,0.222222222,0.428571429,0,-35.5,=,=,=,36,0.25,0.5,0,36,0.25,0.5,0,8,0.125,0.416666667,0,7.4,0.111111111,0.142857143,0.285714286,2.8,3.6,3.8,3,0.5,0.25,0.5,0,0.2,0.25,0,0,0.777777778,0.5,0.166666667,=,7,2,2,1,0.428571429,0,0,0,2.9,2.5,3.5,3,0,2,=,0,=,3.5,Shore IVF and Reproductive Medicine,Yes,No,Yes,No,Yes,Yes,Yes
"REPRODUCTIVE GYNECOLOGISTS, P.C.",,CHERRY HILL,NEW JERSEY,100%,0%,0%,0%,49%,0%,0%,39%,4%,5%,4%,0%,5%,0%,4%,26%,13%,"David N. Goldberg, D.O.",19,10,11,3,0.105263158,0,0.090909091,0.666666667,0.105263158,0,0.090909091,0.333333333,=,=,=,=,0.111111111,0,0.111111111,0.5,0.111111111,0,0.111111111,0.5,0.055555556,0,0.111111111,0.5,0.052631579,0.3,0.181818182,0.333333333,2.9,2.8,2.6,4.5,0.5,=,0,0.5,0,=,0,0,0.5,=,0,0,3,4,0,0,0.333333333,0,=,=,2.7,3.5,=,=,2,1,0.5,0,3,2,"Reproductive Gynecologists, P.C.",Yes,No,Yes,Yes,Yes,Yes,Yes
"IVF OF NORTH JERSEY, P.A.",,CLIFTON,NEW JERSEY,>99%,<1%,0%,0%,58%,0%,0%,15%,<1%,31%,7%,5%,7%,14%,4%,9%,7%,"Mark X. Ransom, M.D.",56,29,32,18,50,41.4,9.4,0,44.6,37.9,6.3,0,-26.1,-35.3,-14.6,=,49,44,7.7,0,53.2,47.8,8.7,0,36.2,43.5,4.3,0,8.9,13.8,18.8,0.222222222,3.2,2.8,3.2,3.1,28.6,0.166666667,0.333333333,=,7.1,0,0,=,32,0.090909091,0.5,=,1,0,2,0,0,=,0,=,3,=,4,=,17,3,0.235294118,0.333333333,3.1,2.7,"IVF of North Jersey, P.A.",Yes,No,Yes,No,Yes,Yes,Yes
CENTER FOR ADVANCED REPRODUCTIVE MEDICINE AND FERTILITY,,EDISON,NEW JERSEY,100%,0%,0%,0%,63%,0%,0%,9%,6%,22%,4%,0%,25%,0%,4%,8%,22%,"Gregory H. Corsan, M.D.",67,20,13,5,49.3,40,0.461538462,0,38.8,35,0.384615385,0,-23.4,-41.8,=,=,41.3,0.368421053,0.416666667,0,41.9,0.368421053,0.555555556,0,17.7,0.210526316,0.444444444,0,6,5,0.076923077,0.4,2.7,3.5,3.1,3,36.4,0.5,0.166666667,=,18.2,0,0,=,57.7,0.428571429,0.2,=,7,5,0,0,0.285714286,0.2,=,=,4,3.8,=,=,10,5,0.4,0,2.6,3.2,Center for Advanced Reproductive Medicine and Fertility,Yes,Yes,Yes,No,Yes,Yes,Yes
