PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code,
UNIVERSITY WOMEN'S CARE/WAYNE STATE UNIVERSITY,,SOUTHFIELD,MICHIGAN,100%,0%,0%,0%,87%,0%,0%,3%,3%,12%,7%,0%,17%,4%,8%,13%,34%,"Elizabeth E. Puscheck, MD",36,14,6,4,33.3,0.357142857,0,0,25,0.285714286,0,0,(12.1Ð42.2),,,,26.5,0.307692308,0,0,29,0.307692308,0,0,19.4,0.230769231,0,0,5.6,0.071428571,0.166666667,0.25,2.6,3.2,3.8,3.3,0.333333333,0.2,=,=,0,0,=,=,0.333333333,0.25,=,=,15,6,4,1,0.466666667,0.333333333,0.5,0,3.2,3.5,4.5,1,9,3,0.555555556,0.666666667,2.2,4,University Women's Care/Wayne State University,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MI,
HENRY FORD REPRODUCTIVE MEDICINE,,TROY,MICHIGAN,100%,0%,0%,0%,34%,0%,0%,14%,<1%,3%,9%,0%,19%,8%,10%,9%,26%,"Ronald C. Strickler, MD",37,18,17,4,18.9,0.5,0.176470588,0.25,18.9,0.5,0.176470588,0.25,(8.0Ð35.2),,,,21.9,0.75,0.25,0.5,23.3,0.75,0.272727273,0.5,23.3,0.416666667,0.272727273,0.5,13.5,0.333333333,0.294117647,0.5,2.1,2.3,2.5,3,0,0.444444444,0,0,0,0.111111111,0,0,0,0.444444444,0,0,12,2,6,0,0.75,0.5,0.333333333,=,2,2,2.5,=,5,0,0.4,=,2,=,Henry Ford Reproductive Medicine,Yes,No,Yes,No,Yes,Yes,Yes,MI,
"BRENDA L. MOSKOVITZ, MD, PC",,TROY,MICHIGAN,100%,0%,0%,0%,62%,0%,0%,14%,5%,18%,5%,0%,14%,0%,32%,5%,9%,"Brenda L. Moskovitz, MD",6,8,4,1,0.666666667,0.375,0.5,0,0.666666667,0.25,0.5,0,,,,,0.666666667,0.333333333,0.5,=,0.8,0.4,0.5,=,0.4,0.4,0.5,=,0,0.25,0,1,2,2.8,3,=,0.5,0.333333333,0,=,0,0,0,=,0.5,0,0,=,0,0,1,0,=,=,0,=,=,=,1,=,0,0,=,=,=,=,"Brenda L. Moskovitz, MD, PC",Yes,No,Yes,No,Yes,Yes,Pending,MI,
"MICHIGAN CENTER FOR FERTILITY AND WOMEN'S HEALTH, PLC",,WARREN,MICHIGAN,100%,0%,0%,0%,79%,0%,0%,8%,23%,19%,0%,0%,14%,4%,5%,8%,19%,"Carole L. Kowalczyk, MD",36,13,9,6,38.9,0.384615385,0.222222222,0.333333333,36.1,0.307692308,0.111111111,0.333333333,(20.8Ð53.8),,,,41.9,0.444444444,0.111111111,0.4,44.8,0.444444444,0.125,0.4,24.1,0.444444444,0.125,0.4,13.9,0.307692308,0,0.166666667,2.4,2.8,2.3,2.4,0.571428571,0,0,0,0,0.2,0,0,0.461538462,0,0,0,4,1,0,0,0.5,1,=,=,2.8,3,=,=,5,2,0.8,0.5,2.2,2.5,"Michigan Center for Fertility and Women's Health, PLC",Yes,Yes,Yes,No,Yes,Yes,Pending,MI,
"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, PA",,MAPLE GROVE,MINNESOTA,100%,0%,0%,0%,30%,1%,<1%,18%,12%,4%,7%,2%,15%,5%,14%,11%,12%,"Randle S. Corfman, MD, PhD",109,18,12,3,52.3,0.611111111,0.416666667,0.333333333,48.6,0.555555556,0.416666667,0.333333333,(38.9Ð58.4),,,,51.5,0.588235294,0.454545455,0.333333333,52.5,0.588235294,0.5,0.333333333,28.7,0.352941176,0.3,0.333333333,5.5,0.055555556,0.083333333,0,2.1,2.1,2.6,3,43.9,0.272727273,0.4,1,5.3,0.090909091,0,0,45.3,0.4,0.4,0,45,17,11,1,28.9,0.176470588,0.272727273,0,2.1,1.9,2.5,3,27,16,51.9,0.3125,2,2.3,"The Midwest Center for Reproductive Health, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,MN,
CENTER FOR REPRODUCTIVE MEDICINE,ADVANCED REPRODUCTIVE TECHNOLOGIES,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,59%,0%,<1%,11%,5%,21%,5%,<1%,22%,1%,14%,7%,13%,"Bruce F. Campbell, MD",310,141,118,48,56.8,54.6,37.3,22.9,53.2,43.3,28.8,14.6,(47.5Ð58.9),(35.0Ð51.9),(20.8Ð37.9),(6.1Ð27.8),58.1,48,34,17.1,59.4,49.2,35.4,17.9,31.3,35.5,31.3,17.9,8.4,9.9,15.3,14.6,2,1.9,2.2,2.9,44.9,27.3,18.2,0,1.7,0,0,0,47.3,27.9,11.8,0,52,22,22,2,40.4,36.4,22.7,0.5,2.4,2,2.7,3,68,29,61.8,24.1,1.9,2.4,"Center for Reproductive Medicine, Advanced Reproductive Technologies",Yes,Yes,Yes,Yes,Yes,Yes,Yes,MN,
REPRODUCTIVE MEDICINE CENTER,,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,80%,0%,0%,6%,9%,3%,7%,2%,30%,2%,8%,13%,20%,"Mark A. Damario, MD",144,72,37,11,50.7,40.3,29.7,0.090909091,45.1,34.7,21.6,0,(36.8Ð53.6),(23.9Ð46.9),(9.8Ð38.2),,50,38.5,25.8,0,52.8,39.7,26.7,0,32.5,30.2,20,0,9.7,9.7,16.2,0.181818182,2.3,2.4,2.4,2.8,39.7,17.2,0.363636364,0,1.4,3.4,0,0,38.5,24,0.25,=,27,21,9,1,29.6,23.8,0.222222222,0,2.1,2.1,2.6,3,4,5,0.75,0.4,2,1.8,Reproductive Medicine Center,Yes,No,Yes,Yes,Yes,Yes,Yes,MN,
MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,,ROCHESTER,MINNESOTA,,,,,,,,16%,6%,14%,8%,0%,25%,<1%,7%,4%,19%,"Charles C. Coddington, MD",0,0,0,0,=,=,=,=,=,=,=,=,,,,,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,=,44,28,5,2,43.2,46.4,0.4,0,2.2,2.1,2,2,0,23,=,8.7,=,2.3,This clinic has closed or reorganized since 2005.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,MN,
REPRODUCTIVE MEDICINE & INFERTILITY ASSOCIATES,,WOODBURY,MINNESOTA,100%,0%,0%,0%,86%,0%,2%,6%,3%,<1%,6%,<1%,33%,5%,7%,2%,38%,"Jacques P. Stassart, MD",275,108,60,13,53.1,38.9,36.7,0.230769231,47.3,33.3,28.3,0.230769231,(41.2Ð53.4),(24.6Ð43.1),(17.5Ð41.4),,48.7,35,31.5,0.25,49.6,36,31.5,0.25,33.2,30,14.8,0.25,2.9,4.6,10,0.076923077,2.1,2.3,2.9,2.6,37,14.3,40.9,0.333333333,0,4.8,13.6,0,33.1,16.7,0.529411765,0,62,28,8,0,32.3,35.7,0.25,=,1.9,2,1.5,=,43,8,53.5,0.5,2.1,1.9,Reproductive Medicine & Infertility Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MN,
MISSISSIPPI FERTILITY INSTITUTE,,JACKSON,MISSISSIPPI,100%,0%,0%,0%,77%,0%,0%,24%,3%,9%,15%,4%,15%,<1%,13%,9%,8%,"John Isaacs, Jr., MD",67,24,16,4,38.8,16.7,0.25,0.25,37.3,12.5,0.125,0.25,(25.8Ð50.0),(2.7Ð32.4),,,40.3,15,0.181818182,0.5,41,0.157894737,0.2,0.5,32.8,0.052631579,0.2,0.5,7.5,16.7,0.3125,0.5,2.5,2.9,3.1,3,26.9,0.5,0,0,0,0,0,0,20,0.666666667,0,0,6,5,2,0,0,0.4,0.5,=,1.8,1.8,3,=,8,5,0.625,0.6,2.6,1.6,Mississippi Fertility Institute,Yes,Yes,No,Yes,Yes,No,Yes,MS,
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,,JACKSON,MISSISSIPPI,100%,0%,0%,0%,87%,0%,0%,20%,13%,6%,16%,<1%,8%,<1%,2%,22%,12%,"Randall S. Hines, MD",55,22,10,0,38.2,27.3,0.2,=,32.7,22.7,0.2,=,(20.7Ð46.7),(7.8Ð45.4),,,34,0.3125,0.222222222,=,34,0.333333333,0.25,=,22.6,0.066666667,0.125,=,3.6,27.3,0.1,=,2.8,2.7,3,=,28.6,0.5,0.5,=,4.8,0.166666667,0,=,0.333333333,0.8,0.5,=,13,2,1,0,0.307692308,0,0,=,2.1,2.5,3,=,22,4,36.4,0.5,2.8,3,University of Mississippi Medical Center,Yes,Yes,No,Yes,Yes,Yes,Yes,MS,
INFERTILITY INSTITUTE,,CHESTERFIELD,MISSOURI,100%,0%,0%,0%,82%,0%,0%,3%,8%,2%,1%,0%,4%,0%,0%,32%,49%,"Anthony C. Pearlstone, MD",57,38,20,3,56.1,44.7,30,0.666666667,50.9,39.5,20,0.666666667,(37.3Ð64.4),(24.0Ð56.6),(5.7Ð43.7),,55.8,41.7,0.210526316,0.666666667,58,44.1,0.222222222,0.666666667,44,35.3,0.222222222,0.666666667,8.8,5.3,5,0,2.3,2.7,3.5,4.3,25,0.176470588,0.166666667,0,0,0.117647059,0,0,24.1,0.2,0,0,1,1,0,0,0,0,=,=,3,3,=,=,10,2,0.8,1,2.2,1.5,Infertility Institute,Yes,No,Yes,No,Yes,Yes,Yes,MO,
"MID-MISSOURI REPRODUCTIVE MEDICINE AND SURGERY, INC.",,COLUMBIA,MISSOURI,100%,0%,0%,0%,39%,0%,0%,10%,16%,9%,10%,1%,16%,6%,3%,18%,12%,"Larry L. Penney, MD",38,28,13,0,18.4,7.1,0.230769231,=,15.8,7.1,0.153846154,=,(6.0Ð31.3),(0.9Ð23.5),,,18.2,0.111111111,0.285714286,=,20,0.133333333,0.285714286,=,13.3,0.133333333,0.142857143,=,13.2,35.7,0.461538462,=,2.9,2.7,3,=,0.285714286,0,0.333333333,=,0.142857143,0,0,=,0.333333333,0,0.5,=,8,0,1,0,0,=,0,=,2.9,=,4,=,0,1,=,0,=,1,"Mid-Missouri Reproductive Medicine and Surgery, Inc.",No,Yes,Yes,No,Yes,Yes,Yes,MO,
UNIVERSITY OF MISSOURI HOSPITAL AND CLINIC,IVF EMBRYOLOGY LABORATORY,COLUMBIA,MISSOURI,100%,0%,0%,0%,43%,0%,0%,21%,0%,0%,0%,0%,29%,0%,43%,7%,0%,"Danny J. Schust, MD",4,7,2,1,0.25,0,0,0,0.25,0,0,0,,,,,0.25,0,0,0,1,0,0,=,0,0,0,=,0,0.142857143,0,0,3,3,2,=,1,=,=,=,0,=,=,=,1,=,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,This clinic has closed or reorganized since 2005.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,MO,
MIDWEST WOMEN'S HEALTHCARE,,KANSAS CITY,MISSOURI,100%,0%,0%,0%,79%,1%,0%,7%,4%,4%,9%,0%,8%,2%,1%,34%,30%,"Gregory C. Starks, MD",39,11,10,8,46.2,0.454545455,0.2,0.375,33.3,0.363636364,0.2,0.125,(19.1Ð50.2),,,,40.6,0.4,0.333333333,0.166666667,41.9,0.4,0.4,0.25,25.8,0.4,0.4,0,17.9,0.090909091,0.4,0.25,1.9,2.1,2,2,0.222222222,0,0,0,0.055555556,0,0,0.333333333,0.384615385,0,0,1,7,4,2,0,0.428571429,0.25,0.5,=,2.1,2,1,=,11,1,0.545454545,0,2,2,Midwest Women's Healthcare,Yes,No,Yes,Yes,Yes,Yes,Yes,MO,
INFERTILITY & IVF CENTER,,ST. LOUIS,MISSOURI,100%,0%,0%,0%,57%,0%,<1%,8%,3%,29%,2%,<1%,13%,4%,0%,10%,34%,"Ronald P. Wilbois, MD",82,21,14,6,48.8,33.3,0.285714286,0.166666667,46.3,19,0.142857143,0.166666667,(35.3Ð57.7),(5.4Ð41.9),,,55.1,0.210526316,0.2,0.2,60.3,0.235294118,0.2,0.2,34.9,0.235294118,0.2,0.2,15.9,9.5,0.285714286,0.166666667,2.2,2.3,1.9,1.8,45,0,0,0,0,0,0,0,42.1,0,0,0,22,10,3,0,36.4,0.3,0.333333333,=,2.4,2.1,2.3,=,19,20,0.526315789,25,2.2,2.6,Infertility & IVF Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MO,
THE INFERTILITY AND REPRODUCTIVE MEDICINE CENTER,AT WASHINGTON UNIVERSITY SCHOOL OF MEDICINE AND BARNESÐJEWISH HOSPITAL,ST. LOUIS,MISSOURI,100%,0%,0%,0%,51%,0%,<1%,17%,7%,5%,4%,<1%,20%,5%,17%,10%,16%,"Randall R. Odem, MD",220,100,40,23,50,34,37.5,17.4,43.6,30,27.5,13,(37.0Ð50.5),(21.2Ð40.0),(14.6Ð43.9),(2.8Ð33.6),47.1,35.7,31.4,15,49.5,36.6,33.3,15,38.7,25.6,21.2,15,7.3,16,12.5,13,2.1,2.5,2.7,2.9,22.7,26.5,0.333333333,0,0.9,8.8,0,0.25,21.9,30,0.363636364,0,21,11,7,3,28.6,0,0,0.333333333,2.1,2.2,2.7,2,19,3,0.526315789,0.333333333,2,1.7,The Infertility and Reproductive Medicine Center at Washington University School of Medicine and BarnesÐJewish Hospital,Yes,No,Yes,Yes,Yes,Yes,Yes,MO,
INFERTILITY CENTER OF ST. LOUIS,ST. LUKE'S HOSPITAL,ST. LOUIS,MISSOURI,97%,0%,3%,0%,88%,0%,2%,2%,3%,26%,1%,2%,39%,9%,12%,<1%,7%,"Sherman J. Silber, MD",113,47,46,13,32.7,17,23.9,0.153846154,25.7,14.9,8.7,0.076923077,(17.9Ð34.7),(6.2Ð28.3),(2.4Ð20.8),,27.1,16.7,9.3,0.083333333,30.5,21.2,11.4,0.090909091,20,9.1,5.7,0.090909091,5.3,10.6,6.5,0.076923077,3.1,3.2,3.3,2.7,27,0.375,0.272727273,0,5.4,0.125,0,0.5,34.5,0.571428571,0.5,0,10,3,2,0,0.5,0.333333333,0,=,2.8,2,1.5,=,15,3,0.533333333,0,2.9,2.7,"Infertility Center of St. Louis, St. Luke's Hospital",Yes,No,Yes,Yes,Yes,Yes,Yes,MO,
SHER INSTITUTE FOR REPRODUCTIVE MEDICINEÐST. LOUIS,,ST. LOUIS,MISSOURI,100%,0%,0%,0%,96%,3%,2%,8%,10%,14%,2%,<1%,15%,10%,9%,18%,12%,"Peter M. Ahlering, MD",135,53,39,11,61.5,58.5,53.8,0.545454545,48.1,49.1,46.2,0.272727273,(39.5Ð56.9),(35.1Ð63.2),(30.1Ð62.8),,48.5,49.1,47.4,0.333333333,50.4,50,54.5,0.333333333,34.1,40.4,51.5,0.333333333,0.7,0,2.6,0.181818182,2.6,2.8,2.4,2.8,18.1,16.1,4.8,0.166666667,8.4,0,0,0,32.3,19.2,0.055555556,0,23,12,6,2,43.5,0.666666667,0.333333333,0.5,2.1,2.2,2.2,2.5,15,11,0.733333333,0.727272727,2.5,2.4,Sher Institute for Reproductive MedicineÐSt. Louis,Yes,Yes,Yes,Yes,Yes,No,Yes,MO,
"HEARTLAND CENTER FOR REPRODUCTIVE MEDICINE, PC",,OMAHA,NEBRASKA,100%,0%,0%,0%,64%,0%,<1%,9%,4%,5%,5%,0%,24%,2%,2%,10%,40%,"Victoria M. Maclin, MD",136,37,17,8,22.8,18.9,0.117647059,0,19.9,18.9,0.058823529,0,(13.5Ð27.6),(8.0Ð35.2),,,22.3,22.6,0.066666667,0,25,25,0.076923077,0,16.7,25,0.076923077,0,11,16.2,0.117647059,0.25,2.7,2.8,2.5,2.5,19.4,0,0,=,12.9,0,0,=,33.3,0,0,=,40,10,3,2,15,0.1,0,0,2.5,2.4,2.3,2.5,8,13,0.375,0.384615385,2.9,2.2,"Heartland Center for Reproductive Medicine, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,NE,
NEBRASKA METHODIST HOSPITAL REI,,OMAHA,NEBRASKA,99%,0%,1%,0%,76%,0%,<1%,15%,8%,8%,10%,3%,23%,4%,8%,11%,11%,"Carolyn M. Doherty, MD",182,57,44,6,52.2,43.9,34.1,0.166666667,46.7,31.6,27.3,0.166666667,(39.3Ð54.2),(19.9Ð45.2),(15.0Ð42.8),,51.8,35.3,34.3,0.25,51.8,37.5,36.4,0.25,33.5,27.1,27.3,0.25,9.9,10.5,20.5,0.333333333,2.6,3,3.2,3.5,30.5,28,0.133333333,0,8.4,0,0.133333333,0,35.3,0.277777778,0.25,0,39,13,4,0,43.6,0.153846154,0,=,2.5,2.1,2.5,=,38,10,39.5,0.3,2.4,2.4,Nebraska Methodist Hospital REI,Yes,No,Yes,Yes,Yes,Yes,Yes,NE,
FERTILITY CENTER OF LAS VEGAS,,LAS VEGAS,NEVADA,100%,0%,0%,0%,95%,0%,<1%,15%,2%,14%,2%,<1%,21%,11%,9%,8%,17%,"Bruce S. Shapiro, MD",223,78,47,35,38.6,24.4,19.1,17.1,32.7,21.8,12.8,5.7,(26.6Ð39.3),(13.2Ð32.6),(4.8Ð25.7),(0.7Ð19.2),34,21.8,14.3,6.3,37.8,26.2,19.4,8.7,24.9,21.5,19.4,4.3,3.6,0,10.6,8.6,2,1.9,2.1,1.9,36,0.210526316,0.111111111,0.166666667,0,0,0,0,34.2,0.176470588,0,0.5,67,19,13,5,50.7,0.473684211,0.384615385,0.2,2.1,2.1,1.9,2.4,33,15,78.8,0.266666667,2.1,2.3,Fertility Center of Las Vegas,Yes,No,Yes,Yes,Yes,Yes,Yes,NV,
NEVADA FERTILITY C.A.R.E.S.,,LAS VEGAS,NEVADA,100%,0%,0%,0%,14%,0%,<1%,13%,10%,25%,3%,<1%,4%,15%,21%,3%,6%,"Rachel A. McConnell, MD",69,36,27,15,43.5,30.6,18.5,0,39.1,19.4,18.5,0,(27.6Ð51.6),(8.2Ð36.0),(6.3Ð38.1),,39.7,21.9,20.8,0,42.9,24.1,25,0,31.7,10.3,25,0,1.4,11.1,11.1,0.2,3.1,2.6,2.6,2.3,26.7,0.181818182,0,=,3.3,0.181818182,0,=,25.9,0.571428571,0,=,2,1,0,1,0,0,=,0,3,2,=,2,11,2,0.272727273,0,3.1,3.5,Nevada Fertility C.A.R.E.S.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NV,
SHER INSTITUTE FOR REPRODUCTIVE MEDICINEÐLAS VEGAS,,LAS VEGAS,NEVADA,100%,0%,0%,0%,98%,0%,3%,13%,8%,22%,7%,2%,17%,5%,13%,6%,7%,"Jeffrey D. Fisch, MD",101,45,62,10,40.6,57.8,27.4,0.4,39.6,44.4,24.2,0.2,(30.0Ð49.8),(29.6Ð60.0),(14.2Ð36.7),,39.6,44.4,25,0.222222222,42.6,45.5,26.3,0.25,33,29.5,19.3,0.25,0,0,3.2,0.1,2.4,2.5,2.8,2.9,22,42.3,0.235294118,0,4.9,0,0.058823529,0,22.5,35,0.266666667,0,28,6,5,5,28.6,0.166666667,0.2,0.2,2.8,3,2,3,22,2,54.5,0.5,2.4,3.5,Sher Institute for Reproductive MedicineÐLas Vegas,Yes,No,Yes,Yes,Yes,No,Yes,NV,
THE NEVADA CENTER FOR REPRODUCTIVE MEDICINE,,RENO,NEVADA,100%,0%,0%,0%,59%,0%,4%,6%,3%,13%,2%,2%,4%,2%,2%,38%,29%,"Russell A. Foulk, MD",53,35,31,14,54.7,62.9,29,0.214285714,49.1,45.7,16.1,0.142857143,(35.1Ð63.2),(28.8Ð63.4),(5.5Ð33.7),,49.1,47.1,16.7,0.142857143,51,50,16.7,0.181818182,25.5,34.4,10,0.181818182,0,2.9,3.2,0,2.7,3.1,2.9,2.8,51.7,27.3,0.222222222,0,3.4,4.5,0,0,50,0.3125,0.4,0,38,15,16,1,44.7,0.333333333,0.3125,0,2.9,3.1,3,4,62,63,53.2,44.4,2.9,3,The Nevada Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NV,
DARTMOUTHÐHITCHCOCK MEDICAL CENTER,,LEBANON,NEW HAMPSHIRE,100%,0%,0%,0%,42%,0%,0%,14%,8%,8%,7%,<1%,29%,4%,19%,8%,3%,"Misty B. Porter, MD",54,23,24,7,35.2,30.4,20.8,0.142857143,31.5,26.1,12.5,0.142857143,(19.5Ð45.6),(10.2Ð48.4),(2.7Ð32.4),,34.7,30,13.6,0.166666667,36.2,0.315789474,15,0.166666667,31.9,0.210526316,15,0,9.3,13,8.3,0.142857143,2,2.5,3,3.2,0.210526316,0.142857143,0,1,0,0.142857143,0,0,0.117647059,0.333333333,0,1,17,11,4,3,0.294117647,0,0,0,1.9,2,1.5,3,12,6,0.25,0.333333333,2.1,1.8,DartmouthÐHitchcock Medical Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NH,
SHER INSTITUTE FOR REPRODUCTIVE MEDICINEÐNEW JERSEY,,BEDMINSTER,NEW JERSEY,100%,0%,0%,0%,88%,0%,10%,12%,6%,21%,4%,0%,14%,3%,15%,13%,13%,"Alexander M. Dlugi, MD",114,57,86,36,35.1,31.6,22.1,5.6,29.8,24.6,17.4,5.6,(21.6Ð39.1),(14.1Ð37.8),(10.1Ð27.1),(0.7Ð18.7),31.5,27.5,18.8,6.9,37.8,37.8,25.4,0.105263158,23.3,29.7,13.6,0.052631579,5.3,10.5,7,19.4,2.4,2.7,2.6,2.6,25,0.111111111,0.263157895,0.5,7.5,0.055555556,0.105263158,0,38.2,0.214285714,0.466666667,0.5,6,2,1,0,0.666666667,0.5,0,=,2.2,2.5,2,=,8,2,0.5,0.5,2.9,2.5,Sher Institute for Reproductive MedicineÐNew Jersey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ,
NORTH JERSEY CENTER FOR REPRODUCTION,,CLIFTON,NEW JERSEY,100%,0%,0%,0%,53%,0%,0%,19%,2%,2%,2%,5%,9%,30%,30%,0%,0%,"Alfredo J. Garcia, MD",25,7,5,2,52,0.428571429,0.4,0.5,24,0.285714286,0,0.5,(9.4Ð45.1),,,,26.1,0.333333333,0,0.5,26.1,0.4,0,0.5,8.7,0,0,0.5,8,0.142857143,0.2,0,2.5,2,3,4,0.307692308,0.666666667,0.5,0,0,0,0,0,0.666666667,1,=,0,2,0,0,0,0.5,=,=,=,1.5,=,=,=,1,0,0,=,3,=,North Jersey Center for Reproduction,Yes,No,Yes,No,Yes,No,No,NJ,
CENTER FOR ADVANCED REPRODUCTIVE MEDICINE & FERTILITY,,EDISON,NEW JERSEY,100%,0%,0%,0%,72%,0%,0%,6%,12%,16%,3%,2%,27%,<1%,6%,4%,25%,"Gregory H. Corsan, MD",128,41,16,10,28.1,17.1,0.125,0.1,25,12.2,0.125,0,(17.8Ð33.4),(4.1Ð26.2),,,27.4,13.9,0.142857143,0,37.6,17.9,0.166666667,0,20,10.7,0.083333333,0,8.6,12.2,0.125,0.5,2.3,2.6,3.3,3.2,38.9,0.285714286,0,0,5.6,0,0.5,0,46.9,0.4,0.5,=,26,10,2,1,53.8,0.4,0.5,0,2.6,2.6,2.5,4,11,9,0.363636364,0.555555556,2.1,2.7,Center for Advanced Reproductive Medicine & Fertility,Yes,No,Yes,No,Yes,Yes,Yes,NJ,
WOMEN'S FERTILITY CENTER,,ENGLEWOOD,NEW JERSEY,100%,0%,0%,0%,95%,0%,0%,9%,7%,37%,2%,0%,21%,0%,7%,9%,7%,"Philip R. Lesorgen, MD",19,7,4,7,0.368421053,0.428571429,0.25,0.142857143,0.368421053,0.428571429,0,0.142857143,,,,,0.368421053,0.428571429,0,0.142857143,0.411764706,0.428571429,0,0.166666667,0.352941176,0.285714286,0,0.166666667,0,0,0,0,2.4,2.6,2.5,2.2,0.285714286,0,0,0,0,0.666666667,0,0,0.142857143,0.333333333,=,0,0,2,2,0,=,0.5,0.5,=,=,2.5,2,=,0,0,=,=,=,=,Women's Fertility Center,No,No,Yes,No,Yes,No,Yes,NJ,
NORTH HUDSON I.V.F.,CENTER FOR FERTILITY AND GYNECOLOGY,ENGLEWOOD CLIFFS,NEW JERSEY,100%,0%,0%,0%,55%,0%,7%,0%,12%,46%,2%,0%,4%,4%,10%,4%,18%,"Jane E. Miller, MD",17,6,2,1,0.352941176,0.333333333,0.5,0,0.294117647,0.333333333,0.5,0,,,,,0.357142857,0.4,0.5,=,0.384615385,0.666666667,1,=,0.307692308,0.333333333,1,=,0.176470588,0.166666667,0,1,2.2,2,3,=,0.333333333,0.5,0,=,0,0,0,=,0.2,0.5,0,=,1,1,0,0,1,0,=,=,3,3,=,=,16,7,0.625,0.285714286,2.1,2.9,"North Hudson I.V.F., Center for Fertility and Gynecology",Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ,
"UNIVERSITY REPRODUCTIVE ASSOCIATES, PC",,HASBROUCK HEIGHTS,NEW JERSEY,100%,0%,0%,0%,85%,0%,0%,4%,3%,4%,<1%,<1%,29%,0%,4%,4%,51%,"Peter G. McGovern, MD",105,48,51,17,31.4,47.9,35.3,0.235294118,27.6,33.3,27.5,0.117647059,(19.3Ð37.2),(20.4Ð48.4),(15.9Ð41.7),,28.4,35.6,32.6,0.125,29.3,35.6,32.6,0.125,23.2,31.1,27.9,0.125,2.9,6.3,15.7,0.058823529,2.1,2.1,2.6,2.9,24.2,4.3,0.166666667,0.25,0,4.3,0,0,20.7,0.125,0.142857143,0,26,7,12,4,3.8,0,0.25,0.25,2.5,2.4,2.4,2.3,7,2,0.428571429,0,2.1,3.5,"University Reproductive Associates, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ,
