PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSingLvBirthRate1,FshNDSingLvBirthRate2,FshNDSingLvBirthRate3,FshNDSingLvBirthRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
"BRENDA L. MOSKOVITZ, MD, PC",,TROY,MICHIGAN,100%,0%,0%,0%,100%,0%,0%,15%,12%,8%,0%,0%,19%,0%,8%,15%,23%,"William R. Keye, MD",9,10,2,3,0.777777778,0.4,0.5,0,0.666666667,0.3,0.5,0,,,,,0.666666667,0.3,0.5,0,0.666666667,0.3,0.5,0,0.444444444,0.1,0.5,0,0,0,0,0,2.9,3,3.5,2.7,0.285714286,0.5,0,=,0,0,0,=,0.333333333,0.666666667,0,=,0,1,0,0,=,1,=,=,=,2,=,=,0,0,=,=,=,=,"Brenda L. Moskovitz, MD, PC",Yes,No,Yes,No,Yes,Yes,Yes
"MICHIGAN CENTER FOR FERTILITY AND WOMEN'S HEALTH, PLC",,WARREN,MICHIGAN,100%,0%,0%,0%,78%,0%,0%,7%,8%,15%,7%,0%,18%,0%,14%,5%,26%,"Carole L. Kowalczyk, MD",44,9,12,3,31.8,0.555555556,0.166666667,0.333333333,29.5,0.555555556,0.083333333,0.333333333,(16.8-45.2),,,,31.7,0.555555556,0.090909091,0.333333333,34.2,0.555555556,0.1,0.333333333,18.4,0.444444444,0.1,0.333333333,6.8,0,0.083333333,0,2.9,2.6,3.4,3.3,0.642857143,0.2,0,0,0,0,0,0,0.461538462,0.2,0,0,7,0,2,0,0.142857143,=,0,=,2.7,=,3,=,5,1,0.8,0,3.2,4,"Michigan Center for Fertility and Women's Health, PLC",Yes,No,Yes,No,Yes,Yes,Pending
"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, PA",,MAPLE GROVE,MINNESOTA,100%,0%,0%,0%,38%,0%,<1%,15%,11%,3%,6%,1%,14%,6%,13%,14%,17%,"Randle S. Corfman, MD, PhD",98,34,28,4,41.8,47.1,25,0.5,36.7,41.2,21.4,0,(27.2-47.1),(24.6-59.3),(8.3-41.0),,38.7,45.2,24,0,40,45.2,24,0,22.2,35.5,20,0,5.1,8.8,10.7,0,2.2,2.2,2.6,3,41.5,0.1875,0.142857143,0,0,0.0625,0,0,44.4,0.214285714,0.166666667,=,48,12,10,5,20.8,0.166666667,0.4,0.4,2.4,2.3,2.3,1.8,23,16,56.5,0.4375,2,2.7,"The Midwest Center for Reproductive Health, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,ADVANCED REPRODUCTIVE TECHNOLOGIES,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,54%,0%,2%,13%,4%,22%,8%,<1%,21%,<1%,15%,6%,10%,"Bruce F. Campbell, MD",295,130,130,44,53.2,50,30.8,15.9,48.5,41.5,20.8,11.4,(42.6-54.3),(33.0-50.5),(14.2-28.8),(3.8-24.6),53.6,47.4,26.7,13.2,55.2,48.2,27.3,13.5,36.7,32.1,22.2,13.5,9.5,12.3,22.3,13.6,2,2.1,2.6,3.1,35.7,36.9,12.5,0,0,1.5,2.5,0,33.6,33.3,18.5,0,42,15,11,2,42.9,0.266666667,0.090909091,0,2.5,2.3,2.8,3,84,23,57.1,39.1,2,2.6,"Center for Reproductive Medicine, Advanced Reproductive Technologies",Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE CENTER,,MINNEAPOLIS,MINNESOTA,100%,0%,0%,0%,84%,0%,1%,10%,8%,4%,5%,3%,26%,1%,11%,8%,24%,"Mark A. Damario, MD",149,84,40,8,50.3,51.2,20,0.25,46.3,45.2,20,0.125,(38.1-54.7),(34.3-56.5),(9.1-35.6),,51.1,50,22.9,0.142857143,54.8,51.4,25,0.166666667,36.5,36.5,18.8,0.166666667,9.4,9.5,12.5,0.125,2.2,2.4,2.8,3,32,27.9,0.25,0,1.3,0,0,0,33.3,28.9,0.25,0,35,25,9,0,17.1,20,0.222222222,=,2.1,2.6,2.6,=,6,4,0.5,0.25,2,2,Reproductive Medicine Center,Yes,No,Yes,Yes,Yes,Yes,Yes
MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,,ROCHESTER,MINNESOTA,100%,0%,0%,0%,76%,0%,0%,10%,6%,7%,5%,0%,33%,0%,7%,4%,27%,"Charles C. Coddington, MD",105,42,24,8,41,50,16.7,0,40,40.5,12.5,0,(30.6-50.0),(25.6-56.7),(2.7-32.4),,46.2,43.6,13,0,51.2,47.2,13.6,0,31.7,30.6,9.1,0,13.3,7.1,4.2,0.25,2.3,2.9,3.1,3.5,37.2,19,0.25,=,4.7,19,0,=,38.1,0.352941176,0.333333333,=,96,35,13,6,28.1,37.1,0.307692308,0.333333333,2.3,2.3,2.8,2,1,38,1,31.6,2,2.3,This clinic has closed or reorganized since 2004.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,
REPRODUCTIVE MEDICINE & INFERTILITY ASSOCIATES,,WOODBURY,MINNESOTA,100%,0%,0%,0%,83%,0%,<1%,5%,3%,<1%,4%,0%,33%,6%,6%,4%,40%,"Jacques P. Stassart, MD",304,109,61,15,48,46.8,37.7,0.066666667,44.7,35.8,26.2,0.066666667,(39.1-50.5),(26.8-45.5),(15.8-39.1),,46.3,38.2,31.4,0.076923077,48.1,41.9,32.7,0.076923077,31.4,29,24.5,0.076923077,3.3,6.4,16.4,0.133333333,2.1,2.3,3,2.9,32.2,17.6,26.1,1,3.4,5.9,0,0,34.6,30.8,0.25,0,53,20,4,1,24.5,35,0,1,2.2,2.5,2.5,3,38,10,50,0.1,2.2,2.4,Reproductive Medicine & Infertility Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MISSISSIPPI FERTILITY INSTITUTE,,JACKSON,MISSISSIPPI,100%,0%,0%,0%,72%,0%,0%,21%,2%,9%,14%,<1%,7%,6%,10%,20%,11%,"John D. Isaacs, Jr., MD",74,28,22,6,36.5,21.4,22.7,0,32.4,7.1,22.7,0,(22.0-44.3),(0.9-23.5),(7.8-45.4),,34.8,10,0.263157895,0,40,0.117647059,0.294117647,0,30,0.117647059,0.294117647,0,6.8,28.6,13.6,0.333333333,2.5,2.8,3,2,25.9,0,0,=,7.4,0,0,=,25,0,0,=,15,3,1,0,0.133333333,0,0,=,2.3,2,1,=,14,6,0.142857143,0.333333333,2.4,2.5,Mississippi Fertility Institute,Yes,Yes,No,No,Yes,Yes,Yes
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,,JACKSON,MISSISSIPPI,100%,0%,0%,0%,87%,0%,0%,23%,12%,4%,11%,<1%,10%,2%,5%,21%,11%,"Randall S. Hines, MD",66,19,8,1,34.8,0.210526316,0.25,0,31.8,0.210526316,0.125,0,(20.9-44.4),,,,33.3,0.266666667,0.142857143,0,33.3,0.307692308,0.166666667,0,23.8,0.307692308,0.166666667,0,4.5,0.210526316,0.125,0,2.8,2.9,4,3,26.1,0,0,=,0,0,0,=,28.6,0,0,=,8,4,1,0,0.25,0,0,=,2.4,3.5,3,=,6,5,0.666666667,0,3.3,2,University of Mississippi Medical Center,Yes,Yes,No,Yes,Yes,Yes,Yes
ADVANCED REPRODUCTIVE SPECIALISTS,,CHESTERFIELD,MISSOURI,100%,0%,0%,0%,0%,0%,0%,23%,26%,0%,4%,0%,0%,0%,0%,43%,4%,"Jorge A. Pineda, MD",22,10,9,4,27.3,0.7,0.222222222,0.25,22.7,0.7,0.111111111,0,(7.8-45.4),,,,22.7,0.7,0.111111111,0,0.277777778,0.777777778,0.142857143,0,0.166666667,0.444444444,0,0,0,0,0,0,2.8,3,3.3,3,0.5,0.285714286,0.5,0,0,0.142857143,0,0,0.4,0.428571429,1,=,3,0,0,0,0,=,=,=,4,=,=,=,1,1,0,0,3,5,This clinic has closed or reorganized since 2004.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,
INFERTILITY INSTITUTE,,CHESTERFIELD,MISSOURI,100%,0%,0%,0%,79%,0%,0%,<1%,7%,9%,3%,0%,4%,0%,0%,28%,48%,"Anthony C. Pearlstone, MD",61,20,21,10,54.1,60,38.1,0.3,45.9,55,23.8,0.2,(33.1-59.2),(31.5-76.9),(8.2-47.2),,48.3,0.578947368,0.277777778,0.2,49.1,0.647058824,0.3125,0.222222222,29.8,0.470588235,0.25,0.222222222,4.9,5,14.3,0,2.5,3.3,2.7,4.6,33.3,0.166666667,0,0,6.1,0.166666667,0.125,0,39.3,0.272727273,0.2,0,2,2,0,0,0.5,0,=,=,2,2.5,=,=,18,2,0.444444444,0,2.8,3,Infertility Institute,Yes,No,Yes,No,Yes,Yes,Yes
"MID-MISSOURI REPRODUCTIVE MEDICINE AND SURGERY, INC.",,COLUMBIA,MISSOURI,100%,0%,0%,0%,45%,0%,0%,10%,24%,0%,7%,0%,20%,0%,0%,17%,22%,"Larry L. Penney, MD",28,8,6,2,25,0.125,0.166666667,0,25,0.125,0,0,(10.7-44.9),,,,25.9,0.125,0,0,28,0.125,0,0,24,0.125,0,0,3.6,0,0.166666667,0,2.4,1.9,2.6,1.5,0,0,0,=,0.142857143,0,0,=,0.142857143,0,=,=,3,3,0,0,0,0,=,=,2.3,3.3,=,=,0,5,=,0,=,2.6,"Mid-Missouri Reproductive Medicine and Surgery, Inc.",No,Yes,Yes,Yes,Yes,Yes,Pending
UNIVERSITY OF MISSOURI HOSPITAL AND CLINIC,IVF EMBRYOLOGY LABORATORY,COLUMBIA,MISSOURI,100%,0%,0%,0%,21%,0%,0%,28%,0%,0%,8%,0%,20%,0%,8%,12%,24%,"John W. Cassels, MD",9,10,5,0,0.111111111,0,0,=,0.111111111,0,0,=,,,,,0.166666667,0,0,=,0.25,0,0,=,0.25,0,0,=,0.333333333,0.5,0,=,2.3,3,2,=,1,=,=,=,0,=,=,=,0,=,=,=,1,0,0,0,0,=,=,=,3,=,=,=,0,0,=,=,=,=,"University of Missouri Hospital and Clinic, IVF Embryology Laboratory",Yes,Yes,Yes,No,Yes,Yes,Yes
SHER INSTITUTE FOR REPRODUCTIVE MEDICINE Ð ST. LOUIS,,CREVE COEUR,MISSOURI,100%,0%,0%,0%,96%,<1%,5%,9%,9%,6%,6%,0%,11%,14%,6%,21%,19%,"Peter M. Ahlering, MD",144,48,30,17,50.7,37.5,10,0.294117647,43.1,31.3,6.7,0.294117647,(34.8-51.6),(18.7-46.3),(0.8-22.1),,43.1,31.9,6.7,0.3125,45.3,39.5,8,0.5,23.4,28.9,8,0.4,0,2.1,0,0.058823529,2.5,2.5,2.8,3.3,39.7,0.277777778,0,0.2,6.8,0.111111111,0,0,48.4,0.266666667,0,0.2,15,1,2,0,0.266666667,1,0.5,=,2.3,2,2,=,22,13,45.5,0.076923077,2.4,2.1,Sher Institute for Reproductive Medicine Ð St. Louis,Yes,Yes,Yes,Yes,Yes,No,Yes
MIDWEST WOMEN'S HEALTHCARE,,KANSAS CITY,MISSOURI,100%,0%,0%,0%,80%,0%,0%,13%,5%,2%,7%,0%,8%,0%,0%,28%,36%,"Gregory C. Starks, MD",35,17,12,6,45.7,0.294117647,0,0.166666667,40,0.235294118,0,0.166666667,(23.9-57.9),,,,45.2,0.307692308,0,0.25,50,0.363636364,0,0.333333333,46.4,0.272727273,0,0.333333333,11.4,0.235294118,0.333333333,0.333333333,1.8,2,2,2.7,0.0625,0.2,=,0,0,0,=,0,0.071428571,0.25,=,0,4,1,0,1,0.25,0,=,0,1,1,=,1,3,0,0.333333333,=,2,=,Midwest Women's Healthcare,Yes,No,Yes,Yes,Yes,Yes,Yes
INFERTILITY & IVF CENTER,,ST. LOUIS,MISSOURI,100%,0%,0%,0%,66%,0%,0%,9%,1%,32%,1%,0%,14%,4%,4%,5%,30%,"Ronald P. Wilbois, MD",40,21,18,4,50,57.1,0.444444444,0.25,42.5,42.9,0.444444444,0,(27.0-59.1),(21.8-66.0),,,44.7,0.5,0.533333333,0,47.2,0.5,0.666666667,0,33.3,0.444444444,0.583333333,0,5,14.3,0.166666667,0,2.2,2.1,2.6,2,35,0.166666667,0.125,0,0,0,0,0,0.294117647,0.111111111,0.125,=,10,9,2,1,0.1,0.222222222,0.5,0,2.2,2.4,2,3,18,12,0.277777778,0.333333333,2.2,2.6,Infertility & IVF Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE INFERTILITY AND REPRODUCTIVE MEDICINE CENTER AT,WASHINGTON UNIVERSITY SCHOOL OF MEDICINE AND BARNESÐJEWISH HOSPITAL,ST. LOUIS,MISSOURI,100%,0%,0%,0%,49%,0%,<1%,15%,7%,4%,9%,<1%,20%,2%,14%,14%,15%,"Randall R. Odem, MD",211,82,73,11,43.1,43.9,28.8,0.090909091,38.9,39,21.9,0,(32.2-45.8),(28.4-50.4),(13.1-33.1),,44.6,41,28.6,0,45.8,42.7,30.8,0,30.7,28,23.1,0,12.8,4.9,23.3,0.181818182,2.1,2.5,2.9,3,33,33.3,19,0,3.3,2.8,0,0,32.9,34.4,0.25,=,32,8,9,0,31.3,0.375,0.222222222,=,2.3,1.6,2.1,=,9,2,0.444444444,0,2.2,2.5,The Infertility and Reproductive Medicine Center at Washington University School of Medicine and BarnesÐJewish Hospital,Yes,No,Yes,Yes,Yes,Yes,Yes
INFERTILITY CENTER OF ST. LOUIS,ST. LUKE'S HOSPITAL MEDICAL,ST. LOUIS,MISSOURI,90%,2%,9%,0%,78%,0%,<1%,4%,1%,23%,0%,2%,44%,8%,9%,0%,10%,"Sherman J. Silber, MD",73,26,34,11,37,50,11.8,0.090909091,31.5,38.5,5.9,0.090909091,(21.1-43.4),(20.2-59.4),(0.7-19.7),,33.8,40,6.9,0.111111111,39,41.7,8.7,0.166666667,22,29.2,8.7,0.166666667,6.8,3.8,14.7,0.181818182,3.1,3.3,3.2,2.7,33.3,0.307692308,0,0,7.4,0,0,0,43.5,0.3,0,0,10,2,3,1,0.6,0,0.666666667,0,2,3,4,4,19,2,0.473684211,0.5,3.4,2.5,"Infertility Center of St. Louis, St. Luke's Hospital",Yes,No,Yes,Yes,Yes,Yes,Yes
"HEARTLAND CENTER FOR REPRODUCTIVE MEDICINE, PC",,OMAHA,NEBRASKA,>99%,0%,<1%,0%,60%,0%,<1%,6%,2%,7%,3%,<1%,17%,3%,2%,16%,43%,"Victoria M. Maclin, MD",126,54,35,16,21.4,16.7,14.3,0.125,20.6,13,14.3,0.0625,(13.9-28.8),(5.4-24.9),(4.8-30.3),,23.6,16.3,19.2,0.090909091,26.8,16.7,22.7,0.125,17.5,9.5,13.6,0.125,12.7,20.4,25.7,0.3125,3.1,2.7,3.2,3.6,37,0.333333333,0.6,0.5,11.1,0,0,0,34.6,0.428571429,0.4,0,32,13,5,1,21.9,0.076923077,0.4,0,2.9,2.9,3.2,4,19,16,0.157894737,0.3125,3.3,3.5,"Heartland Center for Reproductive Medicine, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes
NEBRASKA METHODIST HOSPITAL REI,,OMAHA,NEBRASKA,97%,0%,3%,0%,63%,0%,1%,16%,9%,6%,9%,1%,23%,4%,7%,11%,15%,"Carolyn M. Doherty, MD",189,70,30,6,40.2,40,43.3,0,35.4,31.4,40,0,(28.6-42.7),(20.9-43.6),(22.7-59.4),,40.9,37.9,57.1,0,42.7,39.3,57.1,0,26.1,25,38.1,0,13.2,17.1,30,0.333333333,2.6,3,3.6,4.5,34.2,35.7,0.384615385,=,6.6,7.1,0.076923077,=,38.8,36.4,0.333333333,=,37,13,4,0,37.8,0.307692308,0.25,=,2.1,2.3,2.5,=,45,11,55.6,0.636363636,2.6,2.1,Nebraska Methodist Hospital REI,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY CENTER OF LAS VEGAS,,LAS VEGAS,NEVADA,100%,0%,0%,0%,92%,0%,1%,12%,7%,9%,2%,<1%,19%,11%,9%,13%,17%,"Bruce S. Shapiro, MD",170,66,58,20,37.1,33.3,19,5,31.8,30.3,17.2,5,(24.8-39.3),(19.6-42.9),(8.6-29.4),(0.1-24.9),33.8,31.7,18.5,0.071428571,37.2,37,23.8,0.090909091,25.5,25.9,19,0.090909091,5.9,4.5,6.9,30,2.1,2.3,2.4,2.2,31.7,27.3,0.090909091,0,3.2,9.1,0.090909091,0,31.5,30,0.2,0,39,10,4,1,38.5,0.4,0,1,2.3,2.2,2.8,3,37,9,59.5,0.777777778,2.1,2.4,Fertility Center of Las Vegas,Yes,No,Yes,Yes,Yes,Yes,Yes
NEVADA FERTILITY C.A.R.E.S.,,LAS VEGAS,NEVADA,100%,0%,0%,0%,15%,0%,0%,18%,11%,19%,2%,0%,11%,14%,12%,7%,7%,"Rachel A. McConnell, MD",67,41,32,12,29.9,26.8,15.6,0.166666667,26.9,14.6,6.3,0.166666667,(16.8-39.1),(5.6-29.2),(0.8-20.8),,27.7,18.2,7.4,0.2,30.5,21.4,8,0.222222222,15.3,14.3,8,0.222222222,3,19.5,15.6,0.166666667,2.9,2.8,2.5,2.2,45,0.272727273,0,0,5,0,0,0,0.5,0.333333333,0,0,3,1,0,1,0,0,=,0,2.7,3,=,3,8,0,0.375,=,3.6,=,Nevada Fertility C.A.R.E.S.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SHER INSTITUTE FOR REPRODUCTIVE MEDICINE Ð LAS VEGAS,,LAS VEGAS,NEVADA,100%,0%,0%,0%,97%,0%,4%,14%,6%,17%,7%,2%,18%,11%,7%,9%,10%,"Jeffrey D. Fisch, MD",131,62,57,23,38.2,43.5,31.6,26.1,35.1,33.9,22.8,8.7,(27.0-43.9),(22.3-47.0),(12.7-35.8),(1.1-28.0),35.7,33.9,23.2,8.7,38,37.5,25.5,9.5,26.4,32.1,17.6,9.5,1.5,0,1.8,0,2.6,2.8,2.8,3,20,14.8,0.222222222,0,12,0,0,0,30.4,14.3,0.307692308,0,17,11,7,2,0.176470588,0.090909091,0.142857143,0,2.8,1.9,2,1.5,53,7,54.7,0.571428571,2.6,2.9,Sher Institute for Reproductive Medicine Ð Las Vegas,Yes,Yes,Yes,Yes,Yes,No,Yes
THE NEVADA CENTER FOR REPRODUCTIVE MEDICINE,,RENO,NEVADA,100%,0%,0%,0%,54%,0%,2%,10%,5%,25%,4%,2%,10%,5%,2%,19%,18%,"Russell A. Foulk, MD",69,39,23,9,53.6,41,34.8,0.444444444,43.5,25.6,34.8,0.444444444,(31.6-56.0),(13.0-42.1),(16.4-57.3),,44.1,27,34.8,0.444444444,47.6,27,34.8,0.444444444,31.7,21.6,21.7,0.222222222,1.4,5.1,0,0,2.9,3.2,3.2,3.9,27,0.125,0.375,0.25,5.4,0,0,0.25,33.3,0.2,0.375,0.5,28,9,14,3,39.3,0.666666667,0.285714286,0,2.9,3.3,3.2,3.3,56,48,60.7,54.2,2.7,2.8,The Nevada Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DARTMOUTHÐHITCHCOCK MEDICAL CENTER,,LEBANON,NEW HAMPSHIRE,100%,0%,0%,0%,39%,0%,0%,20%,14%,3%,3%,2%,28%,2%,18%,5%,6%,"Misty B. Porter, MD",76,27,17,10,32.9,37,0.411764706,0,28.9,33.3,0.294117647,0,(19.1-40.5),(16.5-54.0),,,31.9,36,0.333333333,0,32.4,36,0.333333333,0,20.6,28,0.2,0,9.2,7.4,0.117647059,0.4,2,2.6,3.5,3.5,32,0.2,0.428571429,=,0,0,0,=,36.4,0.222222222,0.4,=,33,9,7,2,21.2,0.111111111,0.285714286,0,2.1,2.3,2.7,4.5,5,0,0.8,=,2,=,DartmouthÐHitchcock Medical Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NORTH JERSEY CENTER FOR REPRODUCTION,,CLIFTON,NEW JERSEY,89%,0%,11%,0%,89%,0%,0%,10%,0%,0%,0%,0%,60%,0%,20%,10%,0%,"Alfredo J. Garcia, MD",6,2,0,1,0.333333333,0,=,0,0.166666667,0,=,0,,,,,0.166666667,0,=,0,0.166666667,0,=,0,0,0,=,0,0,0,=,0,2.7,1.5,=,1,0.5,=,=,=,0,=,=,=,1,=,=,=,0,0,0,0,=,=,=,=,=,=,=,=,1,0,0,=,3,=,North Jersey Center for Reproduction,Yes,No,Yes,No,Yes,No,Pending
CENTER FOR ADVANCED REPRODUCTIVE MEDICINE & FERTILITY,,EDISON,NEW JERSEY,100%,0%,0%,0%,57%,0%,0%,6%,7%,27%,1%,4%,24%,<1%,4%,5%,21%,"Gregory H. Corsan, MD",117,45,29,17,31.6,31.1,27.6,0.352941176,28.2,28.9,24.1,0.352941176,(20.3-37.3),(16.4-44.3),(10.3-43.5),,30.3,35.1,33.3,0.4,34,39.4,33.3,0.461538462,22.7,27.3,19,0.461538462,6.8,17.8,27.6,0.117647059,2.6,3,3.2,3.5,21.6,0.285714286,0.375,0,8.1,0,0.125,0,33.3,0.307692308,0.428571429,0,12,2,2,1,0.166666667,1,0.5,0,2.2,3,3,4,12,1,0.5,1,2.4,3,Center for Advanced Reproductive Medicine & Fertility,Yes,Yes,Yes,No,Yes,Yes,Yes
WOMEN'S FERTILITY CENTER,,ENGLEWOOD,NEW JERSEY,100%,0%,0%,0%,71%,0%,0%,11%,6%,42%,6%,6%,6%,0%,14%,3%,8%,"Philip R. Lesorgen, MD",9,8,9,6,0.222222222,0.125,0.222222222,0.333333333,0.222222222,0.125,0.111111111,0.333333333,,,,,0.222222222,0.142857143,0.125,0.333333333,0.4,0.166666667,0.142857143,0.4,0.2,0.166666667,0,0.4,0,0.125,0.111111111,0,2.4,3.3,3,1.6,0.5,0,0.5,0,0,0,0,0,0.5,0,1,0,1,0,1,0,0,=,0,=,3,=,3,=,0,0,=,=,=,=,Women's Fertility Center,No,No,Yes,No,Yes,No,Yes
NORTH HUDSON I.V.F.,CENTER FOR FERTILITY AND GYNECOLOGY,ENGLEWOOD CLIFFS,NEW JERSEY,100%,0%,0%,0%,36%,0%,3%,0%,8%,41%,5%,0%,16%,1%,14%,10%,5%,"Jane E. Miller, MD",20,5,3,2,65,0.6,0.666666667,0,65,0.6,0.333333333,0,(40.8-84.6),,,,0.722222222,0.75,0.5,0,0.764705882,0.75,0.5,0,0.470588235,0.5,0.5,0,10,0.2,0.333333333,0,2.2,2.3,2,3.5,0.384615385,0.666666667,0,=,0,0,0,=,0.384615385,0.333333333,0,=,3,0,0,0,0,=,=,=,2.3,=,=,=,22,6,45.5,0.5,2.2,3,"North Hudson I.V.F., Center for Fertility and Gynecology",Yes,Yes,Yes,Yes,Yes,Yes,Yes
"UNIVERSITY REPRODUCTIVE ASSOCIATES, PC",,HASBROUCK HEIGHTS,NEW JERSEY,100%,0%,0%,0%,71%,0%,0%,5%,3%,5%,1%,<1%,27%,0%,6%,5%,49%,"Jose M. Colon, MD",113,47,51,17,46.9,51.1,35.3,0.294117647,38.1,38.3,25.5,0.117647059,(29.1-47.7),(24.5-53.6),(14.3-39.6),,46.2,41.9,31.7,0.142857143,47.3,41.9,31.7,0.142857143,29.7,30.2,29.3,0.142857143,17.7,8.5,19.6,0.176470588,2.1,2.3,2.9,3.4,34,25,0.055555556,0,0,8.3,0,0,37.2,0.277777778,0.076923077,0,18,3,12,1,0.166666667,0,0.083333333,0,2.5,2.7,3.1,3,4,2,0.25,0.5,1.8,2,"University Reproductive Associates, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes
SHORE INSTITUTE FOR REPRODUCTIVE MEDICINE,,LAKEWOOD,NEW JERSEY,100%,0%,0%,0%,29%,0%,0%,26%,7%,6%,10%,<1%,15%,0%,16%,5%,13%,"Allen Morgan, MD",41,22,24,8,46.3,36.4,29.2,0,36.6,13.6,12.5,0,(22.1-53.1),(2.9-34.9),(2.7-32.4),,40.5,0.157894737,15,0,40.5,0.157894737,15,0,24.3,0,10,0,9.8,13.6,16.7,0.125,2.7,2.9,2.7,3.3,0.210526316,0.375,0,=,0.157894737,0,0.142857143,=,0.4,1,0.333333333,=,9,2,1,0,0.222222222,0,0,=,2.8,2,4,=,0,0,=,=,=,=,Shore Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Pending
DELAWARE VALLEY OBGYN AND INFERTILITY GROUP,,LAWRENCEVILLE,NEW JERSEY,100%,0%,0%,0%,42%,0%,0%,12%,12%,12%,6%,0%,17%,0%,5%,14%,22%,"Seth G. Derman, MD",51,28,43,17,43.1,25,20.9,0.117647059,37.3,17.9,16.3,0,(24.1-51.9),(6.1-36.9),(6.8-30.7),,39.6,19.2,18.4,0,40.4,20.8,20.6,0,31.9,12.5,14.7,0,5.9,7.1,11.6,0.058823529,2.6,2.8,2.9,2.8,18.2,0.285714286,0.222222222,0,0,0.285714286,0,0,0.210526316,0.4,0.285714286,=,13,3,5,2,0.384615385,0.666666667,0.4,0,2.8,2.7,3.4,2.5,3,0,0.666666667,=,2.7,=,Delaware Valley OBGYN and Infertility Group,Yes,No,Yes,No,Yes,Yes,Yes
PRINCETON CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE,,LAWRENCEVILLE,NEW JERSEY,100%,0%,0%,0%,59%,0%,0%,18%,15%,10%,1%,0%,18%,1%,30%,1%,5%,"Althea M. O'Shaughnessy, MD",40,16,31,11,40,0.3125,19.4,0.090909091,25,0.3125,16.1,0.090909091,(12.7-41.2),,(5.5-33.7),,27.8,0.3125,17.9,0.1,30.3,0.357142857,19.2,0.142857143,27.3,0.357142857,15.4,0.142857143,10,0,9.7,0.090909091,2.9,3.1,2.9,3.3,0.1875,0,0.333333333,0,0,0,0,0,0.1,0,0.2,0,15,4,7,2,0.266666667,0,0.285714286,0,2.9,2.8,3.3,4,7,1,0.571428571,1,3.4,3,Princeton Center for Infertility & Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes
