OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,eSETTotal,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
234,INFERTILITY CENTER OF ST. LOUIS,ST. LUKE'S HOSPITAL,ST. LOUIS,MISSOURI,98%,0%,2%,0%,95%,0%,5%,2%,<1%,4%,15%,19%,1%,3%,33%,4%,5%,6%,10%,"Sherman J. Silber, MD",98,39,25,1,2,24.2,23.2,9.3,0,0,37.8,43.6,32,0,0,33.7,35.9,16,0,0,(24.4Ð43.9),(21.2Ð52.8),(4.5Ð36.1),,,35.5,37.8,17.4,0,0,36.3,37.8,17.4,0,0,22,32.4,17.4,0,0,5.1,5.1,8,0,0,2.2,2.2,2.3,2,3,37.8,0.176470588,0.125,=,=,0,0,0,=,=,39.4,0.142857143,0,=,=,83,28,21,8,4,31.3,28.6,28.6,0.125,0.25,2,2.1,2.2,3.4,1.5,14,13,0.428571429,0.461538462,2,2.2,"Infertility Center of St. Louis, St. Luke's Hospital",Yes,Yes,Yes,Yes,Yes,Yes,Yes,MO
235,SHER INSTITUTE FOR REPRODUCTIVE MEDICINEÐST. LOUIS,,ST. LOUIS,MISSOURI,100%,0%,0%,0%,96%,<1%,<1%,7%,1%,24%,7%,30%,7%,3%,16%,6%,3%,<1%,3%,"Peter M. Ahlering, MD",211,68,62,27,7,40.7,29.6,24.8,9.3,0,53.1,52.9,37.1,22.2,0,46,39.7,29,11.1,0,(39.1Ð52.9),(28.0Ð52.3),(18.2Ð41.9),(2.4Ð29.2),,46.6,40.9,30,11.5,0,50.5,45,36,0.176470588,0,26.6,23.3,18,0.176470588,0,1.4,2.9,3.2,3.7,0,2.1,2.4,2.4,2.5,1.2,50,33.3,39.1,0,=,1.8,2.8,4.3,0,=,47.4,48.1,0.5,0,=,41,18,9,3,3,26.8,0.222222222,0.222222222,0.666666667,0,2.6,2.6,2.8,2.3,3.3,21,1,57.1,0,1.9,2,Sher Institute for Reproductive MedicineÐSt. Louis,Yes,Yes,Yes,Yes,Yes,No,Yes,MO
236,"HEARTLAND CENTER FOR REPRODUCTIVE MEDICINE, PC",,OMAHA,NEBRASKA,>99%,0%,<1%,0%,70%,0%,1%,0%,1%,3%,7%,15%,2%,<1%,27%,3%,<1%,11%,31%,"Victoria M. Maclin, MD",94,29,17,13,5,32.3,23.1,36,9.5,0,36.2,17.2,0.411764706,0.230769231,0,29.8,13.8,0.411764706,0.153846154,0,(20.8Ð40.1),(3.9Ð31.7),,,,34.1,16.7,0.466666667,0.153846154,0,42.4,0.25,0.583333333,0.25,0,28.8,0.1875,0.416666667,0.25,0,12.8,17.2,0.117647059,0,0.2,1.9,1.6,2.1,2.6,1,29.4,0.2,0.285714286,0,=,0,0,0,0,=,32.1,0.25,0.285714286,0,=,9,9,2,0,0,0.666666667,0.333333333,0,=,=,1.9,1.9,2.5,=,=,20,8,45,0.5,1.8,2,"Heartland Center for Reproductive Medicine, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,NE
237,NEBRASKA METHODIST HOSPITAL REI,,OMAHA,NEBRASKA,100%,0%,0%,0%,85%,<1%,0%,0%,3%,14%,5%,7%,10%,<1%,25%,7%,10%,11%,11%,"Carolyn M. Doherty, MD",154,57,35,11,1,38.7,22.5,26.1,25,=,52.6,40.4,42.9,0.636363636,0,46.8,33.3,34.3,0.363636364,0,(38.7Ð55.0),(21.4Ð47.1),(19.1Ð52.2),,,50.3,39.6,50,0.444444444,=,50.7,39.6,50,0.444444444,=,28.2,33.3,41.7,0.444444444,=,7.1,15.8,31.4,0.181818182,1,2.3,2.7,2.9,3.6,=,42,26.1,0.266666667,0,=,6.2,0,0,0.142857143,=,44.4,0.157894737,0.166666667,0,=,40,6,2,0,1,57.5,0.333333333,1,=,0,1.7,1.8,1,=,1,25,6,48,0.166666667,2.2,2.2,Nebraska Methodist Hospital REI,Yes,No,Yes,Yes,Yes,Yes,Yes,NE
238,FERTILITY CENTER OF LAS VEGAS,,LAS VEGAS,NEVADA,100%,0%,0%,0%,87%,0%,<1%,0%,5%,5%,2%,22%,3%,<1%,14%,6%,5%,13%,31%,"Bruce S. Shapiro, MD, PhD",129,51,31,28,13,48.6,32.9,33.3,0.052631579,0.25,48.8,33.3,29,3.6,0.076923077,45,23.5,22.6,3.6,0.076923077,(36.2Ð54.0),(12.8Ð37.5),(9.6Ð41.1),(0.1Ð18.3),,48.3,26.7,26.9,5,0.090909091,60.4,31.6,0.538461538,0.083333333,0.5,36.5,18.4,0.538461538,0.083333333,0.5,7,11.8,16.1,28.6,0.153846154,1.9,1.8,1.8,1.6,2,42.9,0.411764706,0.111111111,0,0,0,0,0,0,0,39.7,0.416666667,0,0,0,116,66,41,15,4,65.5,45.5,51.2,0.2,0.5,1.9,1.9,2,1.9,2.3,43,17,74.4,0.529411765,1.9,1.9,Fertility Center of Las Vegas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NV
239,NEVADA FERTILITY C.A.R.E.S.,,LAS VEGAS,NEVADA,100%,0%,0%,0%,38%,<1%,0%,9%,0%,9%,8%,26%,5%,0%,8%,20%,8%,9%,6%,"Rachel A. McConnell, MD",48,20,25,10,2,45.2,34.3,13.3,0.153846154,0,47.9,45,20,0.2,0,43.8,30,16,0.2,0,(29.5Ð58.8),(11.9Ð54.3),(4.5Ð36.1),,,48.8,0.352941176,17.4,0.222222222,0,53.8,0.4,0.222222222,0.333333333,0,30.8,0.266666667,0.166666667,0.333333333,0,10.4,15,8,0.1,0,2.4,2.3,2.5,2.2,4,26.1,0.111111111,0.2,0,=,26.1,0.111111111,0,0,=,42.9,0.333333333,0.25,0,=,8,6,4,1,0,0.375,0.333333333,0,0,=,2.6,2,2.3,2,=,12,4,0.5,0.5,2.3,2.5,Nevada Fertility C.A.R.E.S.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NV
240,SHER INSTITUTE FOR REPRODUCTIVE MEDICINEÐLAS VEGAS,,LAS VEGAS,NEVADA,100%,0%,0%,0%,93%,0%,2%,6%,8%,9%,5%,16%,6%,3%,12%,13%,16%,7%,12%,"Jeffrey D. Fisch, MD",61,50,54,21,12,33.3,24.4,14.3,4.4,0,55.7,34,29.6,19,0,37.7,26,20.4,4.8,0,(25.6Ð51.0),(14.6Ð40.3),(10.6Ð33.5),(0.1Ð23.8),,39,27.7,20.8,5,0,40.4,31.7,22,0.055555556,0,28.1,24.4,18,0.055555556,0,3.3,6,1.9,4.8,0.083333333,2.1,2.1,2.2,2.5,3,26.5,0.058823529,0.0625,0,=,0,0.117647059,0.0625,0,=,30.4,0.230769231,0.181818182,0,=,35,15,22,5,6,34.3,0.4,13.6,0.4,0.166666667,2,1.8,2,1.2,1.7,22,25,54.5,28,2.1,2,Sher Institute for Reproductive MedicineÐLas Vegas,Yes,No,Yes,Yes,Yes,No,Yes,NV
241,THE NEVADA CENTER FOR REPRODUCTIVE MEDICINE,,RENO,NEVADA,100%,0%,0%,0%,67%,0%,7%,13%,2%,4%,3%,11%,2%,2%,4%,6%,4%,39%,25%,"Russell A. Foulk, MD",47,36,28,10,2,39,31.3,17.4,0.052631579,0,51.1,52.8,42.9,0.1,0,46.8,44.4,39.3,0.1,0,(32.1Ð61.9),(27.9Ð61.9),(21.5Ð59.4),,,47.8,44.4,39.3,0.1,0,47.8,47.1,42.3,0.125,0,26.1,35.3,42.3,0.125,0,2.1,0,0,0,0,2.3,2.4,2.7,2.4,3,37.5,0.368421053,0.083333333,0,=,16.7,0,0,0,=,45.5,0.25,0,0,=,46,20,13,3,4,41.3,10,0.384615385,0.333333333,0.5,2.3,2.6,2.5,2.3,2.5,45,56,53.3,48.2,2.2,2.4,The Nevada Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NV
242,DARTMOUTHÐHITCHCOCK MEDICAL CENTER,,LEBANON,NEW HAMPSHIRE,100%,0%,0%,0%,43%,0%,0%,0%,1%,9%,1%,13%,4%,0%,22%,3%,26%,7%,15%,"Misty B. Porter, MD",64,32,28,8,4,40.4,25,16.7,0,0,48.4,21.9,25,0,0.25,42.2,18.8,21.4,0,0,(29.9Ð55.2),(7.2Ð36.4),(8.3Ð41.0),,,44.3,23.1,26.1,0,0,48.2,28.6,26.1,0,0,26.8,19,21.7,0,0,4.7,18.8,17.9,0.125,0.5,1.9,1.9,2.6,3.3,3.5,45.2,0.428571429,0.142857143,=,0,0,0,0.142857143,=,0,44.4,0.333333333,0.166666667,=,=,21,12,1,3,0,28.6,0.25,1,0.333333333,=,1.9,2.1,2,3,=,11,6,0.545454545,0.333333333,2,2,DartmouthÐHitchcock Medical Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NH
243,CENTER FOR ADVANCED REPRODUCTIVE MEDICINE & FERTILITY,,EDISON,NEW JERSEY,100%,0%,0%,0%,53%,0%,0%,2%,<1%,7%,10%,16%,5%,2%,23%,4%,11%,5%,17%,"Gregory H. Corsan, MD",128,60,43,14,5,29,13.3,10.5,15.6,0,40.6,23.3,16.3,0.214285714,0,35.9,20,11.6,0.214285714,0,(27.7Ð44.9),(10.8Ð32.3),(3.9Ð25.1),,,36.5,20.3,11.9,0.230769231,0,39.7,21.1,13.9,0.272727273,0,28.4,17.5,5.6,0.181818182,0,1.6,1.7,2.3,0.071428571,0.2,2.1,2.4,2.4,2.9,1.8,28.8,0.285714286,0.428571429,0.666666667,=,3.8,0,0,0,=,28.3,0.166666667,0.6,0.333333333,=,23,7,5,2,1,21.7,0.142857143,0,1,1,2,2.1,1.6,2,2,11,3,0.545454545,0,2.1,2.3,Center for Advanced Reproductive Medicine & Fertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ
244,WOMEN'S FERTILITY CENTER,,ENGLEWOOD,NEW JERSEY,100%,0%,0%,0%,92%,2%,0%,0%,0%,9%,3%,32%,3%,3%,13%,2%,7%,4%,24%,"Philip R. Lesorgen, MD",23,12,10,7,5,20,13.6,0,0.083333333,0,39.1,0.25,0.1,0.142857143,0,30.4,0.25,0,0.142857143,0,(13.2Ð52.9),,,,,30.4,0.25,0,0.142857143,0,33.3,0.272727273,0,0.166666667,0,23.8,0.272727273,0,0.166666667,0,0,0,0,0,0,2.4,2,2.4,2,1.8,0.222222222,0,0,0,=,0,0,0,0,=,0.285714286,0,=,0,=,2,1,1,0,0,0,0,0,=,=,2.5,2,2,=,=,0,0,=,=,=,=,Women's Fertility Center,No,No,Yes,No,Yes,No,Yes,NJ
245,NORTH HUDSON I.V.F.,CENTER FOR FERTILITY AND GYNECOLOGY,ENGLEWOOD CLIFFS,NEW JERSEY,100%,0%,0%,0%,90%,0%,0%,3%,0%,5%,4%,43%,1%,0%,12%,5%,8%,9%,13%,"Jane E. Miller, MD",11,6,8,4,2,45.8,0.363636364,0.142857143,0.2,0.166666667,0.727272727,0.5,0.125,0.25,0.5,0.545454545,0.5,0.125,0.25,0,,,,,,0.545454545,0.6,0.166666667,0.25,0,0.6,0.6,0.333333333,0.333333333,0,0.4,0.4,0.333333333,0,0,0,0.166666667,0.25,0,0,2.4,2.2,2.3,3.3,3,0.375,0.333333333,0,1,0,0,0,0,0,0,0.333333333,0.333333333,0,1,=,7,3,0,0,0,0.428571429,0.333333333,=,=,=,2.7,2.7,=,=,=,18,12,0.666666667,0.25,2.3,2.8,"North Hudson I.V.F., Center for Fertility and Gynecology",Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ
246,"DOUGLAS S. RABIN, MD",,FAIR LAWN,NEW JERSEY,100%,0%,0%,0%,94%,6%,0%,6%,7%,20%,6%,14%,0%,0%,29%,6%,23%,0%,3%,"Douglas Rabin, MD",6,10,5,2,1,0.142857143,0.071428571,0,0.1,0,0.166666667,0.1,0,0.5,0,0.166666667,0.1,0,0,0,,,,,,0.166666667,0.1,0,0,0,0.2,0.2,0,0,0,0.2,0.2,0,0,0,0,0,0.2,0,0,1.4,2.8,2,5,2,0,0,=,0,=,0,0,=,0,=,0,0,=,=,=,0,2,0,0,0,=,0,=,=,=,=,2.5,=,=,=,0,1,=,0,=,4,"Douglas S. Rabin, MD",Yes,No,Yes,Yes,Yes,No,Yes,NJ
247,"UNIVERSITY REPRODUCTIVE ASSOCIATES, PC",,HASBROUCK HEIGHTS,NEW JERSEY,100%,0%,0%,0%,87%,0%,<1%,0%,1%,8%,0%,6%,2%,<1%,28%,2%,2%,4%,48%,"Peter G. McGovern, MD",113,67,48,26,16,35.1,24.6,15.8,7,2.3,55.8,41.8,35.4,15.4,0.0625,46,26.9,18.8,11.5,0,(36.6Ð55.6),(16.8Ð39.1),(8.9Ð32.6),(2.4Ð30.2),,46.8,28.6,20.5,12.5,0,48.1,29,20.9,12.5,0,31.5,14.5,16.3,8.3,0,1.8,6,8.3,7.7,0.125,2.1,2.2,2.7,3,3.1,31.7,32.1,0.176470588,0.25,0,1.6,0,0,0,0,34.6,0.5,0.222222222,0.333333333,=,13,8,7,0,0,0.230769231,0.125,0.571428571,=,=,2.6,2.6,3.3,=,=,8,2,0.5,0,2,3,"University Reproductive Associates, PC",Yes,No,Yes,Yes,Yes,Yes,Yes,NJ
248,SHORE INSTITUTE FOR REPRODUCTIVE MEDICINE,,LAKEWOOD,NEW JERSEY,100%,0%,0%,0%,29%,0%,0%,3%,0%,16%,6%,8%,6%,0%,24%,6%,21%,8%,5%,"Allen Morgan, MD",26,17,12,8,0,20.6,10,26.1,0.117647059,=,34.6,0.176470588,0.25,0.25,=,26.9,0.176470588,0.25,0.25,=,(11.6Ð47.8),,,,,28,0.1875,0.333333333,0.333333333,=,29.2,0.1875,0.333333333,0.333333333,=,16.7,0.125,0.111111111,0.333333333,=,3.8,0.058823529,0.25,0.25,=,2.6,2.5,2.6,2.8,=,0.444444444,0.333333333,0.333333333,0,=,0,0,0.333333333,0,=,0.428571429,0.333333333,0.666666667,0,=,8,6,1,0,0,0.25,0.166666667,0,=,=,2.4,2.2,2,=,=,3,2,0,0,2.7,2.5,Shore Institute for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ
249,DELAWARE VALLEY OBGYN AND INFERTILITY GROUP,PRINCETON IVF,LAWRENCEVILLE,NEW JERSEY,100%,0%,0%,0%,43%,0%,0%,0%,0%,8%,14%,5%,<1%,0%,9%,4%,5%,34%,21%,"Seth G. Derman, MD",62,27,22,11,0,14,6.9,19.2,8.1,=,27.4,11.1,50,0.363636364,=,17.7,11.1,22.7,0.181818182,=,(9.2Ð29.5),(2.4Ð29.2),(7.8Ð45.4),,,19.3,13,25,0.181818182,=,19.6,13.6,0.277777778,0.181818182,=,14.3,4.5,0.166666667,0.181818182,=,8.1,14.8,9.1,0,=,2.6,3.3,2.9,3.4,=,0.294117647,0.666666667,0.181818182,0,=,0,0,0.090909091,0,=,0.272727273,0.666666667,0.4,0,=,14,5,3,3,2,0.357142857,0.2,0.333333333,0,0.5,2.5,2.4,3,2.3,2.5,4,0,0.5,=,3,=,"Delaware Valley OBGYN and Infertility Group, Princeton IVF",Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ
250,PRINCETON CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE,,LAWRENCEVILLE,NEW JERSEY,100%,0%,0%,0%,43%,0%,0%,0%,11%,11%,0%,18%,2%,0%,19%,2%,24%,2%,23%,"Althea M. O'Shaughnessy, MD",13,8,8,3,2,27.3,0.294117647,0,0,0,0.384615385,0.5,0,0,0,0.307692308,0.5,0,0,0,,,,,,0.307692308,0.5,0,0,0,0.363636364,0.666666667,0,0,0,0.272727273,0.5,0,0,0,0,0,0.25,0.333333333,0,2,2.8,3.3,2,3.5,0.2,0.25,=,=,=,0,0,=,=,=,0.25,0.25,=,=,=,5,4,3,4,3,0.8,0,0.666666667,0.25,0,3,3,3.3,2.3,1.7,2,0,0.5,=,1.5,=,Princeton Center for Infertility & Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes,NJ
251,EAST COAST INFERTILITY AND IVF,,LITTLE SILVER,NEW JERSEY,100%,0%,0%,0%,63%,0%,<1%,4%,0%,4%,2%,11%,18%,1%,13%,4%,0%,13%,34%,"Miguel Damien, MD",53,26,39,16,9,40.3,36.2,11.6,8.1,4.3,60.4,50,25.6,0.25,0.111111111,56.6,38.5,20.5,0.1875,0.111111111,(42.3Ð70.2),(20.2Ð59.4),(9.3Ð36.5),,,58.8,41.7,22.2,0.2,0.166666667,60,47.6,25.8,0.214285714,0.166666667,30,28.6,25.8,0.214285714,0.166666667,3.8,7.7,7.7,0.0625,0.333333333,2.5,2.8,2.8,2.6,3.8,46.9,0.307692308,0,0,0,6.3,0.153846154,0,0,0,50,0.4,0,0,0,10,9,3,1,0,0.3,0.333333333,0.333333333,0,=,2.6,2.7,4,4,=,15,10,0.6,0.3,2.3,2.3,East Coast Infertility and IVF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ
252,INSTITUTE FOR REPRODUCTIVE MEDICINE AND SCIENCE,SAINT BARNABAS MEDICAL CENTER,LIVINGSTON,NEW JERSEY,100%,0%,0%,0%,47%,7%,<1%,17%,<1%,5%,1%,<1%,<1%,<1%,3%,33%,25%,21%,12%,"Margaret G. Garrisi, MD",251,158,175,79,21,34.6,23.9,19.9,10.6,9.1,43.8,40.5,30.3,13.9,28.6,37.1,34.8,22.3,8.9,19,(31.1Ð43.4),(27.4Ð42.8),(16.4Ð29.2),(3.6Ð17.4),(5.4Ð41.9),41.9,37.4,27.9,12.1,0.222222222,45.1,39.3,31.7,15.2,0.285714286,28.6,27.9,25.2,8.7,0.285714286,11.6,7,20,26.6,14.3,2.3,2.6,2.7,3.1,3.9,32.7,29.7,13.2,0.272727273,0.166666667,7.3,4.7,9.4,0.090909091,0,36.6,29.1,20.5,0.428571429,0,51,27,13,4,1,39.2,33.3,0.230769231,0,1,1.8,2,2.2,2,3,51,26,60.8,34.6,2.3,2,"Institute for Reproductive Medicine and Science, Saint Barnabas Medical Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ
253,COOPER INSTITUTE FOR REPRODUCTIVE HORMONAL DISORDERS,,MARLTON,NEW JERSEY,100%,0%,0%,0%,37%,4%,1%,1%,2%,12%,5%,31%,3%,<1%,13%,4%,7%,13%,11%,"Jerome H. Check, MD, PhD",286,216,226,145,126,30.4,20.9,17.4,8.8,2.6,38.1,19.4,15.5,10.3,2.4,31.8,16.7,9.3,5.5,0,(26.5Ð37.6),(12.0Ð22.3),(5.8Ð13.9),(2.4Ð10.6),(0.0Ð2.9),34.3,22.6,13,7.5,0,40.8,30.8,18.4,10.8,0,26.9,22.2,10.5,9.5,0,7.3,26.4,28.8,26.2,37.3,2.1,2.3,2.2,2.3,1.7,33,26.2,31.4,0.066666667,0,2.8,7.1,2.9,0,0,34.1,27.8,42.9,0.125,=,129,43,25,11,5,36.4,25.6,32,0,0.6,2.5,2.7,2.8,2.2,2.8,62,98,50,38.8,2.3,2.6,Cooper Institute for Reproductive Hormonal Disorders,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ
254,DELAWARE VALLEY INSTITUTE OF FERTILITY AND GENETICS,,MARLTON,NEW JERSEY,100%,0%,0%,0%,71%,0%,2%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,18%,81%,"George S. Taliadouros, MD",56,29,17,6,2,30.4,19.3,10.4,0.181818182,0,39.3,31,0.235294118,0.333333333,0,35.7,24.1,0.235294118,0,0,(23.4Ð49.6),(10.3Ð43.5),,,,39.2,26.9,0.25,0,0,40.8,28,0.266666667,0,0,24.5,24,0.266666667,0,0,8.9,10.3,0.058823529,0.333333333,0,2.3,2.3,3.2,2.8,3.5,31.8,0.222222222,0.25,0,=,13.6,0,0,0,=,40,0.142857143,0,=,=,8,8,1,0,0,0.125,0.375,0,=,=,2.4,1.6,2,=,=,1,0,0,=,2,=,Delaware Valley Institute of Fertility and Genetics,Yes,No,Yes,Yes,Yes,Yes,Yes,NJ
255,SOUTH JERSEY FERTILITY CENTER,,MARLTON,NEW JERSEY,>99%,<1%,0%,0%,68%,0%,<1%,1%,3%,11%,3%,10%,1%,<1%,17%,2%,4%,27%,25%,"Robert A. Skaf, MD",198,96,81,39,18,26.6,20.2,8.4,8.5,0,37.4,30.2,24.7,20.5,0,29.8,22.9,16,7.7,0,(23.5Ð36.7),(15.0Ð32.6),(8.8Ð25.9),(1.6Ð20.9),,31.6,26.5,17.3,8.8,0,32.1,27.8,17.3,9.1,0,19,19,16,3,0,5.6,13.5,7.4,12.8,0.222222222,2.1,2.3,2.9,3.6,3.1,37.8,24.1,5,0.375,=,2.7,6.9,0,0,=,40.7,31.8,0.076923077,0.666666667,=,58,25,13,6,0,25.9,36,0.384615385,0,=,2.2,2.3,2.2,2.8,=,20,14,50,0.071428571,2.2,2.4,South Jersey Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ
256,DIAMOND INSTITUTE FOR INFERTILITY,,MILLBURN,NEW JERSEY,100%,0%,0%,0%,49%,<1%,<1%,2%,3%,10%,7%,38%,3%,<1%,4%,<1%,8%,15%,15%,"Arie Birkenfeld, MD",111,65,87,41,28,46.8,28.2,14.5,13.9,2.1,61.3,40,26.4,24.4,3.6,51.4,29.2,12.6,12.2,0,(41.7Ð61.0),(18.6Ð41.8),(6.5Ð21.5),(4.1Ð26.2),(0.0Ð12.3),55.9,33.9,14.7,15.2,0,57.6,37.3,15.7,16.1,0,31.3,25.5,11.4,16.1,0,8.1,13.8,13.8,19.5,39.3,2.1,2.2,2.5,2.5,3,41.2,26.9,34.8,0.1,0,2.9,0,0,0,0,45.6,0.315789474,0.272727273,0,=,31,12,10,2,1,38.7,0.5,0.3,0,0,1.8,1.7,1.6,2,2,38,13,52.6,0.153846154,2,1.9,Diamond Institute for Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ
257,REPRODUCTIVE MEDICINE ASSOCIATES OF NEW JERSEY,,MORRISTOWN,NEW JERSEY,100%,0%,0%,0%,75%,0%,2%,4%,<1%,4%,11%,4%,2%,<1%,18%,17%,0%,16%,27%,"Michael R. Drews, MD",733,418,395,186,98,44.4,36.6,21.9,13,5.8,60,53.8,40,32.8,13.3,51.3,43.5,27.8,16.1,6.1,(47.6Ð55.0),(38.7Ð48.4),(23.5Ð32.6),(11.2Ð22.2),(2.3Ð12.9),53.6,47.4,33.1,21,7.9,56.1,49.9,35.1,22.2,8.8,30.7,31,25.2,19.3,5.9,4.4,8.1,15.9,23.1,22.4,2.1,2.4,3,3.2,3.6,42,37.8,17.7,11.5,0.230769231,3,7.1,8.9,1.6,0,45.2,37.9,28.2,13.3,0.333333333,183,82,65,23,9,46.4,39,40,21.7,0.333333333,2,1.9,2,1.9,1.7,148,133,56.1,35.3,2.1,2,Reproductive Medicine Associates of New Jersey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ
258,VALLEY HOSPITAL FERTILITY CENTER,,PARAMUS,NEW JERSEY,100%,0%,0%,0%,31%,0%,2%,<1%,4%,5%,11%,26%,3%,4%,11%,3%,12%,12%,14%,"Ali Nasseri, MD, PhD",111,65,65,31,20,43.5,37.2,24.8,16.1,5.1,55.9,43.1,32.3,32.3,10,50.5,35.4,24.6,19.4,5,(40.8Ð60.1),(23.9Ð48.2),(14.8Ð36.9),(7.5Ð37.5),(0.1Ð24.9),51.9,37.7,25.8,24,0.066666667,53.8,40.4,28.1,25,0.066666667,37.5,21.1,22.8,20.8,0.066666667,2.7,6.2,4.6,19.4,25,1.9,2,2.1,2.6,2.6,35.5,42.9,33.3,0.2,0,3.2,7.1,4.8,0,0,30.4,47.8,0.1875,0.166666667,0,14,7,5,1,0,0.428571429,0.428571429,0.2,0,=,2.1,2.1,2.4,1,=,0,0,=,=,=,=,Valley Hospital Fertility Center,No,Yes,Yes,Yes,Yes,Yes,Yes,NJ
259,IVF NEW JERSEY,,SOMERSET,NEW JERSEY,100%,0%,0%,0%,30%,<1%,3%,2%,<1%,4%,7%,14%,2%,2%,12%,5%,5%,25%,25%,"Michael C. Darder, MD",252,138,69,31,4,35.7,23.5,25.9,16.9,0.2,49.2,39.9,42,25.8,0.5,42.9,34.1,36.2,19.4,0.5,(36.7Ð49.2),(26.2Ð42.6),(25.0Ð48.7),(7.5Ð37.5),,46.4,36.2,40.3,22.2,0.5,50,40.2,41.7,28.6,0.5,31.5,29.9,25,23.8,0.5,7.5,5.8,10.1,12.9,0,2.3,2.4,2.6,2.8,2.5,37.1,30.9,37.9,0.25,0,4.8,0,3.4,0,0,37,25.5,40,0.166666667,0,24,14,5,1,0,70.8,0.285714286,0.2,0,=,2,2.3,1.8,2,=,122,46,73,39.1,2,1.8,IVF New Jersey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NJ
